Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF	GPM	17600	24000	2	32030.6	24115.6	0.693	0.17	1.125	0.0261037	534.067	7716.5	0.85456	0.400639	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	80	42	0	0	0	0	0.0	869.7	0.0	0	0		0	0.0	869.7	-90.276467 38.643366,-90.274919 38.643374,-90.273611 38.643388,-90.27284 38.643392999999996,-90.2725 38.643395,-90.272294 38.643398,-90.271933 38.643399,-90.27178099999999 38.643399,-90.271608 38.6434,-90.271025 38.64336,-90.270825 38.643356,-90.270589 38.643351,-90.270511 38.643346,-90.270399 38.643344,-90.26951 38.643381,-90.26886499999999 38.643494,-90.266251 38.645209,-90.265663 38.645925,-90.26562 38.645977,-90.26545 38.646192,-90.265007 38.646728,-90.264772 38.647026,-90.26473 38.647072,-90.264678 38.647135999999996,-90.264376 38.64749,-90.264271 38.647615,-90.26384999999999 38.648129,-90.263753 38.64825,-90.263871 38.648359,-90.264119 38.648557,-90.264313 38.648711999999996,-90.264917 38.649215,-90.265311 38.649589999999996,-90.265816 38.650358,-90.266263 38.651322,-90.266955 38.652267,-90.26771 38.652987,-90.26888699999999 38.653862,-90.26953 38.654338,-90.26977699999999 38.654521,-90.270163 38.654807,-90.27027799999999 38.654896,-90.270681 38.655197,-90.271587 38.656159,-90.271669 38.656409,-90.271711 38.656832,-90.27171 38.657694,-90.27171299999999 38.658142,-90.271714 38.658332,-90.271715 38.658599,-90.271875 38.659365,-90.271953 38.659504,-90.27242199999999 38.660044,-90.272976 38.660585,-90.273583 38.661132,-90.273704 38.661239,-90.273911 38.661422,-90.27418399999999 38.661668999999996,-90.274217 38.661699,-90.274429 38.661883,-90.274677 38.662098,-90.274937 38.662341,-90.275179 38.662546,-90.27736399999999 38.664657,-90.27756699999999 38.664836,-90.27796099999999 38.665182,-90.278025 38.665243,-90.278513 38.66568,-90.27869799999999 38.665845,-90.278973 38.666086,-90.279192 38.666282,-90.279372 38.666443,-90.279491 38.666551,-90.279619 38.666668,-90.279808 38.666838,-90.279969 38.666983,-90.28005399999999 38.667056,-90.280401 38.667365,-90.280479 38.667432,-90.28152399999999 38.668362,-90.281785 38.6686,-90.282247 38.669014,-90.282428 38.669177,-90.282579 38.669329,-90.283166 38.669906,-90.283614 38.670338,-90.283906 38.670608,-90.284336 38.670978,-90.284617 38.671202,-90.285042 38.67154,-90.28520499999999 38.671658,-90.285939 38.6722,-90.28616099999999 38.672362,-90.286413 38.672546,-90.286723 38.672772,-90.286793 38.672827,-90.28695499999999 38.672945,-90.287082 38.673031,-90.28721 38.673119,-90.287769 38.673519999999996,-90.288691 38.674178,-90.28960599999999 38.674788,-90.290212 38.675169,-90.290362 38.675261,-90.290555 38.675379,-90.291006 38.675657,-90.29139599999999 38.675895,-90.29162 38.676031,-90.293393 38.677804,-90.293703 38.678656,-90.293768 38.678838999999996,-90.293894 38.679177,-90.293931 38.679289,-90.294009 38.679522,-90.29406 38.679676,-90.2942 38.680099,-90.294309 38.680488,-90.294333 38.680574,-90.2944 38.680858,-90.294555 38.681529,-90.294642 38.68193,-90.294726 38.682314,-90.294767 38.682506,-90.294873 38.682982,-90.295024 38.683593,-90.295071 38.683766,-90.295186 38.68416,-90.295287 38.684506,-90.295456 38.685086,-90.29549 38.685204,-90.295521 38.685311,-90.295687 38.685895,-90.29570199999999 38.685947999999996,-90.29617 38.688066,-90.29620899999999 38.688311999999996,-90.296216 38.688364,-90.296274 38.688779,-90.296325 38.689249,-90.296368 38.689662,-90.29638299999999 38.689916,-90.296395 38.690105,-90.296408 38.690348,-90.296452 38.690829,-90.29647299999999 38.691061,-90.29650099999999 38.691287,-90.29651299999999 38.691385,-90.296522 38.691452,-90.296537 38.691526,-90.29656899999999 38.69161,-90.296623 38.691754,-90.29752599999999 38.693614,-90.297566 38.693706,-90.297685 38.693933,-90.29798699999999 38.694511,-90.298489 38.695271,-90.300197 38.696125,-90.300356 38.696177,-90.301349 38.696591,-90.301953 38.697148,-90.302871 38.698274,-90.30565 38.699540999999996,-90.305889 38.699548,-90.306339 38.699561,-90.306662 38.699566,-90.308365 38.699666,-90.308736 38.699813999999996,-90.308978 38.699951999999996,-90.309309 38.700242,-90.309591 38.700556999999996,-90.310515 38.701762,-90.313159 38.705188,-90.313396 38.70551,-90.316735 38.709806,-90.317926 38.711379,-90.31808699999999 38.711568,-90.319577 38.713494,-90.319964 38.713966,-90.320379 38.714497,-90.321806 38.716302,-90.323159 38.718915,-90.32485 38.72016,-90.32488599999999 38.720208,-90.325413 38.720909999999996,-90.326 38.721659,-90.326561 38.722394,-90.327241 38.723052,-90.32770599999999 38.723295,-90.330219 38.724298,-90.330794 38.724288,-90.332105 38.724283,-90.33554699999999 38.724293,-90.33825399999999 38.724292,-90.338495 38.724293
0	1	42	43	0	0	0	0	0.0	7.7	0.0	0	0	Right	5	869.7	877.4	-90.338495 38.724293,-90.338494 38.724595,-90.338494 38.72472
0	2	43	44	1	1	82	100	0.0	20.1	44.1	1	0	Straight	0	877.4	921.5	-90.338494 38.72472,-90.338489 38.725507,-90.338478 38.726385
0	3	44	45	0	1	41	50	0.0	3.7	15.7	1	0	Straight	0	921.5	937.2	-90.338478 38.726385,-90.338478 38.726419,-90.338482 38.726501999999996,-90.33849599999999 38.726562,-90.33852 38.726612,-90.33856399999999 38.726661
0	4	45	7	1	1	410	500	0.0	46.4	166.4	1	0	Straight	0	937.2	1103.6	-90.33856399999999 38.726661,-90.3386 38.72669,-90.338652 38.726715999999996,-90.33871599999999 38.726733,-90.338815 38.726741,-90.34056 38.726733,-90.34142899999999 38.726729
0	5	7	46	1	0	0	0	0.0	4.1	0.0	0	0	Straight	0	1103.6	1107.7	-90.34142899999999 38.726729,-90.341684 38.726728
0	6	46	41	0	1	82	100	0.0	16.2	40.2	1	0	Left	20	1107.7	1147.9	-90.341684 38.726728,-90.341675 38.725469
0	7	41	46	0	1	41	50	0.0	12.9	24.9	1	0	U	120	1147.9	1172.8	-90.341675 38.725469,-90.341684 38.726728
0	8	46	67	1	1	82	100	0.0	5.7	29.7	1	0	Right	5	1172.8	1202.5	-90.34169 38.727323,-90.341684 38.726728
0	9	67	47	1	1	205	250	0.0	12.6	72.6	1	0	U	120	1202.5	1275.1	-90.34169 38.727323,-90.341685 38.728646
0	10	47	52	0	1	164	200	0.0	10.3	58.3	1	0	Straight	0	1275.1	1333.4	-90.341685 38.728646,-90.341685 38.72882,-90.341686 38.729031,-90.341675 38.729155,-90.341651 38.729269,-90.34161399999999 38.729381,-90.341563 38.729487999999996,-90.3415 38.729596,-90.341443 38.729677,-90.341388 38.729743
0	11	52	47	0	1	82	100	0.0	10.7	34.7	1	0	U	120	1333.4	1368.1	-90.341388 38.729743,-90.341443 38.729677,-90.3415 38.729596,-90.341563 38.729487999999996,-90.34161399999999 38.729381,-90.341651 38.729269,-90.341675 38.729155,-90.341686 38.729031,-90.341685 38.72882,-90.341685 38.728646
0	12	47	53	1	1	943	1150	0.0	69.9	345.9	1	0	Right	5	1368.1	1714.0	-90.344369 38.731303,-90.342928 38.72901,-90.342861 38.728925,-90.342794 38.728858,-90.342717 38.7288,-90.342627 38.728747,-90.342522 38.728704,-90.342406 38.72867,-90.342299 38.728651,-90.342198 38.728646,-90.341685 38.728646
0	13	53	48	1	1	738	900	0.0	54.5	270.5	1	0	Left	20	1714.0	1984.5	-90.345991 38.733939,-90.345976 38.733882,-90.345941 38.733796,-90.344369 38.731303
0	14	48	14	1	1	41	50	0.0	9.3	21.3	1	0	U	120	1984.5	2005.8	-90.345991 38.733939,-90.345997 38.733965,-90.346007 38.734046,-90.346012 38.734303,-90.346012 38.734449
0	15	14	58	1	1	164	200	0.0	11.6	59.6	0	0	Right	5	2005.8	2017.4	-90.347095 38.734446,-90.346012 38.734449
0	16	58	59	0	1	82	100	0.0	24.9	48.9	1	0	U	120	2017.4	2066.3	-90.347095 38.734446,-90.35018699999999 38.734431
0	17	59	23	0	1	41	50	0.0	11.6	23.6	1	0	Right	5	2066.3	2089.9	-90.35018699999999 38.734431,-90.35018699999999 38.735236,-90.350186 38.735713
0	18	23	59	0	1	82	100	0.0	11.9	35.9	1	0	U	120	2089.9	2125.8	-90.350186 38.735713,-90.35018699999999 38.735236,-90.35018699999999 38.734431
0	19	59	58	0	1	82	100	0.0	25.4	49.4	1	0	Left	20	2125.8	2175.2	-90.35018699999999 38.734431,-90.347095 38.734446
0	20	58	14	1	1	164	200	0.0	11.6	59.6	1	0	Straight	0	2175.2	2234.8	-90.346012 38.734449,-90.347095 38.734446
0	21	14	55	1	1	164	200	0.0	20.9	68.9	1	0	U	120	2234.8	2303.7	-90.346012 38.734449,-90.345542 38.734454,-90.34535 38.734454,-90.345095 38.734452,-90.344976 38.734439,-90.344884 38.734418,-90.344786 38.734382,-90.34473 38.734356
0	22	55	54	1	1	615	750	0.0	51.9	231.9	1	0	Straight	0	2303.7	2535.6	-90.34473 38.734356,-90.344644 38.734317,-90.34456 38.734265,-90.34449599999999 38.734211,-90.34443399999999 38.734142,-90.344376 38.734057,-90.343971 38.733425,-90.34313999999999 38.732114,-90.343037 38.731948
0	23	54	6	0	1	287	350	0.0	22.7	106.7	1	0	Straight	0	2535.6	2642.3	-90.343037 38.731948,-90.342559 38.731179,-90.342133 38.730497,-90.34202499999999 38.730333,-90.34194099999999 38.730215,-90.34186 38.73012,-90.341776 38.73004,-90.34158 38.72989
0	24	6	54	0	1	410	500	0.0	22.2	142.2	1	0	U	120	2642.3	2784.5	-90.34158 38.72989,-90.341776 38.73004,-90.34186 38.73012,-90.34194099999999 38.730215,-90.34202499999999 38.730333,-90.342133 38.730497,-90.342559 38.731179,-90.343037 38.731948
0	25	54	6	0	1	287	350	0.0	22.7	106.7	0	0	U	120	2784.5	2807.2	-90.343037 38.731948,-90.342559 38.731179,-90.342133 38.730497,-90.34202499999999 38.730333,-90.34194099999999 38.730215,-90.34186 38.73012,-90.341776 38.73004,-90.34158 38.72989
0	26	6	52	1	0	0	0	0.0	3.9	0.0	0	0	Straight	0	2807.2	2811.1	-90.341388 38.729743,-90.34158 38.72989
0	27	52	56	1	1	1353	1650	0.0	76.4	472.4	1	0	U	120	2811.1	3283.5	-90.341388 38.729743,-90.341342 38.729788,-90.341231 38.729881,-90.34112 38.72996,-90.340996 38.730032,-90.340251 38.730398,-90.339969 38.730546,-90.33976 38.73066,-90.339636 38.73074,-90.339547 38.730809,-90.33945899999999 38.730891,-90.339365 38.730997,-90.339282 38.731111,-90.339213 38.731224,-90.339159 38.731338,-90.339118 38.731452,-90.33909 38.731564,-90.339075 38.731687,-90.339068 38.732014,-90.33906999999999 38.732653,-90.339072 38.732842,-90.33906999999999 38.734865
0	28	56	57	1	1	41	50	0.0	12.2	24.2	1	0	Straight	0	3283.5	3307.7	-90.339241 38.73581,-90.339198 38.735761,-90.33918 38.735736,-90.33915999999999 38.735705,-90.33914399999999 38.735679,-90.339131 38.735652,-90.339119 38.735625,-90.339107 38.73559,-90.339097 38.73556,-90.339089 38.735533,-90.33908199999999 38.735502,-90.33907599999999 38.73547,-90.339072 38.735428,-90.33906999999999 38.734865
