Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	17600	24000	4	50046.4	34946.4	10.261	1.046	1	0.00479875	330.404	24476.6	0.676688	0.211322	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	279	84	0	0	0	0	0.0	1001.2	0.0	0	0		0	0.0	1001.2	-90.453251 38.613293999999996,-90.451767 38.612762000000004,-90.451636 38.612773000000004,-90.45146 38.612815999999995,-90.450718 38.613096,-90.450464 38.613192,-90.449457 38.616066000000004,-90.449474 38.617754000000005,-90.449424 38.619487,-90.44943 38.620085,-90.449436 38.620293000000004,-90.44945 38.620779999999996,-90.449456 38.621588,-90.449459 38.621785,-90.449482 38.622955000000005,-90.449483 38.623047,-90.449487 38.623307,-90.449492 38.623812,-90.449493 38.623894,-90.449498 38.624374,-90.449504 38.624687,-90.449509 38.625372,-90.449514 38.625824,-90.449515 38.625952,-90.449516 38.62604,-90.449518 38.626166999999995,-90.449519 38.626339,-90.449526 38.626639999999995,-90.449061 38.626644999999996,-90.448818 38.626654,-90.448618 38.626653000000005,-90.448276 38.626655,-90.447494 38.626655,-90.447216 38.626656,-90.446927 38.626654,-90.446468 38.626663,-90.446173 38.626659000000004,-90.445811 38.626656,-90.445658 38.626655,-90.445481 38.626661,-90.445257 38.626661,-90.444825 38.626652,-90.444654 38.626653000000005,-90.444483 38.626657,-90.444367 38.62666,-90.444246 38.626663,-90.443801 38.626684,-90.443623 38.626694,-90.443322 38.626699,-90.443021 38.626718,-90.442681 38.626723,-90.442323 38.626747,-90.44221 38.626755,-90.442031 38.626767,-90.441908 38.626774999999995,-90.441844 38.626779,-90.441769 38.626783,-90.441591 38.626796999999996,-90.44147 38.626802,-90.441057 38.626829,-90.440919 38.626838,-90.44071 38.626853,-90.440146 38.62689,-90.439825 38.626912000000004,-90.438913 38.626981,-90.438472 38.627009,-90.438212 38.627025,-90.4373 38.627089,-90.437105 38.627105,-90.436927 38.627117999999996,-90.436807 38.627105,-90.436641 38.627111,-90.436567 38.627120000000005,-90.436173 38.627145,-90.436067 38.627155,-90.435984 38.627162,-90.435506 38.627196,-90.435304 38.627211,-90.435088 38.627266,-90.434907 38.627284,-90.434729 38.627296,-90.434484 38.627313,-90.434315 38.627324,-90.434122 38.627341,-90.433884 38.627355,-90.433414 38.627375,-90.43341 38.627486000000005,-90.433402 38.627973,-90.433457 38.629535000000004,-90.433463 38.630413000000004,-90.433463 38.630451,-90.433381 38.631823,-90.433369 38.631962,-90.433264 38.633009,-90.433177 38.634766,-90.433171 38.634929,-90.43316 38.635239,-90.431241 38.635284,-90.430968 38.635282000000004,-90.43078 38.635296,-90.430485 38.63525,-90.430264 38.635206,-90.427271 38.635009,-90.42691 38.635054,-90.426743 38.635074,-90.424604 38.635192,-90.423251 38.635323,-90.422978 38.635339,-90.422722 38.635329,-90.422387 38.635254,-90.421857 38.634999,-90.420789 38.63477,-90.420315 38.634763,-90.418368 38.63475,-90.417433 38.634746,-90.415333 38.634978000000004,-90.413472 38.634817,-90.412634 38.634896,-90.412144 38.635335999999995,-90.410704 38.635002,-90.410444 38.635001,-90.410287 38.634999,-90.410294 38.635560999999996,-90.41031 38.635698000000005,-90.410488 38.636123999999995,-90.410656 38.636935,-90.41063 38.637221,-90.410655 38.637562,-90.410652 38.637744,-90.410589 38.638441,-90.410278 38.639140999999995,-90.410204 38.639267000000004,-90.409444 38.639894999999996,-90.408136 38.641171,-90.407201 38.641014999999996,-90.405657 38.640879,-90.405532 38.640909,-90.403937 38.642134999999996,-90.402354 38.643282,-90.402138 38.643370000000004,-90.400211 38.643614,-90.399999 38.643626999999995,-90.396213 38.643010000000004,-90.395849 38.643045,-90.394443 38.643609999999995,-90.393895 38.643913999999995,-90.393346 38.644217999999995,-90.391803 38.645070000000004,-90.390156 38.645779000000005
0	1	84	85	0	0	0	0	0.0	19.3	0.0	0	0	Left	25	1026.2	1045.5	-90.390156 38.645779000000005,-90.390247 38.646007,-90.390391 38.6463,-90.390548 38.646575,-90.390783 38.646907,-90.390982 38.647172999999995,-90.39107 38.647318999999996,-90.391132 38.647458
0	2	85	28	0	0	0	0	0.0	1.1	0.0	0	0	Straight	0	1045.5	1046.6	-90.391132 38.647458,-90.39118 38.647565
0	3	28	87	0	0	0	0	0.0	20.9	0.0	0	0	Straight	0	1046.6	1067.5	-90.39118 38.647565,-90.391242 38.647707,-90.391293 38.647898999999995,-90.391314 38.648041,-90.391325 38.64817,-90.391328 38.648281999999995,-90.39132 38.648421,-90.391304 38.64856,-90.391274 38.648714999999996,-90.391228 38.648913,-90.391148 38.649260999999996,-90.391127 38.649418
0	4	87	88	0	0	0	0	0.0	9.9	0.0	0	0	Right	175	1242.5	1252.4	-90.391127 38.649418,-90.390852 38.649409,-90.390616 38.649462,-90.39042 38.649541,-90.390187 38.649688999999995
0	5	88	86	1	1	144	360	0.0	28.9	68.9	0	0	Left	25	1277.4	1306.3	-90.390187 38.649688999999995,-90.390389 38.650005
0	6	86	88	1	1	144	360	0.0	28.9	68.9	1	0	U	125	1431.3	1500.2	-90.390389 38.650005,-90.390187 38.649688999999995
0	7	88	92	0	1	180	450	0.0	20.4	70.4	1	0	Left	25	1525.2	1595.6	-90.390187 38.649688999999995,-90.389824 38.649857,-90.389521 38.649975,-90.389299 38.650093999999996,-90.389157 38.650188,-90.389032 38.650341999999995,-90.38883 38.650579,-90.388703 38.650717
0	8	92	91	1	1	468	1170	0.0	31.5	161.5	1	0	Straight	0	1595.6	1757.1	-90.388703 38.650717,-90.388498 38.650823,-90.388368 38.650877,-90.388181 38.65092,-90.387938 38.650931,-90.387783 38.650925,-90.387434 38.650872,-90.387279 38.650845000000004,-90.387036 38.650855,-90.386825 38.650909,-90.386675 38.650979,-90.38647 38.651097,-90.386327 38.651258999999996,-90.386258 38.65135
0	9	91	67	0	0	0	0	0.0	6.8	0.0	0	0	Straight	0	1757.1	1763.9	-90.386258 38.65135,-90.386193 38.651489,-90.386162 38.651624999999996,-90.386148 38.651741,-90.386148 38.651816
