ClusteringMethod	ComputationTime	K_LB	K	CCI	NHO	ATD	DMT
METIS_MODIFIED	3.222	2	2	1.05263	17.1228	490.809	34064.5
Starting Node	Ending Node	Cluster	Required	Is Edge	Weight	Volume	Shape
121	50	1	1	1	216	540	-90.384829 38.609322,-90.384112 38.609976
50	121	1	1	1	216	540	-90.384112 38.609976,-90.384829 38.609322
57	56	1	1	1	198	495	-90.382291 38.607006999999996,-90.382345 38.606992000000005,-90.382389 38.606964000000005,-90.382438 38.606925000000004,-90.382946 38.60646
56	57	1	1	1	198	495	-90.382946 38.60646,-90.382438 38.606925000000004,-90.382389 38.606964000000005,-90.382345 38.606992000000005,-90.382291 38.607006999999996
500	58	1	1	1	198	495	-90.382554 38.605729,-90.382491 38.60573,-90.382435 38.605749,-90.382335 38.605807999999996,-90.382169 38.605953,-90.381956 38.606156999999996,-90.381865 38.606235999999996,-90.381763 38.606331999999995,-90.381702 38.606392,-90.381675 38.606437,-90.381671 38.606474
58	500	1	1	1	198	495	-90.381671 38.606474,-90.381675 38.606437,-90.381702 38.606392,-90.381763 38.606331999999995,-90.381865 38.606235999999996,-90.381956 38.606156999999996,-90.382169 38.605953,-90.382335 38.605807999999996,-90.382435 38.605749,-90.382491 38.60573,-90.382554 38.605729
83	82	1	1	1	144	360	-90.382332 38.602326000000005,-90.382305 38.602194999999995,-90.382264 38.602076,-90.382175 38.601935999999995,-90.381107 38.600439
82	83	1	1	1	144	360	-90.381107 38.600439,-90.382175 38.601935999999995,-90.382264 38.602076,-90.382305 38.602194999999995,-90.382332 38.602326000000005
498	94	1	1	1	18	45	-90.380331 38.605959999999996,-90.380284 38.606178,-90.380233 38.606424000000004,-90.380142 38.606815,-90.380039 38.607095,-90.379909 38.607363,-90.37978 38.607654,-90.379573 38.607934,-90.379327 38.608158,-90.379095 38.608337,-90.378849 38.608492999999996,-90.378551 38.608672,-90.378267 38.608806,-90.378013 38.608878000000004,-90.377753 38.608924,-90.377472 38.608982999999995,-90.377313 38.609010999999995,-90.377138 38.609044,-90.376995 38.609079,-90.376852 38.609124,-90.376726 38.609171,-90.376627 38.609210000000004,-90.376527 38.60926,-90.376371 38.609346,-90.376287 38.609398,-90.376196 38.60946,-90.376075 38.609552,-90.375719 38.609847
