Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	24242.1	22231	379.791	0.815	0.0210716	394.42	1	7516	0.180704	0.0137056	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	LINESTRING(432.455365 -432.455365,407.129554 -415.276308)
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	LINESTRING(407.129554 -415.276308,297.503138 -331.953362)
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	LINESTRING(297.503138 -331.953362,273.360283 -301.425769)
0	3	160	192	1	0	0	0	0	48	0	0	0	Straight	0.0	233.0	281.0	LINESTRING(273.360283 -301.425769,234.643159 -278.380051)
0	4	192	206	1	0	0	0	0	31	0	0	0	Straight	0.0	281.0	312.0	LINESTRING(234.643159 -278.380051,209.081716 -279.331191)
0	5	206	212	1	0	0	0	0	7	0	0	0	Straight	0.0	312.0	319.0	LINESTRING(209.081716 -279.331191,203.487166 -282.713367)
0	6	212	218	1	0	0	0	0	22	0	0	0	Right	5.21	324.21	346.21	LINESTRING(203.487166 -282.713367,184.615833 -273.075208)
0	7	218	232	1	0	0	0	0	8	0	0	0	Straight	0.0	346.21	354.21	LINESTRING(184.615833 -273.075208,177.929752 -266.263863)
0	8	232	242	1	0	0	0	0	14	0	0	0	Straight	0.0	354.21	368.21	LINESTRING(177.929752 -266.263863,166.487880 -263.207433)
0	9	242	244	1	0	0	0	0	7	0	0	0	Straight	0.0	368.21	375.21	LINESTRING(166.487880 -263.207433,161.393522 -254.807580)
0	10	244	246	1	0	0	0	0	9	0	0	0	Straight	0.0	375.21	384.21	LINESTRING(161.393522 -254.807580,155.886311 -245.246769)
0	11	246	230	1	0	0	0	0	9	0	0	0	Straight	0.0	384.21	393.21	LINESTRING(155.886311 -245.246769,148.501251 -241.003772)
0	12	230	248	1	0	0	0	0	13	0	0	0	Left	10.42	403.63	416.63	LINESTRING(148.501251 -241.003772,137.990036 -244.580861)
0	13	248	250	1	0	0	0	0	16	0	0	0	Straight	0.0	416.63	432.63	LINESTRING(137.990036 -244.580861,125.781347 -251.022702)
0	14	250	280	1	0	0	0	0	12	0	0	0	Straight	0.0	432.63	444.63	LINESTRING(125.781347 -251.022702,115.735437 -253.311159)
0	15	280	284	1	0	0	0	0	8	0	0	0	Straight	0.0	444.63	452.63	LINESTRING(115.735437 -253.311159,109.136153 -255.269571)
0	16	284	288	1	0	0	0	0	8	0	0	0	Straight	0.0	452.63	460.63	LINESTRING(109.136153 -255.269571,102.660356 -257.672205)
0	17	288	292	1	0	0	0	0	8	0	0	0	Straight	0.0	460.63	468.63	LINESTRING(102.660356 -257.672205,96.390126 -260.592068)
0	18	292	306	1	0	0	0	0	8	0	0	0	Straight	0.0	468.63	476.63	LINESTRING(96.390126 -260.592068,89.757996 -262.387642)
0	19	306	310	1	0	0	0	0	8	0	0	0	Straight	0.0	476.63	484.63	LINESTRING(89.757996 -262.387642,83.473404 -265.152627)
0	20	310	300	1	0	0	0	0	18	0	0	0	Straight	0.0	484.63	502.63	LINESTRING(83.473404 -265.152627,68.673921 -267.657651)
0	21	300	302	1	0	0	0	0	16	0	0	0	Straight	0.0	502.63	518.63	LINESTRING(68.673921 -267.657651,56.762267 -272.710136)
0	22	302	1252	1	0	0	0	0	1	0	0	0	Straight	0.0	518.63	519.63	LINESTRING(56.762267 -272.710136,56.051277 -273.201052)
0	23	1252	520	1	0	0	0	0	23	0	0	0	Straight	0.0	519.63	542.63	LINESTRING(56.051277 -273.201052,36.413163 -272.553391)
0	24	520	522	1	0	0	0	0	33	0	0	0	Straight	0.0	542.63	575.63	LINESTRING(36.413163 -272.553391,8.326525 -273.391702)
0	25	522	524	1	0	0	0	0	6	0	0	0	Straight	0.0	575.63	581.63	LINESTRING(8.326525 -273.391702,3.215588 -273.634562)
0	26	524	770	1	0	0	0	0	2	0	0	0	Straight	0.0	581.63	583.63	LINESTRING(3.215588 -273.634562,1.600726 -273.371646)
0	27	770	766	1	0	0	0	0	5	0	0	0	Straight	0.0	583.63	588.63	LINESTRING(1.600726 -273.371646,-2.168865 -271.429903)
0	28	766	762	1	0	0	0	0	5	0	0	0	Straight	0.0	588.63	593.63	LINESTRING(-2.168865 -271.429903,-6.077987 -270.077063)
0	29	762	758	1	0	0	0	0	6	0	0	0	Straight	0.0	593.63	599.63	LINESTRING(-6.077987 -270.077063,-10.584361 -266.727926)
0	30	758	754	1	0	0	0	0	6	0	0	0	Straight	0.0	599.63	605.63	LINESTRING(-10.584361 -266.727926,-15.312306 -264.094028)
0	31	754	776	1	0	0	0	0	5	0	0	0	Straight	0.0	605.63	610.63	LINESTRING(-15.312306 -264.094028,-19.253346 -261.344667)
0	32	776	782	1	0	0	0	0	5	0	0	0	Straight	0.0	610.63	615.63	LINESTRING(-19.253346 -261.344667,-23.422427 -258.426182)
0	33	782	784	1	1	190	190	0	26	203	1	0	Straight	0.0	615.63	818.63	LINESTRING(-23.422427 -258.426182,-35.039752 -233.376779)
0	34	784	778	1	0	0	0	0	6	0	0	0	Right	5.21	823.84	829.84	LINESTRING(-35.039752 -233.376779,-31.481008 -234.550677)
0	35	778	776	1	1	210	210	0	28	224	1	0	Right	5.21	835.05	1059.05	LINESTRING(-31.481008 -234.550677,-19.253346 -261.344667)
0	36	776	774	1	1	100	100	0	20	110	1	0	Right	5.21	1064.26	1174.26	LINESTRING(-19.253346 -261.344667,-32.509194 -274.570563)
0	37	774	780	1	0	0	0	0	6	0	0	0	Right	5.21	1179.47	1185.47	LINESTRING(-32.509194 -274.570563,-37.022778 -271.070287)
0	38	780	782	1	1	130	130	0	20	140	1	0	Right	5.21	1190.68	1330.68	LINESTRING(-37.022778 -271.070287,-23.422427 -258.426182)
0	39	782	788	1	0	0	0	0	5	0	0	0	Left	10.42	1341.1	1346.1	LINESTRING(-23.422427 -258.426182,-27.718030 -255.669882)
0	40	788	790	1	1	200	200	0	24	212	1	0	Straight	0.0	1346.1	1558.1	LINESTRING(-27.718030 -255.669882,-38.335247 -232.368850)
0	41	790	784	1	0	0	0	0	5	0	0	0	Right	5.21	1563.31	1568.31	LINESTRING(-38.335247 -232.368850,-35.039752 -233.376779)
0	42	784	778	1	0	0	0	0	6	0	0	0	Straight	0.0	1568.31	1574.31	LINESTRING(-35.039752 -233.376779,-31.481008 -234.550677)
0	43	778	756	1	0	0	0	0	5	0	0	0	Straight	0.0	1574.31	1579.31	LINESTRING(-31.481008 -234.550677,-27.599172 -236.815724)
0	44	756	760	1	0	0	0	0	6	0	0	0	Straight	0.0	1579.31	1585.31	LINESTRING(-27.599172 -236.815724,-23.562389 -238.078473)
0	45	760	758	1	1	270	270	0	31	285	1	0	Right	5.21	1590.52	1875.52	LINESTRING(-23.562389 -238.078473,-10.584361 -266.727926)
0	46	758	748	1	1	160	160	0	22	171	1	0	Right	5.21	1880.73	2051.73	LINESTRING(-10.584361 -266.727926,-23.941617 -281.431808)
0	47	748	734	1	1	150	150	0	19	159	1	0	Straight	0.0	2051.73	2210.73	LINESTRING(-23.941617 -281.431808,-25.484546 -298.428270)
0	48	734	510	1	0	0	0	0	9	0	0	0	Straight	0.0	2210.73	2219.73	LINESTRING(-25.484546 -298.428270,-30.187580 -307.259603)
0	49	510	726	1	0	0	0	0	4	0	0	0	Straight	0.0	2219.73	2223.73	LINESTRING(-30.187580 -307.259603,-32.707168 -310.301833)
0	50	726	716	1	1	130	130	0	18	139	1	0	Straight	0.0	2223.73	2362.73	LINESTRING(-32.707168 -310.301833,-44.764236 -323.400170)
0	51	716	698	1	1	200	200	0	22	211	1	0	Straight	0.0	2362.73	2573.73	LINESTRING(-44.764236 -323.400170,-57.828923 -339.066157)
0	52	698	692	1	1	80	80	0	11	85	1	0	Right	5.21	2578.94	2663.94	LINESTRING(-57.828923 -339.066157,-68.376806 -338.395515)
0	53	692	686	1	1	0	0	0	5	2	0	0	Left	10.42	2674.36	2679.36	LINESTRING(-68.376806 -338.395515,-70.249389 -343.339783)
0	54	686	688	1	1	40	40	0	9	44	1	0	Straight	0.0	2679.36	2723.36	LINESTRING(-70.249389 -343.339783,-69.141189 -351.157003)
0	55	688	682	1	1	20	20	0	9	24	1	0	Right	5.21	2728.57	2752.57	LINESTRING(-69.141189 -351.157003,-73.296154 -352.920287)
0	56	682	686	1	1	20	20	0	10	25	1	0	Right	5.21	2757.78	2782.78	LINESTRING(-73.296154 -352.920287,-70.249389 -343.339783)
0	57	686	692	1	1	0	0	0	5	2	1	0	Straight	0.0	2782.78	2784.78	LINESTRING(-70.249389 -343.339783,-68.376806 -338.395515)
0	58	692	694	1	1	40	40	0	7	43	1	0	Straight	0.0	2784.78	2827.78	LINESTRING(-68.376806 -338.395515,-70.305364 -332.577323)
0	59	694	676	1	0	0	0	0	6	0	0	0	U	41.682	2869.46	2875.46	LINESTRING(-70.305364 -332.577323,-72.169759 -337.437187)
0	60	676	678	1	1	60	60	0	21	70	1	0	Straight	0.0	2875.46	2945.46	LINESTRING(-72.169759 -337.437187,-77.191348 -358.849124)
0	61	678	672	1	0	0	0	0	5	0	0	0	U	41.682	2987.14	2992.14	LINESTRING(-77.191348 -358.849124,-75.850186 -354.556951)
0	62	672	676	1	1	150	150	0	17	158	1	0	Straight	0.0	2992.14	3150.14	LINESTRING(-75.850186 -354.556951,-72.169759 -337.437187)
0	63	676	694	1	0	0	0	0	6	0	0	0	Straight	0.0	3150.14	3156.14	LINESTRING(-72.169759 -337.437187,-70.305364 -332.577323)
0	64	694	708	1	1	30	30	0	6	33	1	0	Straight	0.0	3156.14	3189.14	LINESTRING(-70.305364 -332.577323,-68.183933 -326.669003)
0	65	708	710	1	0	0	0	0	1	0	0	0	Right	5.21	3194.35	3195.35	LINESTRING(-68.183933 -326.669003,-67.228833 -326.811454)
0	66	710	714	1	1	100	100	0	21	110	1	0	Straight	0.0	3195.35	3305.35	LINESTRING(-67.228833 -326.811454,-49.170794 -321.309139)
0	67	714	728	1	1	70	70	0	20	80	1	0	Straight	0.0	3305.35	3385.35	LINESTRING(-49.170794 -321.309139,-37.254450 -307.631588)
