Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	30846.2	27892	3.6823	0	0.637242	919.713	1.21429	25831	2.66665	0.507108	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	LINESTRING(439.900239 -439.900239,410.197939 -423.017536)
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	LINESTRING(410.197939 -423.017536,293.313668 -333.567765)
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	LINESTRING(293.313668 -333.567765,270.335101 -303.488086)
0	3	160	1240	1	0	0	0	0	8	0	0	0	Straight	0.0	233.0	241.0	LINESTRING(270.335101 -303.488086,271.088971 -297.755405)
0	4	1240	156	1	0	0	0	0	2	0	0	0	Left	10.42	251.42	253.42	LINESTRING(271.088971 -297.755405,269.570216 -296.298662)
0	5	156	190	1	1	410	410	0	42	431	1	0	Straight	0.0	253.42	684.42	LINESTRING(269.570216 -296.298662,232.007754 -270.683195)
0	6	190	138	1	0	0	0	0	6	0	0	0	Right	5.21	689.63	695.63	LINESTRING(232.007754 -270.683195,238.075637 -266.916493)
0	7	138	116	1	1	230	230	0	22	241	1	0	Straight	0.0	695.63	936.63	LINESTRING(238.075637 -266.916493,246.979153 -252.408422)
0	8	116	112	1	1	70	70	0	8	74	1	0	Straight	0.0	936.63	1010.63	LINESTRING(246.979153 -252.408422,246.341529 -245.232342)
0	9	112	94	1	1	190	190	0	19	199	1	0	Left	10.42	1021.05	1220.05	LINESTRING(246.341529 -245.232342,226.655930 -236.817906)
0	10	94	86	1	1	60	60	0	8	64	1	0	Straight	0.0	1220.05	1284.05	LINESTRING(226.655930 -236.817906,218.598016 -229.237112)
0	11	86	80	1	1	60	60	0	8	64	1	0	Straight	0.0	1284.05	1348.05	LINESTRING(218.598016 -229.237112,211.223798 -223.726275)
0	12	80	60	1	1	240	240	0	25	252	1	0	Right	5.21	1353.26	1605.26	LINESTRING(211.223798 -223.726275,229.066897 -209.221539)
0	13	60	72	1	1	60	60	0	8	64	1	0	Right	5.21	1610.47	1674.47	LINESTRING(229.066897 -209.221539,237.291586 -213.109369)
0	14	72	64	1	1	240	240	0	25	252	1	0	Left	10.42	1684.89	1936.89	LINESTRING(237.291586 -213.109369,261.497872 -202.473704)
0	15	64	58	1	0	0	0	0	8	0	0	0	Left	10.42	1947.31	1955.31	LINESTRING(261.497872 -202.473704,255.880455 -197.158898)
0	16	58	60	1	1	390	390	0	28	404	1	0	Left	10.42	1965.73	2369.73	LINESTRING(255.880455 -197.158898,229.066897 -209.221539)
0	17	60	56	1	1	60	60	0	8	64	1	0	Right	5.21	2374.94	2438.94	LINESTRING(229.066897 -209.221539,220.144424 -205.359096)
0	18	56	54	1	1	300	300	0	32	316	1	0	Right	5.21	2444.15	2760.15	LINESTRING(220.144424 -205.359096,249.973751 -191.565350)
0	19	54	1198	1	0	0	0	0	9	0	0	0	Left	10.42	2770.57	2779.57	LINESTRING(249.973751 -191.565350,241.599278 -186.846167)
0	20	1198	1138	1	1	100	100	0	23	111	1	0	Right	5.21	2784.78	2895.78	LINESTRING(241.599278 -186.846167,259.340886 -172.248556)
0	21	1138	1140	1	1	50	50	0	9	54	1	0	Straight	0.0	2895.78	2949.78	LINESTRING(259.340886 -172.248556,261.972086 -166.825017)
0	22	1140	1112	1	1	90	90	0	10	95	1	0	Straight	0.0	2949.78	3044.78	LINESTRING(261.972086 -166.825017,269.296598 -159.721366)
0	23	1112	1110	1	1	100	100	0	10	105	1	0	U	41.682	3086.46	3191.46	LINESTRING(269.296598 -159.721366,263.541225 -162.065221)
0	24	1110	1096	1	1	50	50	0	8	54	1	0	Right	5.21	3196.67	3250.67	LINESTRING(263.541225 -162.065221,262.134784 -156.730764)
