Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	1	14812.9	14146	5.406	0	1	0	269.079	2919	0.350836	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	293.313668 -333.567765,270.335101 -303.488086
0	3	160	1240	1	0	0	0	0	8	0	0	0	Straight	0.0	233.0	241.0	270.335101 -303.488086,271.088971 -297.755405
0	4	1240	156	1	0	0	0	0	2	0	0	0	Left	10.42	251.42	253.42	271.088971 -297.755405,269.570216 -296.298662
0	5	156	154	1	1	70	70	0	11	75	1	0	Right	5.21	258.63	333.63	269.570216 -296.298662,275.39438 -288.712349
0	6	154	152	1	1	50	50	0	8	54	1	0	Left	10.42	344.05	398.05	275.39438 -288.712349,268.03159 -284.504659
0	7	152	146	1	1	260	260	0	45	282	1	0	Right	5.21	403.26	685.26	268.03159 -284.504659,318.065661 -259.911912
0	8	146	148	1	1	60	60	0	8	64	1	0	Straight	0.0	685.26	749.26	318.065661 -259.911912,326.083764 -262.107523
0	9	148	150	1	0	0	0	0	6	0	0	0	Right	5.21	754.47	760.47	326.083764 -262.107523,319.774169 -267.706053
0	10	150	154	1	1	250	250	0	39	269	1	0	Straight	0.0	760.47	1029.47	319.774169 -267.706053,275.39438 -288.712349
0	11	154	152	1	1	50	50	0	8	54	0	0	Right	5.21	1034.68	1042.68	275.39438 -288.712349,268.03159 -284.504659
0	12	152	144	1	1	90	90	0	14	97	1	0	Straight	0.0	1042.68	1139.68	268.03159 -284.504659,255.785294 -275.285581
0	13	144	140	1	1	70	70	0	10	75	1	0	Straight	0.0	1139.68	1214.68	255.785294 -275.285581,245.851378 -271.258995
0	14	140	122	1	1	790	790	0	82	831	1	0	Right	5.21	1219.89	2050.89	245.851378 -271.258995,278.907313 -214.731397
0	15	122	130	1	0	0	0	0	10	0	0	0	Right	5.21	2056.1	2066.1	278.907313 -214.731397,289.954935 -219.348678
0	16	130	40	1	0	0	0	0	10	0	0	0	Straight	0.0	2066.1	2076.1	289.954935 -219.348678,300.816214 -221.828568
0	17	40	16	1	0	0	0	0	7	0	0	0	Straight	0.0	2076.1	2083.1	300.816214 -221.828568,308.381817 -225.060415
0	18	16	14	1	1	560	560	0	50	585	1	0	Straight	0.0	2083.1	2668.1	308.381817 -225.060415,358.153775 -205.444224
0	19	14	10	1	0	0	0	0	9	0	0	0	Right	5.21	2673.31	2682.31	358.153775 -205.444224,364.140146 -210.6104
0	20	10	6	1	0	0	0	0	8	0	0	0	Straight	0.0	2682.31	2690.31	364.140146 -210.6104,370.33121 -216.370266
0	21	6	8	1	1	240	240	0	45	262	1	0	Right	5.21	2695.52	2957.52	370.33121 -216.370266,324.962545 -234.815893
0	22	8	12	1	0	0	0	0	8	0	0	0	Right	5.21	2962.73	2970.73	324.962545 -234.815893,317.03618 -229.262933
0	23	12	10	1	1	480	480	0	47	503	1	0	Right	5.21	2975.94	3478.94	317.03618 -229.262933,364.140146 -210.6104
0	24	10	6	1	0	0	0	0	8	0	0	0	Right	5.21	3484.15	3492.15	364.140146 -210.6104,370.33121 -216.370266
0	25	6	8	1	1	240	240	0	45	262	0	0	Right	5.21	3497.36	3542.36	370.33121 -216.370266,324.962545 -234.815893
0	26	8	124	1	0	0	0	0	8	0	0	0	Left	10.42	3552.78	3560.78	324.962545 -234.815893,331.415571 -241.500565
0	27	124	132	1	1	360	360	0	34	377	1	0	U	41.682	3602.46	3979.46	331.415571 -241.500565,297.602908 -225.086884
0	28	132	134	1	0	0	0	0	8	0	0	0	U	41.682	4021.14	4029.14	297.602908 -225.086884,304.342934 -232.468112
0	29	134	126	1	1	360	360	0	32	376	1	0	Straight	0.0	4029.14	4405.14	304.342934 -232.468112,335.749616 -247.929978
0	30	126	128	1	0	0	0	0	8	0	0	0	Right	5.21	4410.35	4418.35	335.749616 -247.929978,333.816825 -255.148413
0	31	128	136	1	1	360	360	0	31	375	1	0	Right	5.21	4423.56	4798.56	333.816825 -255.148413,309.799654 -240.207453
0	32	136	142	1	0	0	0	0	8	0	0	0	Left	10.42	4808.98	4816.98	309.799654 -240.207453,304.082345 -247.917721
0	33	142	144	1	1	230	230	0	45	252	1	0	Straight	0.0	4816.98	5068.98	304.082345 -247.917721,255.785294 -275.285581
0	34	144	140	1	1	70	70	0	10	75	0	0	Right	5.21	5074.19	5084.19	255.785294 -275.285581,245.851378 -271.258995
0	35	140	138	1	1	30	30	0	8	34	1	0	Straight	0.0	5084.19	5118.19	245.851378 -271.258995,238.075637 -266.916493
0	36	138	190	1	0	0	0	0	6	0	0	0	Left	10.42	5128.61	5134.61	238.075637 -266.916493,232.007754 -270.683195
0	37	190	194	1	0	0	0	0	6	0	0	0	Straight	0.0	5134.61	5140.61	232.007754 -270.683195,225.518415 -273.827549
0	38	194	202	1	1	120	120	0	24	132	1	0	Straight	0.0	5140.61	5272.61	225.518415 -273.827549,200.723452 -270.288799
0	39	202	204	1	1	110	110	0	25	122	1	0	Straight	0.0	5272.61	5394.61	200.723452 -270.288799,179.139342 -246.520571
0	40	204	224	1	1	30	30	0	8	34	1	0	Straight	0.0	5394.61	5428.61	179.139342 -246.520571,172.894484 -238.189582
0	41	224	226	1	1	100	100	0	19	109	1	0	U	41.682	5470.3	5579.3	172.894484 -238.189582,172.017676 -253.772483
0	42	226	210	1	0	0	0	0	8	0	0	0	Left	10.42	5589.72	5597.72	172.017676 -253.772483,178.728224 -260.871033
0	43	210	212	1	1	110	110	0	21	120	1	0	Straight	0.0	5597.72	5717.72	178.728224 -260.871033,188.03524 -275.809087
0	44	212	198	1	1	180	180	0	20	190	0	0	Straight	0.0	5717.72	5737.72	188.03524 -275.809087,200.29094 -295.741052
0	45	198	212	1	1	180	180	0	20	190	1	0	U	41.682	5779.4	5969.4	200.29094 -295.741052,188.03524 -275.809087
0	46	212	218	1	0	0	0	0	22	0	0	0	Straight	0.0	5969.4	5991.4	188.03524 -275.809087,166.84824 -264.433542
0	47	218	232	1	0	0	0	0	8	0	0	0	Straight	0.0	5991.4	5999.4	166.84824 -264.433542,160.111957 -257.509889
0	48	232	226	1	1	80	80	0	12	86	1	0	Right	5.21	6004.61	6090.61	160.111957 -257.509889,172.017676 -253.772483
0	49	226	210	1	0	0	0	0	8	0	0	0	Right	5.21	6095.82	6103.82	172.017676 -253.772483,178.728224 -260.871033
0	50	210	212	1	1	110	110	0	21	120	0	0	Straight	0.0	6103.82	6124.82	178.728224 -260.871033,188.03524 -275.809087
0	51	212	1232	1	0	0	0	0	5	0	0	0	Straight	0.0	6124.82	6129.82	188.03524 -275.809087,190.32447 -280.800263
0	52	1232	1234	1	1	160	160	0	12	166	0	0	Straight	0.0	6129.82	6141.82	190.32447 -280.800263,197.592302 -292.375445
0	53	1234	1232	1	1	160	160	0	12	166	1	0	U	41.682	6183.5	6349.5	197.592302 -292.375445,190.32447 -280.800263
0	54	1232	212	1	0	0	0	0	5	0	0	0	Straight	0.0	6349.5	6354.5	190.32447 -280.800263,188.03524 -275.809087
0	55	212	206	1	1	60	60	0	7	63	1	0	Right	5.21	6359.71	6422.71	188.03524 -275.809087,195.730876 -273.866287
0	56	206	202	1	1	60	60	0	8	64	1	0	Straight	0.0	6422.71	6486.71	195.730876 -273.866287,200.723452 -270.288799
0	57	202	194	1	1	120	120	0	24	132	0	0	Straight	0.0	6486.71	6510.71	200.723452 -270.288799,225.518415 -273.827549
0	58	194	190	1	0	0	0	0	6	0	0	0	Straight	0.0	6510.71	6516.71	225.518415 -273.827549,232.007754 -270.683195
