Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	1	15038.4	14210	13.814	0	1	0	269.079	2919	0.0501195	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	439.900239 -439.900239,410.197939 -423.017536
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	410.197939 -423.017536,293.313668 -333.567765
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	293.313668 -333.567765,270.335101 -303.488086
0	3	160	1240	1	0	0	0	0	8	0	0	0	Straight	0.0	233.0	241.0	270.335101 -303.488086,271.088971 -297.755405
0	4	1240	156	1	0	0	0	0	2	0	0	0	Left	10.42	251.42	253.42	271.088971 -297.755405,269.570216 -296.298662
0	5	156	154	1	1	70	70	0	11	75	1	0	Right	5.21	258.63	333.63	269.570216 -296.298662,275.39438 -288.712349
0	6	154	152	1	1	50	50	0	8	54	1	0	Left	10.42	344.05	398.05	275.39438 -288.712349,268.03159 -284.504659
0	7	152	144	1	1	90	90	0	14	97	1	0	Straight	0.0	398.05	495.05	268.03159 -284.504659,255.785294 -275.285581
0	8	144	142	1	1	230	230	0	45	252	1	0	Right	5.21	500.26	752.26	255.785294 -275.285581,304.082345 -247.917721
0	9	142	136	1	0	0	0	0	8	0	0	0	Straight	0.0	752.26	760.26	304.082345 -247.917721,309.799654 -240.207453
0	10	136	128	1	1	360	360	0	31	375	1	0	Right	5.21	765.47	1140.47	309.799654 -240.207453,333.816825 -255.148413
0	11	128	148	1	0	0	0	0	8	0	0	0	Right	5.21	1145.68	1153.68	333.816825 -255.148413,326.083764 -262.107523
0	12	148	150	1	0	0	0	0	6	0	0	0	Straight	0.0	1153.68	1159.68	326.083764 -262.107523,319.774169 -267.706053
0	13	150	154	1	1	250	250	0	39	269	1	0	Straight	0.0	1159.68	1428.68	319.774169 -267.706053,275.39438 -288.712349
0	14	154	156	1	1	70	70	0	11	75	0	0	Straight	0.0	1428.68	1439.68	275.39438 -288.712349,269.570216 -296.298662
0	15	156	190	1	0	0	0	0	42	0	0	0	Right	5.21	1444.89	1486.89	269.570216 -296.298662,232.007754 -270.683195
0	16	190	194	1	0	0	0	0	6	0	0	0	Left	10.42	1497.31	1503.31	232.007754 -270.683195,225.518415 -273.827549
0	17	194	202	1	1	120	120	0	24	132	1	0	Straight	0.0	1503.31	1635.31	225.518415 -273.827549,200.723452 -270.288799
0	18	202	204	1	1	110	110	0	25	122	1	0	Straight	0.0	1635.31	1757.31	200.723452 -270.288799,179.139342 -246.520571
0	19	204	224	1	1	30	30	0	8	34	1	0	Straight	0.0	1757.31	1791.31	179.139342 -246.520571,172.894484 -238.189582
0	20	224	226	1	1	100	100	0	19	109	1	0	U	41.682	1832.99	1941.99	172.894484 -238.189582,172.017676 -253.772483
0	21	226	232	1	1	80	80	0	12	86	1	0	Right	5.21	1947.2	2033.2	172.017676 -253.772483,160.111957 -257.509889
0	22	232	218	1	0	0	0	0	8	0	0	0	Left	10.42	2043.62	2051.62	160.111957 -257.509889,166.84824 -264.433542
0	23	218	212	1	0	0	0	0	22	0	0	0	Straight	0.0	2051.62	2073.62	166.84824 -264.433542,188.03524 -275.809087
0	24	212	1232	1	0	0	0	0	5	0	0	0	Straight	0.0	2073.62	2078.62	188.03524 -275.809087,190.32447 -280.800263
0	25	1232	1234	1	1	160	160	0	12	166	1	0	Straight	0.0	2078.62	2244.62	190.32447 -280.800263,197.592302 -292.375445
0	26	1234	1232	1	1	160	160	0	12	166	0	0	U	41.682	2286.3	2298.3	197.592302 -292.375445,190.32447 -280.800263
0	27	1232	216	1	0	0	0	0	6	0	0	0	Left	10.42	2308.72	2314.72	190.32447 -280.800263,188.926373 -284.98483
0	28	216	220	1	0	0	0	0	19	0	0	0	Right	5.21	2319.93	2338.93	188.926373 -284.98483,170.955278 -274.563417
0	29	220	218	1	0	0	0	0	9	0	0	0	Straight	0.0	2338.93	2347.93	170.955278 -274.563417,166.84824 -264.433542
0	30	218	210	1	0	0	0	0	12	0	0	0	Right	5.21	2353.14	2365.14	166.84824 -264.433542,178.728224 -260.871033
0	31	210	212	1	1	110	110	0	21	120	1	0	Right	5.21	2370.35	2490.35	178.728224 -260.871033,188.03524 -275.809087
0	32	212	198	1	1	180	180	0	20	190	0	0	Straight	0.0	2490.35	2510.35	188.03524 -275.809087,200.29094 -295.741052
0	33	198	212	1	1	180	180	0	20	190	1	0	U	41.682	2552.04	2742.04	200.29094 -295.741052,188.03524 -275.809087
0	34	212	206	1	1	60	60	0	7	63	1	0	Right	5.21	2747.25	2810.25	188.03524 -275.809087,195.730876 -273.866287
0	35	206	202	1	1	60	60	0	8	64	1	0	Straight	0.0	2810.25	2874.25	195.730876 -273.866287,200.723452 -270.288799
0	36	202	194	1	1	120	120	0	24	132	0	0	Straight	0.0	2874.25	2898.25	200.723452 -270.288799,225.518415 -273.827549
0	37	194	190	1	0	0	0	0	6	0	0	0	Straight	0.0	2898.25	2904.25	225.518415 -273.827549,232.007754 -270.683195
0	38	190	138	1	0	0	0	0	6	0	0	0	Straight	0.0	2904.25	2910.25	232.007754 -270.683195,238.075637 -266.916493
0	39	138	140	1	1	30	30	0	8	34	1	0	Right	5.21	2915.46	2949.46	238.075637 -266.916493,245.851378 -271.258995
0	40	140	122	1	1	790	790	0	82	831	1	0	Left	10.42	2959.88	3790.88	245.851378 -271.258995,278.907313 -214.731397
0	41	122	130	1	0	0	0	0	10	0	0	0	Right	5.21	3796.09	3806.09	278.907313 -214.731397,289.954935 -219.348678
0	42	130	40	1	0	0	0	0	10	0	0	0	Straight	0.0	3806.09	3816.09	289.954935 -219.348678,300.816214 -221.828568
0	43	40	16	1	0	0	0	0	7	0	0	0	Straight	0.0	3816.09	3823.09	300.816214 -221.828568,308.381817 -225.060415
0	44	16	14	1	1	560	560	0	50	585	1	0	Straight	0.0	3823.09	4408.09	308.381817 -225.060415,358.153775 -205.444224
0	45	14	10	1	0	0	0	0	9	0	0	0	Right	5.21	4413.3	4422.3	358.153775 -205.444224,364.140146 -210.6104
0	46	10	6	1	0	0	0	0	8	0	0	0	Straight	0.0	4422.3	4430.3	364.140146 -210.6104,370.33121 -216.370266
0	47	6	8	1	1	240	240	0	45	262	1	0	Right	5.21	4435.51	4697.51	370.33121 -216.370266,324.962545 -234.815893
0	48	8	12	1	0	0	0	0	8	0	0	0	Right	5.21	4702.72	4710.72	324.962545 -234.815893,317.03618 -229.262933
0	49	12	10	1	1	480	480	0	47	503	1	0	Right	5.21	4715.93	5218.93	317.03618 -229.262933,364.140146 -210.6104
0	50	10	6	1	0	0	0	0	8	0	0	0	Right	5.21	5224.14	5232.14	364.140146 -210.6104,370.33121 -216.370266
0	51	6	8	1	1	240	240	0	45	262	0	0	Right	5.21	5237.35	5282.35	370.33121 -216.370266,324.962545 -234.815893
0	52	8	124	1	0	0	0	0	8	0	0	0	Left	10.42	5292.77	5300.77	324.962545 -234.815893,331.415571 -241.500565
0	53	124	132	1	1	360	360	0	34	377	1	0	U	41.682	5342.45	5719.45	331.415571 -241.500565,297.602908 -225.086884
0	54	132	134	1	0	0	0	0	8	0	0	0	U	41.682	5761.13	5769.13	297.602908 -225.086884,304.342934 -232.468112
0	55	134	126	1	1	360	360	0	32	376	1	0	Straight	0.0	5769.13	6145.13	304.342934 -232.468112,335.749616 -247.929978
0	56	126	128	1	0	0	0	0	8	0	0	0	Right	5.21	6150.34	6158.34	335.749616 -247.929978,333.816825 -255.148413
0	57	128	148	1	0	0	0	0	8	0	0	0	Straight	0.0	6158.34	6166.34	333.816825 -255.148413,326.083764 -262.107523
0	58	148	146	1	1	60	60	0	8	64	1	0	Right	5.21	6171.55	6235.55	326.083764 -262.107523,318.065661 -259.911912
