Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	1	15147.6	14017	3.02617	0	0	269.079	1	2919	0	0.250597	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	LINESTRING(439.900239 -439.900239,410.197939 -423.017536)
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	LINESTRING(410.197939 -423.017536,293.313668 -333.567765)
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	LINESTRING(293.313668 -333.567765,270.335101 -303.488086)
0	3	160	1240	1	0	0	0	0	8	0	0	0	Straight	0.0	233.0	241.0	LINESTRING(270.335101 -303.488086,271.088971 -297.755405)
0	4	1240	156	1	0	0	0	0	2	0	0	0	Left	10.42	251.42	253.42	LINESTRING(271.088971 -297.755405,269.570216 -296.298662)
0	5	156	154	1	1	70	70	0	11	75	1	0	Right	5.21	258.63	333.63	LINESTRING(269.570216 -296.298662,275.394380 -288.712349)
0	6	154	152	1	1	50	50	0	8	54	1	0	Left	10.42	344.05	398.05	LINESTRING(275.394380 -288.712349,268.031590 -284.504659)
0	7	152	144	1	1	90	90	0	14	97	1	0	Straight	0.0	398.05	495.05	LINESTRING(268.031590 -284.504659,255.785294 -275.285581)
0	8	144	140	1	1	70	70	0	10	75	1	0	Straight	0.0	495.05	570.05	LINESTRING(255.785294 -275.285581,245.851378 -271.258995)
0	9	140	122	1	1	790	790	0	82	831	1	0	Right	5.21	575.26	1406.26	LINESTRING(245.851378 -271.258995,278.907313 -214.731397)
0	10	122	42	1	0	0	0	0	1	0	0	0	Left	10.42	1416.68	1417.68	LINESTRING(278.907313 -214.731397,277.801635 -214.284538)
0	11	42	120	1	0	0	0	0	6	0	0	0	Straight	0.0	1417.68	1423.68	LINESTRING(277.801635 -214.284538,271.109966 -212.012235)
0	12	120	118	1	1	370	370	0	35	387	1	0	Left	10.42	1434.1	1821.1	LINESTRING(271.109966 -212.012235,240.082723 -232.321859)
0	13	118	114	1	1	70	70	0	8	74	1	0	Left	10.42	1831.52	1905.52	LINESTRING(240.082723 -232.321859,243.346523 -238.848377)
0	14	114	86	1	1	230	230	0	23	241	1	0	U	41.682	1947.2	2188.2	LINESTRING(243.346523 -238.848377,218.598016 -229.237112)
0	15	86	96	1	1	180	180	0	20	190	1	0	Straight	0.0	2188.2	2378.2	LINESTRING(218.598016 -229.237112,199.878446 -228.691834)
0	16	96	100	1	1	40	40	0	14	47	1	0	U	41.682	2419.88	2466.88	LINESTRING(199.878446 -228.691834,214.109117 -241.152092)
0	17	100	94	1	1	160	160	0	17	168	1	0	Left	10.42	2477.3	2645.3	LINESTRING(214.109117 -241.152092,226.655930 -236.817906)
0	18	94	86	1	0	0	0	0	8	0	0	0	Left	10.42	2655.72	2663.72	LINESTRING(226.655930 -236.817906,218.598016 -229.237112)
0	19	86	80	1	0	0	0	0	8	0	0	0	Straight	0.0	2663.72	2671.72	LINESTRING(218.598016 -229.237112,211.223798 -223.726275)
0	20	80	78	1	1	90	90	0	11	95	1	0	Straight	0.0	2671.72	2766.72	LINESTRING(211.223798 -223.726275,200.215782 -223.892597)
0	21	78	50	1	1	100	100	0	8	104	1	0	Straight	0.0	2766.72	2870.72	LINESTRING(200.215782 -223.892597,193.116048 -223.985001)
0	22	50	96	1	1	30	30	0	8	34	1	0	U	41.682	2912.41	2946.41	LINESTRING(193.116048 -223.985001,199.878446 -228.691834)
0	23	96	50	1	1	30	30	0	8	34	0	0	U	41.682	2988.09	2996.09	LINESTRING(199.878446 -228.691834,193.116048 -223.985001)
0	24	50	48	1	1	50	50	0	7	53	1	0	Straight	0.0	2996.09	3049.09	LINESTRING(193.116048 -223.985001,186.374022 -220.887004)
