Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	29168.7	27663	369.329	1.14	1.05882	0.0632107	274.231	5701	0.0959394	0.585376	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	388.832903 -388.832903,371.532523 -364.819731
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	371.532523 -364.819731,291.150518 -263.358053
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	291.150518 -263.358053,265.474776 -245.476156
0	3	160	192	1	1	380	380	0	48	404	1	0	Straight	0.0	233.0	637.0	265.474776 -245.476156,241.493081 -206.287675
0	4	192	206	1	1	320	320	0	31	335	1	0	Straight	0.0	637.0	972.0	241.493081 -206.287675,236.29563 -174.10883
0	5	206	212	1	1	60	60	0	7	63	0	0	Straight	0.0	972.0	979.0	236.29563 -174.10883,237.265397 -165.843844
0	6	212	198	1	1	180	180	0	20	190	0	0	Right	5.21	984.21	1004.21	237.265397 -165.843844,254.101727 -174.888736
0	7	198	212	1	1	180	180	0	20	190	1	0	U	41.682	1045.89	1235.89	254.101727 -174.888736,237.265397 -165.843844
0	8	212	206	1	1	60	60	0	7	63	1	0	Left	10.42	1246.31	1309.31	237.265397 -165.843844,236.29563 -174.10883
0	9	206	202	1	1	60	60	0	8	64	1	0	Straight	0.0	1309.31	1373.31	236.29563 -174.10883,233.83384 -179.877429
0	10	202	204	1	1	110	110	0	25	122	1	0	Right	5.21	1378.52	1500.52	233.83384 -179.877429,213.183503 -161.817804
0	11	204	224	1	1	30	30	0	8	34	1	0	Straight	0.0	1500.52	1534.52	213.183503 -161.817804,206.149298 -156.828863
0	12	224	226	1	1	100	100	0	19	109	1	0	Right	5.21	1539.73	1648.73	206.149298 -156.828863,218.319593 -153.238073
0	13	226	232	1	1	80	80	0	12	86	1	0	Left	10.42	1659.15	1745.15	218.319593 -153.238073,220.39635 -140.320969
0	14	232	242	1	1	70	70	0	14	77	1	0	Straight	0.0	1745.15	1822.15	220.39635 -140.320969,215.714246 -127.219259
0	15	242	256	1	1	280	280	0	30	295	1	0	Straight	0.0	1822.15	2117.15	215.714246 -127.219259,219.447381 -93.792925
0	16	256	262	1	1	80	80	0	10	85	0	0	Straight	0.0	2117.15	2127.15	219.447381 -93.792925,220.55484 -82.430886
0	17	262	260	1	1	60	60	0	12	66	0	0	Right	5.21	2132.36	2144.36	220.55484 -82.430886,233.346763 -84.647548
0	18	260	252	1	1	40	40	0	13	46	1	0	Right	5.21	2149.57	2195.57	233.346763 -84.647548,233.415234 -97.824612
0	19	252	238	1	1	130	130	0	23	141	1	0	Straight	0.0	2195.57	2336.57	233.415234 -97.824612,231.564442 -124.378203
0	20	238	236	1	0	0	0	0	6	0	0	0	Right	5.21	2341.78	2347.78	231.564442 -124.378203,227.121938 -125.473908
0	21	236	1236	1	1	240	240	0	25	252	1	0	Right	5.21	2352.99	2604.99	227.121938 -125.473908,230.232572 -96.743398
0	22	1236	254	1	1	10	10	0	3	11	1	0	Left	10.42	2615.41	2626.41	230.232572 -96.743398,227.386833 -95.57425
0	23	254	240	1	1	300	300	0	30	315	1	0	Left	10.42	2636.83	2951.83	227.386833 -95.57425,222.67333 -129.415737
0	24	240	242	1	1	60	60	0	8	64	1	0	Right	5.21	2957.04	3021.04	222.67333 -129.415737,215.714246 -127.219259
0	25	242	244	1	1	30	30	0	7	33	1	0	Straight	0.0	3021.04	3054.04	215.714246 -127.219259,209.046388 -124.046267
0	26	244	264	1	1	280	280	0	30	295	0	0	Right	5.21	3059.25	3089.25	209.046388 -124.046267,211.735203 -91.210583
0	27	264	256	1	1	60	60	0	8	64	1	0	Right	5.21	3094.46	3158.46	211.735203 -91.210583,219.447381 -93.792925
0	28	256	254	1	1	60	60	0	8	64	1	0	Straight	0.0	3158.46	3222.46	219.447381 -93.792925,227.386833 -95.57425
0	29	254	1236	1	1	10	10	0	3	11	0	0	Straight	0.0	3222.46	3225.46	227.386833 -95.57425,230.232572 -96.743398
0	30	1236	252	1	1	10	10	0	3	11	1	0	Straight	0.0	3225.46	3236.46	230.232572 -96.743398,233.415234 -97.824612
0	31	252	238	1	1	130	130	0	23	141	0	0	Right	5.21	3241.67	3264.67	233.415234 -97.824612,231.564442 -124.378203
0	32	238	228	1	1	20	20	0	9	24	1	0	Straight	0.0	3264.67	3288.67	231.564442 -124.378203,234.415231 -133.047092
0	33	228	222	1	1	30	30	0	8	34	1	0	Straight	0.0	3288.67	3322.67	234.415231 -133.047092,238.566952 -139.774739
0	34	222	214	1	1	80	80	0	17	88	1	0	Straight	0.0	3322.67	3410.67	238.566952 -139.774739,247.773377 -154.318019
0	35	214	200	1	1	90	90	0	21	100	1	0	Straight	0.0	3410.67	3510.67	247.773377 -154.318019,265.273864 -162.566269
0	36	200	214	1	1	90	90	0	21	100	0	0	U	41.682	3552.35	3573.35	265.273864 -162.566269,247.773377 -154.318019
0	37	214	216	1	1	30	30	0	10	35	1	0	Left	10.42	3583.77	3618.77	247.773377 -154.318019,244.656355 -165.142475
0	38	216	1232	1	1	20	20	0	6	23	1	0	Straight	0.0	3618.77	3641.77	244.656355 -165.142475,241.418562 -167.320266
0	39	1232	1234	1	1	160	160	0	12	166	1	0	Left	10.42	3652.19	3818.19	241.418562 -167.320266,251.207636 -172.728848
0	40	1234	1232	1	1	160	160	0	12	166	0	0	U	41.682	3859.88	3871.88	251.207636 -172.728848,241.418562 -167.320266
0	41	1232	212	1	1	20	20	0	5	22	1	0	Straight	0.0	3871.88	3893.88	241.418562 -167.320266,237.265397 -165.843844
0	42	212	218	1	1	130	130	0	22	141	1	0	Straight	0.0	3893.88	4034.88	237.265397 -165.843844,226.480271 -146.053829
0	43	218	220	1	1	60	60	0	9	64	0	0	Right	5.21	4040.09	4049.09	226.480271 -146.053829,234.89883 -148.524997
0	44	220	216	1	1	190	190	0	19	199	1	0	Straight	0.0	4049.09	4248.09	234.89883 -148.524997,244.656355 -165.142475
0	45	216	1232	1	1	20	20	0	6	23	0	0	Right	5.21	4253.3	4259.3	244.656355 -165.142475,241.418562 -167.320266
0	46	1232	212	1	1	20	20	0	5	22	0	0	Right	5.21	4264.51	4269.51	241.418562 -167.320266,237.265397 -165.843844
0	47	212	210	1	1	110	110	0	21	120	1	0	Straight	0.0	4269.51	4389.51	237.265397 -165.843844,224.518947 -158.915871
0	48	210	226	1	0	0	0	0	8	0	0	0	Straight	0.0	4389.51	4397.51	224.518947 -158.915871,218.319593 -153.238073
0	49	226	232	1	1	80	80	0	12	86	0	0	Right	5.21	4402.72	4414.72	218.319593 -153.238073,220.39635 -140.320969
0	50	232	228	1	1	180	180	0	22	191	1	0	Right	5.21	4419.93	4610.93	220.39635 -140.320969,234.415231 -133.047092
0	51	228	222	1	1	30	30	0	8	34	0	0	Right	5.21	4616.14	4624.14	234.415231 -133.047092,238.566952 -139.774739
0	52	222	220	1	1	80	80	0	10	85	1	0	Right	5.21	4629.35	4714.35	238.566952 -139.774739,234.89883 -148.524997
0	53	220	218	1	1	60	60	0	9	64	1	0	Right	5.21	4719.56	4783.56	234.89883 -148.524997,226.480271 -146.053829
0	54	218	210	1	1	100	100	0	12	106	1	0	Left	10.42	4793.98	4899.98	226.480271 -146.053829,224.518947 -158.915871
0	55	210	208	1	1	60	60	0	8	64	1	0	Straight	0.0	4899.98	4963.98	224.518947 -158.915871,220.835186 -164.530414
