Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	29458.1	27447	3.25863	0	1.52941	0.758095	360.499	7603	0.301524	2.75594	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	10096	10094	1	0	0	0	0	36	0	0	0		0.0	0.0	36.0	388.832903 -388.832903,371.532523 -364.819731
0	1	10094	10068	1	0	0	0	0	155	0	0	0	Straight	0.0	36.0	191.0	371.532523 -364.819731,291.150518 -263.358053
0	2	10068	160	1	0	0	0	0	42	0	0	0	Straight	0.0	191.0	233.0	291.150518 -263.358053,265.474776 -245.476156
0	3	160	192	1	1	380	380	0	48	404	1	0	Straight	0.0	233.0	637.0	265.474776 -245.476156,241.493081 -206.287675
0	4	192	206	1	1	320	320	0	31	335	1	0	Straight	0.0	637.0	972.0	241.493081 -206.287675,236.29563 -174.10883
0	5	206	212	1	1	60	60	0	7	63	1	0	Straight	0.0	972.0	1035.0	236.29563 -174.10883,237.265397 -165.843844
0	6	212	198	1	1	180	180	0	20	190	1	0	Right	5.21	1040.21	1230.21	237.265397 -165.843844,254.101727 -174.888736
0	7	198	212	1	1	180	180	0	20	190	0	0	U	41.682	1271.89	1291.89	254.101727 -174.888736,237.265397 -165.843844
0	8	212	1232	1	1	20	20	0	5	22	1	0	U	41.682	1333.57	1355.57	237.265397 -165.843844,241.418562 -167.320266
0	9	1232	1234	1	1	160	160	0	12	166	1	0	Straight	0.0	1355.57	1521.57	241.418562 -167.320266,251.207636 -172.728848
0	10	1234	1232	1	1	160	160	0	12	166	0	0	U	41.682	1563.26	1575.26	251.207636 -172.728848,241.418562 -167.320266
0	11	1232	216	1	1	20	20	0	6	23	1	0	Right	5.21	1580.47	1603.47	241.418562 -167.320266,244.656355 -165.142475
0	12	216	214	1	1	30	30	0	10	35	1	0	Straight	0.0	1603.47	1638.47	244.656355 -165.142475,247.773377 -154.318019
0	13	214	200	1	1	90	90	0	21	100	1	0	Right	5.21	1643.68	1743.68	247.773377 -154.318019,265.273864 -162.566269
0	14	200	214	1	1	90	90	0	21	100	0	0	U	41.682	1785.36	1806.36	265.273864 -162.566269,247.773377 -154.318019
0	15	214	222	1	1	80	80	0	17	88	1	0	Straight	0.0	1806.36	1894.36	247.773377 -154.318019,238.566952 -139.774739
0	16	222	228	1	1	30	30	0	8	34	1	0	Straight	0.0	1894.36	1928.36	238.566952 -139.774739,234.415231 -133.047092
0	17	228	238	1	1	20	20	0	9	24	1	0	Straight	0.0	1928.36	1952.36	234.415231 -133.047092,231.564442 -124.378203
0	18	238	252	1	1	130	130	0	23	141	1	0	Straight	0.0	1952.36	2093.36	231.564442 -124.378203,233.415234 -97.824612
0	19	252	1236	1	1	10	10	0	3	11	1	0	Left	10.42	2103.78	2114.78	233.415234 -97.824612,230.232572 -96.743398
0	20	1236	254	1	1	10	10	0	3	11	1	0	Straight	0.0	2114.78	2125.78	230.232572 -96.743398,227.386833 -95.57425
0	21	254	256	1	1	60	60	0	8	64	1	0	Straight	0.0	2125.78	2189.78	227.386833 -95.57425,219.447381 -93.792925
0	22	256	262	1	1	80	80	0	10	85	1	0	Right	5.21	2194.99	2279.99	219.447381 -93.792925,220.55484 -82.430886
0	23	262	260	1	1	60	60	0	12	66	1	0	Right	5.21	2285.2	2351.2	220.55484 -82.430886,233.346763 -84.647548
0	24	260	252	1	1	40	40	0	13	46	1	0	Right	5.21	2356.41	2402.41	233.346763 -84.647548,233.415234 -97.824612
0	25	252	1236	1	1	10	10	0	3	11	0	0	Right	5.21	2407.62	2410.62	233.415234 -97.824612,230.232572 -96.743398
0	26	1236	236	1	1	240	240	0	25	252	1	0	Left	10.42	2421.04	2673.04	230.232572 -96.743398,227.121938 -125.473908
0	27	236	240	1	0	0	0	0	7	0	0	0	Straight	0.0	2673.04	2680.04	227.121938 -125.473908,222.67333 -129.415737
0	28	240	254	1	1	300	300	0	30	315	1	0	U	41.682	2721.72	3036.72	222.67333 -129.415737,227.386833 -95.57425
0	29	254	256	1	1	60	60	0	8	64	0	0	Left	10.42	3047.14	3055.14	227.386833 -95.57425,219.447381 -93.792925
0	30	256	264	1	1	60	60	0	8	64	1	0	Straight	0.0	3055.14	3119.14	219.447381 -93.792925,211.735203 -91.210583
0	31	264	266	1	1	60	60	0	9	64	1	0	Straight	0.0	3119.14	3183.14	211.735203 -91.210583,203.588863 -88.41806
0	32	266	250	1	1	60	60	0	9	64	1	0	Straight	0.0	3183.14	3247.14	203.588863 -88.41806,198.599597 -80.989397
0	33	250	248	1	1	80	80	0	16	88	1	0	U	41.682	3288.82	3376.82	198.599597 -80.989397,197.172653 -98.668349
0	34	248	230	1	1	130	130	0	13	136	1	0	Straight	0.0	3376.82	3512.82	197.172653 -98.668349,197.23954 -113.163932
0	35	230	176	1	1	30	30	0	11	35	1	0	Straight	0.0	3512.82	3547.82	197.23954 -113.163932,192.413251 -119.806863
0	36	176	170	1	1	30	30	0	8	34	1	0	Straight	0.0	3547.82	3581.82	192.413251 -119.806863,186.987431 -127.301647
0	37	170	166	1	1	180	180	0	19	189	1	0	Straight	0.0	3581.82	3770.82	186.987431 -127.301647,180.19777 -139.035166
0	38	166	424	1	0	0	0	0	7	0	0	0	Straight	0.0	3770.82	3777.82	180.19777 -139.035166,179.239496 -146.799138
0	39	424	418	1	1	170	170	0	29	184	1	0	Straight	0.0	3777.82	3961.82	179.239496 -146.799138,167.024082 -173.090132
0	40	418	410	1	1	340	340	0	32	356	1	0	Left	10.42	3972.24	4328.24	167.024082 -173.090132,183.021604 -169.434221
0	41	410	424	1	1	90	90	0	21	100	1	0	Left	10.42	4338.66	4438.66	183.021604 -169.434221,179.239496 -146.799138
0	42	424	166	1	0	0	0	0	7	0	0	0	Straight	0.0	4438.66	4445.66	179.239496 -146.799138,180.19777 -139.035166
0	43	166	172	1	0	0	0	0	8	0	0	0	Straight	0.0	4445.66	4453.66	180.19777 -139.035166,181.567891 -130.398739
0	44	172	176	1	1	210	210	0	22	221	1	0	Straight	0.0	4453.66	4674.66	181.567891 -130.398739,192.413251 -119.806863
0	45	176	230	1	1	30	30	0	11	35	0	0	Straight	0.0	4674.66	4685.66	192.413251 -119.806863,197.23954 -113.163932
0	46	230	246	1	1	30	30	0	9	34	1	0	Right	5.21	4690.87	4724.87	197.23954 -113.163932,201.669595 -120.792844
0	47	246	266	1	1	280	280	0	29	294	1	0	U	41.682	4766.55	5060.55	201.669595 -120.792844,203.588863 -88.41806
0	48	266	274	1	1	400	400	0	38	419	1	0	Straight	0.0	5060.55	5479.55	203.588863 -88.41806,203.7814 -47.134155
0	49	274	336	1	1	50	50	0	17	58	1	0	Straight	0.0	5479.55	5537.55	203.7814 -47.134155,204.149994 -28.928399
0	50	336	338	1	1	400	400	0	37	418	1	0	Straight	0.0	5537.55	5955.55	204.149994 -28.928399,203.289609 9.619181
0	51	338	384	1	0	0	0	0	5	0	0	0	Right	5.21	5960.76	5965.76	203.289609 9.619181,206.100453 10.03339
0	52	384	386	1	1	280	280	0	27	293	1	0	Straight	0.0	5965.76	6258.76	206.100453 10.03339,239.860309 15.788756
0	53	386	374	1	0	0	0	0	9	0	0	0	Straight	0.0	6258.76	6267.76	239.860309 15.788756,248.738832 16.085968
0	54	374	372	1	1	220	220	0	19	229	1	0	U	41.682	6309.45	6538.45	248.738832 16.085968,223.029409 12.272329
0	55	372	368	1	0	0	0	0	7	0	0	0	Straight	0.0	6538.45	6545.45	223.029409 12.272329,214.71989 10.832419
