Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	3	28458.6	26873	7200.65	0	0.123085	1173.08	3	14364	0.184767	0.0577012	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	LINESTRING(300.760000 197.070000,257.700000 203.430000)
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	501.924	607.924	LINESTRING(257.700000 203.430000,233.520000 238.760000)
0	4	348	246	1	0	0	0	0	74	0	0	0	Straight	0.0	607.924	681.924	LINESTRING(233.520000 238.760000,234.480000 281.830000)
0	5	246	1007	1	0	0	0	0	14	0	0	0	Straight	0.0	681.924	695.924	LINESTRING(234.480000 281.830000,234.860000 294.330000)
0	6	1007	589	1	0	0	0	0	15	0	0	0	Straight	0.0	695.924	710.924	LINESTRING(234.860000 294.330000,232.540000 304.450000)
0	7	589	758	1	0	0	0	0	32	0	0	0	Straight	0.0	710.924	742.924	LINESTRING(232.540000 304.450000,229.030000 315.140000)
0	8	758	556	1	0	0	0	0	18	0	0	0	Left	13.848	756.772	774.772	LINESTRING(229.030000 315.140000,215.950000 317.510000)
0	9	556	557	1	0	0	0	0	18	0	0	0	Right	6.924	781.696	799.696	LINESTRING(215.950000 317.510000,215.130000 326.240000)
0	10	557	832	1	0	0	0	0	49	0	0	0	Left	13.848	813.544	862.544	LINESTRING(215.130000 326.240000,207.690000 321.250000)
0	11	832	564	1	0	0	0	0	20	0	0	0	Right	6.924	869.468	889.468	LINESTRING(207.690000 321.250000,201.840000 322.970000)
0	12	564	565	1	1	115	115	0	21	131	1	0	Straight	0.0	889.468	1020.47	LINESTRING(201.840000 322.970000,195.630000 322.550000)
0	13	565	890	1	1	95	95	0	17	107	1	0	Straight	0.0	1020.47	1127.47	LINESTRING(195.630000 322.550000,184.970000 316.530000)
0	14	890	693	1	1	98	98	0	18	108	1	0	Straight	0.0	1127.47	1235.47	LINESTRING(184.970000 316.530000,173.130000 305.160000)
0	15	693	553	1	1	131	131	0	24	154	1	0	Straight	0.0	1235.47	1389.47	LINESTRING(173.130000 305.160000,155.050000 292.810000)
0	16	553	722	1	1	177	177	0	32	202	1	0	Straight	0.0	1389.47	1591.47	LINESTRING(155.050000 292.810000,137.190000 268.700000)
0	17	722	229	1	1	101	101	0	18	118	1	0	Straight	0.0	1591.47	1709.47	LINESTRING(137.190000 268.700000,117.670000 255.070000)
0	18	229	228	1	1	349	349	0	63	403	1	0	Straight	0.0	1709.47	2112.47	LINESTRING(117.670000 255.070000,103.220000 241.290000)
0	19	228	233	1	1	187	187	0	34	214	1	0	Straight	0.0	2112.47	2326.47	LINESTRING(103.220000 241.290000,95.184000 237.390000)
0	20	233	232	1	1	97	97	0	17	107	1	0	Straight	0.0	2326.47	2433.47	LINESTRING(95.184000 237.390000,91.247000 227.940000)
0	21	232	233	1	1	97	97	0	17	107	0	0	U	55.394	2488.86	2505.86	LINESTRING(91.247000 227.940000,95.184000 237.390000)
0	22	233	1015	1	1	81	81	0	15	95	1	0	Straight	0.0	2505.86	2600.86	LINESTRING(95.184000 237.390000,97.874000 245.400000)
0	23	1015	875	1	1	472	472	0	85	555	1	0	Straight	0.0	2600.86	3155.86	LINESTRING(97.874000 245.400000,106.620000 250.970000)
0	24	875	229	1	1	103	103	0	18	118	1	0	Straight	0.0	3155.86	3273.86	LINESTRING(106.620000 250.970000,117.670000 255.070000)
0	25	229	722	1	1	101	101	0	18	118	0	0	Straight	0.0	3273.86	3291.86	LINESTRING(117.670000 255.070000,137.190000 268.700000)
0	26	722	1036	1	1	17	17	0	3	13	1	0	Right	6.924	3298.79	3311.79	LINESTRING(137.190000 268.700000,137.000000 249.150000)
0	27	1036	722	1	1	17	17	0	3	13	0	0	U	55.394	3367.18	3370.18	LINESTRING(137.000000 249.150000,137.190000 268.700000)
0	28	722	229	1	1	101	101	0	18	118	0	0	Left	13.848	3384.03	3402.03	LINESTRING(137.190000 268.700000,117.670000 255.070000)
0	29	229	228	1	1	349	349	0	63	403	0	0	Straight	0.0	3402.03	3465.03	LINESTRING(117.670000 255.070000,103.220000 241.290000)
0	30	228	232	1	1	226	226	0	41	261	1	0	Straight	0.0	3465.03	3726.03	LINESTRING(103.220000 241.290000,91.247000 227.940000)
0	31	232	239	1	1	150	150	0	27	177	1	0	Straight	0.0	3726.03	3903.03	LINESTRING(91.247000 227.940000,80.941000 211.240000)
0	32	239	1037	1	1	332	332	0	60	390	0	0	Right	6.924	3909.95	3969.95	LINESTRING(80.941000 211.240000,73.249000 211.490000)
