Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	3	29074.9	27420	13.62	1.985	0.0715721	1119.77	3	14080	0.185549	0.0448787	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	LINESTRING(300.760000 197.070000,257.700000 203.430000)
0	3	362	363	1	1	120	120	0	22	142	1	0	Left	13.848	508.848	650.848	LINESTRING(257.700000 203.430000,239.920000 172.800000)
0	4	363	372	1	1	110	110	0	20	130	1	0	Straight	0.0	650.848	780.848	LINESTRING(239.920000 172.800000,215.980000 154.440000)
0	5	372	713	1	1	298	298	0	54	344	1	0	Straight	0.0	780.848	1124.85	LINESTRING(215.980000 154.440000,191.920000 137.980000)
0	6	713	372	1	1	298	298	0	54	344	0	0	U	55.394	1180.24	1234.24	LINESTRING(191.920000 137.980000,215.980000 154.440000)
0	7	372	363	1	1	110	110	0	20	130	0	0	Straight	0.0	1234.24	1254.24	LINESTRING(215.980000 154.440000,239.920000 172.800000)
0	8	363	638	1	1	78	78	0	14	84	1	0	Right	6.924	1261.17	1345.17	LINESTRING(239.920000 172.800000,244.840000 150.870000)
0	9	638	639	1	1	134	134	0	24	154	1	0	Straight	0.0	1345.17	1499.17	LINESTRING(244.840000 150.870000,246.950000 134.260000)
0	10	639	815	1	1	126	126	0	23	143	1	0	Straight	0.0	1499.17	1642.17	LINESTRING(246.950000 134.260000,248.190000 121.530000)
0	11	815	639	1	1	126	126	0	23	143	0	0	U	55.394	1697.56	1720.56	LINESTRING(248.190000 121.530000,246.950000 134.260000)
0	12	639	638	1	1	134	134	0	24	154	0	0	Straight	0.0	1720.56	1744.56	LINESTRING(246.950000 134.260000,244.840000 150.870000)
0	13	638	363	1	1	78	78	0	14	84	0	0	Straight	0.0	1744.56	1758.56	LINESTRING(244.840000 150.870000,239.920000 172.800000)
0	14	363	362	1	1	120	120	0	22	142	0	0	Straight	0.0	1758.56	1780.56	LINESTRING(239.920000 172.800000,257.700000 203.430000)
0	15	362	657	1	0	0	0	0	109	0	0	0	Right	6.924	1787.48	1896.48	LINESTRING(257.700000 203.430000,300.760000 197.070000)
0	16	657	678	1	0	0	0	0	7	0	0	0	Straight	0.0	1896.48	1903.48	LINESTRING(300.760000 197.070000,323.230000 189.380000)
0	17	678	1063	1	0	0	0	0	79	0	0	0	Straight	0.0	1903.48	1982.48	LINESTRING(323.230000 189.380000,327.480000 185.130000)
1	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	2282.48	2361.48	LINESTRING(327.480000 185.130000,323.230000 189.380000)
1	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	2361.48	2368.48	LINESTRING(323.230000 189.380000,300.760000 197.070000)
1	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	2368.48	2477.48	LINESTRING(300.760000 197.070000,257.700000 203.430000)
1	3	362	951	1	1	190	190	0	34	224	1	0	Straight	0.0	2477.48	2701.48	LINESTRING(257.700000 203.430000,244.090000 193.580000)
1	4	951	698	1	1	252	252	0	45	295	1	0	Right	6.924	2708.41	3003.41	LINESTRING(244.090000 193.580000,237.590000 197.020000)
1	5	698	697	1	1	162	162	0	29	189	1	0	Left	13.848	3017.26	3206.26	LINESTRING(237.590000 197.020000,240.840000 186.310000)
1	6	697	769	1	1	319	319	0	57	367	1	0	Left	13.848	3220.1	3587.1	LINESTRING(240.840000 186.310000,249.270000 186.620000)
1	7	769	768	1	1	173	173	0	31	201	1	0	Straight	0.0	3587.1	3788.1	LINESTRING(249.270000 186.620000,260.200000 177.520000)
1	8	768	687	1	1	110	110	0	20	130	1	0	Straight	0.0	3788.1	3918.1	LINESTRING(260.200000 177.520000,270.790000 165.430000)
1	9	687	421	1	1	435	435	0	78	508	1	0	Straight	0.0	3918.1	4426.1	LINESTRING(270.790000 165.430000,283.100000 157.740000)
1	10	421	662	1	1	75	75	0	13	83	1	0	Straight	0.0	4426.1	4509.1	LINESTRING(283.100000 157.740000,290.570000 148.610000)
1	11	662	414	1	1	208	208	0	37	237	1	0	Left	13.848	4522.95	4759.95	LINESTRING(290.570000 148.610000,297.260000 148.770000)
1	12	414	748	1	1	171	171	0	31	201	1	0	U	55.394	4815.35	5016.35	LINESTRING(297.260000 148.770000,292.450000 152.630000)
1	13	748	656	1	1	69	69	0	12	72	1	0	Straight	0.0	5016.35	5088.35	LINESTRING(292.450000 152.630000,288.710000 165.770000)
1	14	656	416	1	1	100	100	0	18	118	0	0	Right	6.924	5095.27	5113.27	LINESTRING(288.710000 165.770000,297.140000 162.550000)
