Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	3	28636.2	26829	14.0724	0	3	0.10988	1203.87	14554	0.0577012	0.131148	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	951	1	1	190	190	0	34	224	1	0	Straight	0.0	495.0	719.0	257.7 203.43,244.09 193.58
0	4	951	698	1	1	252	252	0	45	295	1	0	Right	6.924	725.924	1020.92	244.09 193.58,237.59 197.02
0	5	698	697	1	1	162	162	0	29	189	1	0	Left	13.848	1034.77	1223.77	237.59 197.02,240.84 186.31
0	6	697	769	1	1	319	319	0	57	367	1	0	Left	13.848	1237.62	1604.62	240.84 186.31,249.27 186.62
0	7	769	768	1	1	173	173	0	31	201	1	0	Straight	0.0	1604.62	1805.62	249.27 186.62,260.2 177.52
0	8	768	687	1	1	110	110	0	20	130	1	0	Straight	0.0	1805.62	1935.62	260.2 177.52,270.79 165.43
0	9	687	421	1	1	435	435	0	78	508	1	0	Straight	0.0	1935.62	2443.62	270.79 165.43,283.1 157.74
0	10	421	420	1	1	107	107	0	19	119	1	0	Left	13.848	2457.47	2576.47	283.1 157.74,292.37 162.43
0	11	420	665	1	1	408	408	0	74	474	1	0	Left	13.848	2590.32	3064.32	292.37 162.43,294.48 174.53
0	12	665	434	1	1	161	161	0	29	189	1	0	U	55.394	3119.71	3308.71	294.48 174.53,285.77 167.69
0	13	434	435	1	1	601	601	0	108	708	1	0	Straight	0.0	3308.71	4016.71	285.77 167.69,278.96 160.11
0	14	435	421	1	1	97	97	0	17	107	1	0	Left	13.848	4030.56	4137.56	278.96 160.11,283.1 157.74
0	15	421	662	1	1	75	75	0	13	83	1	0	Straight	0.0	4137.56	4220.56	283.1 157.74,290.57 148.61
0	16	662	414	1	1	208	208	0	37	237	1	0	Left	13.848	4234.41	4471.41	290.57 148.61,297.26 148.77
0	17	414	748	1	1	171	171	0	31	201	1	0	U	55.394	4526.8	4727.8	297.26 148.77,292.45 152.63
0	18	748	656	1	1	69	69	0	12	72	1	0	Straight	0.0	4727.8	4799.8	292.45 152.63,288.71 165.77
0	19	656	416	1	1	100	100	0	18	118	1	0	Right	6.924	4806.72	4924.72	288.71 165.77,297.14 162.55
0	20	416	417	1	1	185	185	0	33	213	1	0	Left	13.848	4938.57	5151.57	297.14 162.55,299.96 166.85
0	21	417	665	1	1	172	172	0	31	201	1	0	Left	13.848	5165.42	5366.42	299.96 166.85,294.48 174.53
0	22	665	663	1	1	104	104	0	19	119	1	0	Right	6.924	5373.34	5492.34	294.48 174.53,297.32 191.5
0	23	663	664	1	1	205	205	0	37	237	1	0	Right	6.924	5499.27	5736.27	297.32 191.5,310.09 180.81
0	24	664	660	1	1	287	287	0	52	332	1	0	Straight	0.0	5736.27	6068.27	310.09 180.81,316.96 171.79
0	25	660	659	1	1	241	241	0	43	283	1	0	Straight	0.0	6068.27	6351.27	316.96 171.79,322.6 167.08
0	26	659	660	1	1	241	241	0	43	283	0	0	U	55.394	6406.66	6449.66	322.6 167.08,316.96 171.79
0	27	660	661	1	1	62	62	0	11	71	1	0	U	55.394	6505.06	6576.06	316.96 171.79,318.24 163.79
0	28	661	660	1	1	62	62	0	11	71	0	0	U	55.394	6631.45	6642.45	318.24 163.79,316.96 171.79
0	29	660	728	1	1	563	563	0	101	661	1	0	Right	6.924	6649.37	7310.37	316.96 171.79,320.41 175.56
0	30	728	443	1	1	103	103	0	19	119	1	0	Right	6.924	7317.3	7436.3	320.41 175.56,330.45 171.85
0	31	443	444	1	1	176	176	0	32	202	1	0	Straight	0.0	7436.3	7638.3	330.45 171.85,336.34 163.47
0	32	444	919	1	1	37	37	0	7	37	1	0	Straight	0.0	7638.3	7675.3	336.34 163.47,339.92 156.32
