Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	3	31595.3	29615	16.528	1.504	0.00254226	537.297	1.5	7972	0.374287	0.0448787	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	LINESTRING(300.760000 197.070000,257.700000 203.430000)
0	3	362	951	1	0	0	0	0	34	0	0	0	Straight	0.0	495.0	529.0	LINESTRING(257.700000 203.430000,244.090000 193.580000)
0	4	951	698	1	0	0	0	0	45	0	0	0	Right	6.924	535.924	580.924	LINESTRING(244.090000 193.580000,237.590000 197.020000)
0	5	698	367	1	1	97	97	0	18	108	0	0	Straight	0.0	580.924	598.924	LINESTRING(237.590000 197.020000,233.450000 208.870000)
0	6	367	368	1	1	69	69	0	12	72	0	0	Straight	0.0	598.924	610.924	LINESTRING(233.450000 208.870000,223.490000 224.150000)
0	7	368	347	1	1	108	108	0	19	119	0	0	Straight	0.0	610.924	629.924	LINESTRING(223.490000 224.150000,217.500000 245.250000)
0	8	347	346	1	1	135	135	0	24	154	0	0	Straight	0.0	629.924	653.924	LINESTRING(217.500000 245.250000,193.080000 266.250000)
0	9	346	712	1	1	227	227	0	41	261	0	0	Straight	0.0	653.924	694.924	LINESTRING(193.080000 266.250000,171.250000 282.290000)
0	10	712	591	1	1	235	235	0	42	272	0	0	Straight	0.0	694.924	736.924	LINESTRING(171.250000 282.290000,155.360000 297.810000)
0	11	591	592	1	1	144	144	0	26	166	0	0	Straight	0.0	736.924	762.924	LINESTRING(155.360000 297.810000,141.340000 309.240000)
0	12	592	251	1	1	161	161	0	29	189	0	0	Straight	0.0	762.924	791.924	LINESTRING(141.340000 309.240000,132.990000 324.730000)
0	13	251	252	1	1	96	96	0	17	107	1	0	Straight	0.0	791.924	898.924	LINESTRING(132.990000 324.730000,124.120000 335.760000)
0	14	252	243	1	0	0	0	0	14	0	0	0	Straight	0.0	898.924	912.924	LINESTRING(124.120000 335.760000,123.120000 349.640000)
0	15	243	773	1	0	0	0	0	10	0	0	0	Straight	0.0	912.924	922.924	LINESTRING(123.120000 349.640000,128.610000 361.620000)
0	16	773	225	1	0	0	0	0	29	0	0	0	Straight	0.0	922.924	951.924	LINESTRING(128.610000 361.620000,145.110000 370.160000)
0	17	225	209	1	0	0	0	0	17	0	0	0	Straight	0.0	951.924	968.924	LINESTRING(145.110000 370.160000,154.460000 377.450000)
0	18	209	182	1	1	331	331	0	60	390	1	0	Right	6.924	975.848	1365.85	LINESTRING(154.460000 377.450000,169.510000 375.560000)
0	19	182	183	1	1	99	99	0	18	108	1	0	Straight	0.0	1365.85	1473.85	LINESTRING(169.510000 375.560000,192.370000 366.980000)
0	20	183	813	1	1	94	94	0	17	107	1	0	U	55.394	1529.24	1636.24	LINESTRING(192.370000 366.980000,177.330000 373.270000)
0	21	813	220	1	1	482	482	0	87	567	1	0	Right	6.924	1643.17	2210.17	LINESTRING(177.330000 373.270000,180.950000 382.250000)
0	22	220	219	1	1	155	155	0	28	178	1	0	Left	13.848	2224.01	2402.01	LINESTRING(180.950000 382.250000,176.520000 390.930000)
0	23	219	548	1	1	75	75	0	13	83	1	0	Straight	0.0	2402.01	2485.01	LINESTRING(176.520000 390.930000,169.760000 393.990000)
0	24	548	1012	1	1	157	157	0	28	178	1	0	Left	13.848	2498.86	2676.86	LINESTRING(169.760000 393.990000,166.420000 387.120000)
0	25	1012	240	1	1	54	54	0	10	60	1	0	Straight	0.0	2676.86	2736.86	LINESTRING(166.420000 387.120000,159.560000 379.610000)
0	26	240	241	1	1	217	217	0	39	249	1	0	Straight	0.0	2736.86	2985.86	LINESTRING(159.560000 379.610000,153.910000 372.340000)
0	27	241	249	1	1	53	53	0	10	60	1	0	Straight	0.0	2985.86	3045.86	LINESTRING(153.910000 372.340000,146.370000 358.910000)
0	28	249	248	1	1	89	89	0	16	96	1	0	Straight	0.0	3045.86	3141.86	LINESTRING(146.370000 358.910000,141.110000 344.190000)
0	29	248	253	1	1	81	81	0	15	95	1	0	Straight	0.0	3141.86	3236.86	LINESTRING(141.110000 344.190000,141.670000 331.300000)
0	30	253	572	1	1	338	338	0	61	391	1	0	Right	6.924	3243.79	3634.79	LINESTRING(141.670000 331.300000,136.020000 334.810000)
0	31	572	248	1	1	171	171	0	31	201	1	0	Right	6.924	3641.71	3842.71	LINESTRING(136.020000 334.810000,141.110000 344.190000)
0	32	248	572	1	1	171	171	0	31	201	0	0	U	55.394	3898.1	3929.1	LINESTRING(141.110000 344.190000,136.020000 334.810000)
