Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	3	29037.3	26870	14.4503	0	0.143782	1022.91	2.5	12299	0.698356	0.05129	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	LINESTRING(300.760000 197.070000,257.700000 203.430000)
0	3	362	951	1	0	0	0	0	34	0	0	0	Straight	0.0	495.0	529.0	LINESTRING(257.700000 203.430000,244.090000 193.580000)
0	4	951	878	1	1	99	99	0	18	108	1	0	Straight	0.0	529.0	637.0	LINESTRING(244.090000 193.580000,240.870000 180.360000)
0	5	878	699	1	1	386	386	0	69	449	1	0	Straight	0.0	637.0	1086.0	LINESTRING(240.870000 180.360000,239.870000 176.330000)
0	6	699	700	1	1	61	61	0	11	71	1	0	Straight	0.0	1086.0	1157.0	LINESTRING(239.870000 176.330000,241.870000 166.720000)
0	7	700	879	1	1	104	104	0	19	119	1	0	Straight	0.0	1157.0	1276.0	LINESTRING(241.870000 166.720000,245.380000 160.080000)
0	8	879	406	1	1	118	118	0	21	131	1	0	Left	13.848	1289.85	1420.85	LINESTRING(245.380000 160.080000,252.070000 158.520000)
0	9	406	405	1	1	164	164	0	29	189	1	0	Left	13.848	1434.7	1623.7	LINESTRING(252.070000 158.520000,258.720000 164.650000)
0	10	405	957	1	1	124	124	0	22	142	1	0	Right	6.924	1630.62	1772.62	LINESTRING(258.720000 164.650000,262.210000 155.720000)
0	11	957	688	1	1	298	298	0	54	344	1	0	Left	13.848	1786.47	2130.47	LINESTRING(262.210000 155.720000,270.600000 157.770000)
0	12	688	435	1	1	497	497	0	89	579	1	0	Straight	0.0	2130.47	2709.47	LINESTRING(270.600000 157.770000,278.960000 160.110000)
0	13	435	421	1	0	0	0	0	17	0	0	0	Right	6.924	2716.39	2733.39	LINESTRING(278.960000 160.110000,283.100000 157.740000)
0	14	421	662	1	0	0	0	0	13	0	0	0	Straight	0.0	2733.39	2746.39	LINESTRING(283.100000 157.740000,290.570000 148.610000)
0	15	662	952	1	1	91	91	0	16	106	1	0	Straight	0.0	2746.39	2852.39	LINESTRING(290.570000 148.610000,293.670000 142.050000)
0	16	952	1048	1	1	43	43	0	8	48	1	0	Straight	0.0	2852.39	2900.39	LINESTRING(293.670000 142.050000,295.820000 133.470000)
0	17	1048	952	1	1	43	43	0	8	48	0	0	U	55.394	2955.79	2963.79	LINESTRING(295.820000 133.470000,293.670000 142.050000)
0	18	952	748	1	1	484	484	0	87	567	1	0	Straight	0.0	2963.79	3530.79	LINESTRING(293.670000 142.050000,292.450000 152.630000)
0	19	748	414	1	0	0	0	0	31	0	0	0	U	55.394	3586.18	3617.18	LINESTRING(292.450000 152.630000,297.260000 148.770000)
0	20	414	413	1	1	172	172	0	31	201	1	0	Left	13.848	3631.03	3832.03	LINESTRING(297.260000 148.770000,298.940000 155.290000)
0	21	413	415	1	1	123	123	0	22	142	1	0	Straight	0.0	3832.03	3974.03	LINESTRING(298.940000 155.290000,302.470000 159.940000)
0	22	415	413	1	1	123	123	0	22	142	0	0	U	55.394	4029.42	4051.42	LINESTRING(302.470000 159.940000,298.940000 155.290000)
0	23	413	420	1	1	122	122	0	22	142	1	0	Right	6.924	4058.35	4200.35	LINESTRING(298.940000 155.290000,292.370000 162.430000)
0	24	420	421	1	0	0	0	0	19	0	0	0	Left	13.848	4214.19	4233.19	LINESTRING(292.370000 162.430000,283.100000 157.740000)
0	25	421	687	1	0	0	0	0	78	0	0	0	Right	6.924	4240.12	4318.12	LINESTRING(283.100000 157.740000,270.790000 165.430000)
0	26	687	688	1	1	95	95	0	17	107	1	0	Left	13.848	4331.97	4438.97	LINESTRING(270.790000 165.430000,270.600000 157.770000)
0	27	688	687	1	1	95	95	0	17	107	0	0	U	55.394	4494.36	4511.36	LINESTRING(270.600000 157.770000,270.790000 165.430000)
0	28	687	768	1	0	0	0	0	20	0	0	0	Straight	0.0	4511.36	4531.36	LINESTRING(270.790000 165.430000,260.200000 177.520000)
0	29	768	655	1	1	87	87	0	16	96	1	0	Straight	0.0	4531.36	4627.36	LINESTRING(260.200000 177.520000,260.110000 193.480000)
0	30	655	651	1	1	125	125	0	23	143	1	0	Left	13.848	4641.21	4784.21	LINESTRING(260.110000 193.480000,254.590000 195.410000)
0	31	651	652	1	1	123	123	0	22	142	1	0	Straight	0.0	4784.21	4926.21	LINESTRING(254.590000 195.410000,248.800000 198.080000)
0	32	652	635	1	1	480	480	0	86	566	1	0	Straight	0.0	4926.21	5492.21	LINESTRING(248.800000 198.080000,242.430000 198.420000)
