Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	27010.2	25473	20.017	1.477	1.25	0.000755675	532.495	9602	0.198724	0.975197	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	501.924	607.924	257.7 203.43,233.52 238.76
0	4	348	575	1	1	807	807	0	145	945	1	0	Left	13.848	621.772	1566.77	233.52 238.76,207.53 224.49
0	5	575	574	1	1	71	71	0	13	83	1	0	Straight	0.0	1566.77	1649.77	207.53 224.49,181.67 210.78
0	6	574	908	1	1	95	95	0	17	107	0	0	Straight	0.0	1649.77	1666.77	181.67 210.78,165.82 203.47
0	7	908	279	1	1	240	240	0	43	283	1	0	Straight	0.0	1666.77	1949.77	165.82 203.47,152.62 201.53
0	8	279	1008	1	1	52	52	0	9	59	1	0	Right	6.924	1956.7	2015.7	152.62 201.53,145.25 212.32
0	9	1008	569	1	1	459	459	0	83	533	1	0	Straight	0.0	2015.7	2548.7	145.25 212.32,137.5 222.68
0	10	569	568	1	1	136	136	0	24	154	1	0	Straight	0.0	2548.7	2702.7	137.5 222.68,135.27 235.28
0	11	568	1036	1	1	275	275	0	49	319	1	0	Straight	0.0	2702.7	3021.7	135.27 235.28,137.0 249.15
0	12	1036	567	1	1	87	87	0	16	96	1	0	U	55.394	3077.09	3173.09	137.0 249.15,142.44 236.15
0	13	567	566	1	1	96	96	0	17	107	1	0	Straight	0.0	3173.09	3280.09	142.44 236.15,151.59 225.52
0	14	566	576	1	1	296	296	0	53	343	1	0	Right	6.924	3287.01	3630.01	151.59 225.52,145.36 223.29
0	15	576	774	1	1	94	94	0	17	107	0	0	Left	13.848	3643.86	3660.86	145.36 223.29,151.76 216.75
0	16	774	1008	1	1	52	52	0	9	59	1	0	Right	6.924	3667.79	3726.79	151.76 216.75,145.25 212.32
0	17	1008	279	1	1	52	52	0	9	59	0	0	Left	13.848	3740.63	3749.63	145.25 212.32,152.62 201.53
0	18	279	278	1	1	94	94	0	17	107	1	0	Right	6.924	3756.56	3863.56	152.62 201.53,148.52 189.48
0	19	278	289	1	1	56	56	0	10	60	0	0	Straight	0.0	3863.56	3873.56	148.52 189.48,139.87 175.74
0	20	289	278	1	1	56	56	0	10	60	1	0	U	55.394	3928.95	3988.95	139.87 175.74,148.52 189.48
0	21	278	925	1	1	219	219	0	39	249	1	0	Straight	0.0	3988.95	4237.95	148.52 189.48,158.0 196.04
0	22	925	908	1	1	108	108	0	20	120	1	0	Straight	0.0	4237.95	4357.95	158.0 196.04,165.82 203.47
0	23	908	574	1	1	95	95	0	17	107	1	0	Straight	0.0	4357.95	4464.95	165.82 203.47,181.67 210.78
0	24	574	876	1	1	96	96	0	17	107	0	0	U	55.394	4520.35	4537.35	181.67 210.78,163.71 216.8
0	25	876	774	1	1	302	302	0	54	354	1	0	Straight	0.0	4537.35	4891.35	163.71 216.8,151.76 216.75
0	26	774	576	1	1	94	94	0	17	107	1	0	Right	6.924	4898.27	5005.27	151.76 216.75,145.36 223.29
0	27	576	880	1	1	96	96	0	17	107	1	0	Straight	0.0	5005.27	5112.27	145.36 223.29,139.09 229.98
0	28	880	568	1	1	98	98	0	18	108	0	0	Straight	0.0	5112.27	5130.27	139.09 229.98,135.27 235.28
0	29	568	880	1	1	98	98	0	18	108	1	0	U	55.394	5185.66	5293.66	135.27 235.28,139.09 229.98
0	30	880	567	1	1	285	285	0	51	331	1	0	Left	13.848	5307.51	5638.51	139.09 229.98,142.44 236.15
0	31	567	566	1	1	96	96	0	17	107	0	0	Right	6.924	5645.44	5662.44	142.44 236.15,151.59 225.52
0	32	566	876	1	1	91	91	0	16	106	1	0	Straight	0.0	5662.44	5768.44	151.59 225.52,163.71 216.8
