Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	29408	26209	13.9152	0	1.57143	0.688501	694.544	12822	0.233285	1.51408	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	501.924	607.924	257.7 203.43,233.52 238.76
0	4	348	246	1	0	0	0	0	74	0	0	0	Straight	0.0	607.924	681.924	233.52 238.76,234.48 281.83
0	5	246	1007	1	1	77	77	0	14	84	1	0	Straight	0.0	681.924	765.924	234.48 281.83,234.86 294.33
0	6	1007	267	1	1	420	420	0	76	496	1	0	Straight	0.0	765.924	1261.92	234.86 294.33,238.1 302.09
0	7	267	266	1	1	91	91	0	16	106	1	0	Straight	0.0	1261.92	1367.92	238.1 302.09,242.75 309.34
0	8	266	578	1	1	97	97	0	17	107	1	0	Straight	0.0	1367.92	1474.92	242.75 309.34,248.81 313.99
0	9	578	877	1	1	97	97	0	17	107	1	0	Straight	0.0	1474.92	1581.92	248.81 313.99,254.26 318.07
0	10	877	1016	1	1	119	119	0	21	131	1	0	Straight	0.0	1581.92	1712.92	254.26 318.07,256.85 322.91
0	11	1016	744	1	1	155	155	0	28	178	1	0	Left	13.848	1726.77	1904.77	256.85 322.91,251.61 322.11
0	12	744	877	1	1	167	167	0	30	190	1	0	Left	13.848	1918.62	2108.62	251.61 322.11,254.26 318.07
0	13	877	578	1	1	97	97	0	17	107	0	0	Right	6.924	2115.54	2132.54	254.26 318.07,248.81 313.99
0	14	578	579	1	1	281	281	0	51	331	1	0	Right	6.924	2139.47	2470.47	248.81 313.99,245.71 318.45
0	15	579	744	1	1	112	112	0	20	130	1	0	Right	6.924	2477.39	2607.39	245.71 318.45,251.61 322.11
0	16	744	579	1	1	112	112	0	20	130	0	0	U	55.394	2662.79	2682.79	251.61 322.11,245.71 318.45
0	17	579	914	1	1	115	115	0	21	131	1	0	Straight	0.0	2682.79	2813.79	245.71 318.45,238.33 315.0
0	18	914	266	1	1	407	407	0	73	473	1	0	Left	13.848	2827.63	3300.63	238.33 315.0,242.75 309.34
0	19	266	267	1	1	91	91	0	16	106	0	0	Right	6.924	3307.56	3323.56	242.75 309.34,238.1 302.09
0	20	267	589	1	1	370	370	0	67	437	1	0	Right	6.924	3330.48	3767.48	238.1 302.09,232.54 304.45
0	21	589	758	1	1	180	180	0	32	212	1	0	Right	6.924	3774.41	3986.41	232.54 304.45,229.03 315.14
0	22	758	247	1	1	341	341	0	61	401	1	0	Right	6.924	3993.33	4394.33	229.03 315.14,234.92 323.12
0	23	247	772	1	1	167	167	0	30	190	1	0	Left	13.848	4408.18	4598.18	234.92 323.12,219.74 355.58
0	24	772	183	1	1	518	518	0	93	603	1	0	Straight	0.0	4598.18	5201.18	219.74 355.58,192.37 366.98
0	25	183	813	1	0	0	0	0	17	0	0	0	Straight	0.0	5201.18	5218.18	192.37 366.98,177.33 373.27
0	26	813	709	1	1	326	326	0	59	379	1	0	Straight	0.0	5218.18	5597.18	177.33 373.27,160.78 373.15
0	27	709	240	1	1	121	121	0	22	142	1	0	Right	6.924	5604.1	5746.1	160.78 373.15,159.56 379.61
0	28	240	1012	1	0	0	0	0	10	0	0	0	Right	6.924	5753.03	5763.03	159.56 379.61,166.42 387.12
0	29	1012	554	1	1	158	158	0	28	178	1	0	Right	6.924	5769.95	5947.95	166.42 387.12,173.85 382.73
0	30	554	230	1	1	73	73	0	13	83	1	0	U	55.394	6003.34	6086.34	173.85 382.73,161.45 383.06
0	31	230	231	1	1	90	90	0	16	106	1	0	Right	6.924	6093.27	6199.27	161.45 383.06,156.64 390.97
0	32	231	230	1	1	90	90	0	16	106	0	0	U	55.394	6254.66	6270.66	156.64 390.97,161.45 383.06
