Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	32574.1	30206	30.421	1.306	0	2135.75	1	39870	0.334848	0.129603	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	LINESTRING(300.760000 197.070000,257.700000 203.430000)
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	501.924	607.924	LINESTRING(257.700000 203.430000,233.520000 238.760000)
0	4	348	246	1	0	0	0	0	74	0	0	0	Straight	0.0	607.924	681.924	LINESTRING(233.520000 238.760000,234.480000 281.830000)
0	5	246	247	1	0	0	0	0	81	0	0	0	Straight	0.0	681.924	762.924	LINESTRING(234.480000 281.830000,234.920000 323.120000)
0	6	247	1014	1	0	0	0	0	25	0	0	0	Right	6.924	769.848	794.848	LINESTRING(234.920000 323.120000,256.170000 343.320000)
0	7	1014	741	1	0	0	0	0	33	0	0	0	Straight	0.0	794.848	827.848	LINESTRING(256.170000 343.320000,280.690000 357.500000)
0	8	741	200	1	0	0	0	0	19	0	0	0	Straight	0.0	827.848	846.848	LINESTRING(280.690000 357.500000,306.610000 367.090000)
0	9	200	511	1	0	0	0	0	60	0	0	0	Straight	0.0	846.848	906.848	LINESTRING(306.610000 367.090000,342.300000 378.200000)
0	10	511	79	1	0	0	0	0	218	0	0	0	Straight	0.0	906.848	1124.85	LINESTRING(342.300000 378.200000,390.030000 388.090000)
0	11	79	77	1	0	0	0	0	30	0	0	0	Straight	0.0	1124.85	1154.85	LINESTRING(390.030000 388.090000,420.410000 398.520000)
0	12	77	76	1	1	37	37	0	7	37	1	0	Right	6.924	1161.77	1198.77	LINESTRING(420.410000 398.520000,420.840000 387.520000)
0	13	76	78	0	1	231	231	0	42	272	1	0	Straight	0.0	1198.77	1470.77	LINESTRING(420.840000 387.520000,420.220000 376.980000)
0	14	78	792	1	0	0	0	0	4	0	0	0	Straight	0.0	1470.77	1474.77	LINESTRING(420.220000 376.980000,418.140000 366.850000)
0	15	792	436	1	1	230	230	0	41	271	1	0	Left	13.848	1488.62	1759.62	LINESTRING(418.140000 366.850000,444.970000 343.260000)
0	16	436	80	1	1	190	190	0	34	224	1	0	Straight	0.0	1759.62	1983.62	LINESTRING(444.970000 343.260000,465.780000 330.260000)
0	17	80	86	1	1	263	263	0	47	307	1	0	Straight	0.0	1983.62	2290.62	LINESTRING(465.780000 330.260000,485.450000 317.220000)
0	18	86	85	1	1	60	60	0	11	71	1	0	U	55.394	2346.01	2417.01	LINESTRING(485.450000 317.220000,477.440000 321.240000)
0	19	85	81	1	1	72	72	0	13	83	1	0	Straight	0.0	2417.01	2500.01	LINESTRING(477.440000 321.240000,472.110000 326.200000)
0	20	81	80	1	1	57	57	0	10	60	0	0	Straight	0.0	2500.01	2510.01	LINESTRING(472.110000 326.200000,465.780000 330.260000)
0	21	80	81	1	1	57	57	0	10	60	1	0	U	55.394	2565.41	2625.41	LINESTRING(465.780000 330.260000,472.110000 326.200000)
0	22	81	85	1	1	72	72	0	13	83	0	0	Straight	0.0	2625.41	2638.41	LINESTRING(472.110000 326.200000,477.440000 321.240000)
0	23	85	86	1	1	60	60	0	11	71	0	0	Straight	0.0	2638.41	2649.41	LINESTRING(477.440000 321.240000,485.450000 317.220000)
0	24	86	932	1	0	0	0	0	204	0	0	0	Straight	0.0	2649.41	2853.41	LINESTRING(485.450000 317.220000,506.270000 303.510000)
0	25	932	89	1	0	0	0	0	108	0	0	0	Straight	0.0	2853.41	2961.41	LINESTRING(506.270000 303.510000,518.130000 290.720000)
0	26	89	75	1	0	0	0	0	56	0	0	0	Left	13.848	2975.26	3031.26	LINESTRING(518.130000 290.720000,523.320000 296.620000)
0	27	75	74	1	0	0	0	0	1	0	0	0	Right	6.924	3038.18	3039.18	LINESTRING(523.320000 296.620000,541.640000 291.440000)
0	28	74	429	1	0	0	0	0	8	0	0	0	Straight	0.0	3039.18	3047.18	LINESTRING(541.640000 291.440000,558.570000 288.080000)
0	29	429	71	1	0	0	0	0	56	0	0	0	Straight	0.0	3047.18	3103.18	LINESTRING(558.570000 288.080000,578.870000 286.700000)
0	30	71	70	1	0	0	0	0	12	0	0	0	Straight	0.0	3103.18	3115.18	LINESTRING(578.870000 286.700000,593.220000 287.950000)
0	31	70	426	1	0	0	0	0	41	0	0	0	Straight	0.0	3115.18	3156.18	LINESTRING(593.220000 287.950000,607.520000 282.450000)
0	32	426	425	1	0	0	0	0	50	0	0	0	Right	6.924	3163.1	3213.1	LINESTRING(607.520000 282.450000,604.280000 269.070000)
