Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	33878	31413	14.0141	0	0.53468	2044.24	1.04545	37698.5	0.766615	0.216005	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	LINESTRING(300.760000 197.070000,257.700000 203.430000)
0	3	362	951	1	0	0	0	0	34	0	0	0	Straight	0.0	495.0	529.0	LINESTRING(257.700000 203.430000,244.090000 193.580000)
0	4	951	878	1	0	0	0	0	18	0	0	0	Straight	0.0	529.0	547.0	LINESTRING(244.090000 193.580000,240.870000 180.360000)
0	5	878	1001	1	1	177	177	0	32	202	1	0	Straight	0.0	547.0	749.0	LINESTRING(240.870000 180.360000,238.610000 168.200000)
0	6	1001	700	1	0	0	0	0	60	0	0	0	Left	13.848	762.848	822.848	LINESTRING(238.610000 168.200000,241.870000 166.720000)
0	7	700	879	1	0	0	0	0	19	0	0	0	Straight	0.0	822.848	841.848	LINESTRING(241.870000 166.720000,245.380000 160.080000)
0	8	879	406	1	0	0	0	0	21	0	0	0	Left	13.848	855.696	876.696	LINESTRING(245.380000 160.080000,252.070000 158.520000)
0	9	406	405	1	0	0	0	0	29	0	0	0	Left	13.848	890.544	919.544	LINESTRING(252.070000 158.520000,258.720000 164.650000)
0	10	405	768	1	0	0	0	0	29	0	0	0	Straight	0.0	919.544	948.544	LINESTRING(258.720000 164.650000,260.200000 177.520000)
0	11	768	655	1	0	0	0	0	16	0	0	0	Straight	0.0	948.544	964.544	LINESTRING(260.200000 177.520000,260.110000 193.480000)
0	12	655	401	1	1	226	226	0	41	261	1	0	Straight	0.0	964.544	1225.54	LINESTRING(260.110000 193.480000,260.380000 209.650000)
0	13	401	400	1	0	0	0	0	41	0	0	0	Straight	0.0	1225.54	1266.54	LINESTRING(260.380000 209.650000,251.800000 231.410000)
0	14	400	640	0	0	0	0	0	93	0	0	0	Right	6.924	1273.47	1366.47	LINESTRING(251.800000 231.410000,268.410000 233.430000)
0	15	640	708	0	1	53	53	0	19	119	1	0	Straight	0.0	1366.47	1485.47	LINESTRING(268.410000 233.430000,280.110000 227.810000)
0	16	708	402	0	0	0	0	0	31	0	0	0	Straight	0.0	1485.47	1516.47	LINESTRING(280.110000 227.810000,289.970000 213.000000)
0	17	402	403	0	0	0	0	0	27	0	0	0	U	55.394	1571.86	1598.86	LINESTRING(289.970000 213.000000,289.500000 228.160000)
0	18	403	716	0	0	0	0	0	15	0	0	0	Straight	0.0	1598.86	1613.86	LINESTRING(289.500000 228.160000,287.740000 243.570000)
0	19	716	801	0	0	0	0	0	2	0	0	0	Straight	0.0	1613.86	1615.86	LINESTRING(287.740000 243.570000,290.760000 259.430000)
0	20	801	315	0	0	0	0	0	87	0	0	0	Straight	0.0	1615.86	1702.86	LINESTRING(290.760000 259.430000,300.710000 274.420000)
0	21	315	316	0	0	0	0	0	12	0	0	0	Straight	0.0	1702.86	1714.86	LINESTRING(300.710000 274.420000,307.140000 287.620000)
0	22	316	302	1	1	9	9	0	2	2	1	0	Left	13.848	1728.71	1730.71	LINESTRING(307.140000 287.620000,302.090000 296.720000)
0	23	302	316	1	1	9	9	0	2	2	0	0	U	55.394	1786.1	1788.1	LINESTRING(302.090000 296.720000,307.140000 287.620000)
0	24	316	296	1	1	62	62	0	11	71	1	0	Straight	0.0	1788.1	1859.1	LINESTRING(307.140000 287.620000,308.910000 281.330000)
0	25	296	297	1	1	41	41	0	7	47	1	0	Left	13.848	1872.95	1919.95	LINESTRING(308.910000 281.330000,318.460000 285.660000)
0	26	297	967	0	1	144	144	0	26	166	1	0	Left	13.848	1933.8	2099.8	LINESTRING(318.460000 285.660000,317.260000 297.110000)
0	27	967	245	0	0	0	0	0	104	0	0	0	Straight	0.0	2099.8	2203.8	LINESTRING(317.260000 297.110000,324.660000 312.130000)
0	28	245	237	0	0	0	0	0	16	0	0	0	Straight	0.0	2203.8	2219.8	LINESTRING(324.660000 312.130000,328.370000 325.750000)
0	29	237	234	0	0	0	0	0	2	0	0	0	Straight	0.0	2219.8	2221.8	LINESTRING(328.370000 325.750000,336.090000 341.840000)
0	30	234	235	0	0	0	0	0	61	0	0	0	Straight	0.0	2221.8	2282.8	LINESTRING(336.090000 341.840000,341.280000 360.030000)
0	31	235	204	0	0	0	0	0	5	0	0	0	Straight	0.0	2282.8	2287.8	LINESTRING(341.280000 360.030000,343.140000 380.640000)
0	32	204	743	0	0	0	0	0	40	0	0	0	Straight	0.0	2287.8	2327.8	LINESTRING(343.140000 380.640000,341.550000 398.740000)
