Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	30726.9	27791	24.026	1.003	1	0	1688.02	29320	0.328327	0.0944756	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	501.924	607.924	257.7 203.43,233.52 238.76
0	4	348	246	1	0	0	0	0	74	0	0	0	Straight	0.0	607.924	681.924	233.52 238.76,234.48 281.83
0	5	246	247	1	0	0	0	0	81	0	0	0	Straight	0.0	681.924	762.924	234.48 281.83,234.92 323.12
0	6	247	1014	1	0	0	0	0	25	0	0	0	Right	6.924	769.848	794.848	234.92 323.12,256.17 343.32
0	7	1014	741	1	0	0	0	0	33	0	0	0	Straight	0.0	794.848	827.848	256.17 343.32,280.69 357.5
0	8	741	200	1	0	0	0	0	19	0	0	0	Straight	0.0	827.848	846.848	280.69 357.5,306.61 367.09
0	9	200	511	1	0	0	0	0	60	0	0	0	Straight	0.0	846.848	906.848	306.61 367.09,342.3 378.2
0	10	511	79	1	0	0	0	0	218	0	0	0	Straight	0.0	906.848	1124.85	342.3 378.2,390.03 388.09
0	11	79	77	1	0	0	0	0	30	0	0	0	Straight	0.0	1124.85	1154.85	390.03 388.09,420.41 398.52
0	12	77	56	1	0	0	0	0	162	0	0	0	Straight	0.0	1154.85	1316.85	420.41 398.52,449.8 412.8
0	13	56	418	1	0	0	0	0	64	0	0	0	Straight	0.0	1316.85	1380.85	449.8 412.8,487.91 415.91
0	14	418	1024	1	1	103	103	0	19	119	0	0	Straight	0.0	1380.85	1399.85	487.91 415.91,505.99 425.6
0	15	1024	45	1	1	171	171	0	31	201	1	0	Straight	0.0	1399.85	1600.85	505.99 425.6,514.07 430.04
0	16	45	44	1	1	237	237	0	43	273	0	0	Right	6.924	1607.77	1650.77	514.07 430.04,517.27 426.76
0	17	44	45	1	1	237	237	0	43	273	1	0	U	55.394	1706.17	1979.17	517.27 426.76,514.07 430.04
0	18	45	40	1	1	326	326	0	59	379	1	0	Right	6.924	1986.09	2365.09	514.07 430.04,522.57 434.21
0	19	40	35	1	1	842	842	0	152	992	1	0	Straight	0.0	2365.09	3357.09	522.57 434.21,541.18 443.31
0	20	35	860	1	1	139	139	0	25	155	1	0	Straight	0.0	3357.09	3512.09	541.18 443.31,555.22 462.33
0	21	860	981	1	1	277	277	0	50	320	0	0	Straight	0.0	3512.09	3562.09	555.22 462.33,562.91 486.82
0	22	981	970	1	1	233	233	0	42	272	1	0	Straight	0.0	3562.09	3834.09	562.91 486.82,571.27 509.79
0	23	970	969	1	1	551	551	0	99	649	1	0	Straight	0.0	3834.09	4483.09	571.27 509.79,577.15 520.08
0	24	969	258	1	0	0	0	0	75	0	0	0	Right	6.924	4490.01	4565.01	577.15 520.08,585.5 508.91
0	25	258	259	1	1	331	331	0	60	390	0	0	Left	13.848	4578.86	4638.86	585.5 508.91,596.85 521.0
0	26	259	8	1	1	103	103	0	18	118	1	0	Straight	0.0	4638.86	4756.86	596.85 521.0,603.53 532.0
0	27	8	9	1	1	84	84	0	15	95	1	0	Straight	0.0	4756.86	4851.86	603.53 532.0,611.84 540.13
0	28	9	276	1	1	147	147	0	26	166	0	0	Straight	0.0	4851.86	4877.86	611.84 540.13,618.92 546.76
0	29	276	1060	1	1	72	72	0	13	83	1	0	Straight	0.0	4877.86	4960.86	618.92 546.76,624.63 552.09
0	30	1060	276	1	1	72	72	0	13	83	0	0	U	55.394	5016.26	5029.26	624.63 552.09,618.92 546.76
0	31	276	9	1	1	147	147	0	26	166	1	0	Straight	0.0	5029.26	5195.26	618.92 546.76,611.84 540.13
0	32	9	8	1	1	84	84	0	15	95	0	0	Straight	0.0	5195.26	5210.26	611.84 540.13,603.53 532.0
