Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	30522.7	27386	13.7601	0	1	0	1688.02	29320	0.345608	0.0969209	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	951	1	0	0	0	0	34	0	0	0	Straight	0.0	495.0	529.0	257.7 203.43,244.09 193.58
0	4	951	698	1	0	0	0	0	45	0	0	0	Right	6.924	535.924	580.924	244.09 193.58,237.59 197.02
0	5	698	367	1	0	0	0	0	18	0	0	0	Straight	0.0	580.924	598.924	237.59 197.02,233.45 208.87
0	6	367	368	1	0	0	0	0	12	0	0	0	Straight	0.0	598.924	610.924	233.45 208.87,223.49 224.15
0	7	368	347	1	0	0	0	0	19	0	0	0	Straight	0.0	610.924	629.924	223.49 224.15,217.5 245.25
0	8	347	881	1	0	0	0	0	83	0	0	0	Right	6.924	636.848	719.848	217.5 245.25,236.14 240.49
0	9	881	400	0	0	0	0	0	44	0	0	0	Straight	0.0	719.848	763.848	236.14 240.49,251.8 231.41
0	10	400	640	0	0	0	0	0	93	0	0	0	Straight	0.0	763.848	856.848	251.8 231.41,268.41 233.43
0	11	640	641	0	0	0	0	0	12	0	0	0	Straight	0.0	856.848	868.848	268.41 233.43,278.26 241.85
0	12	641	716	0	0	0	0	0	2	0	0	0	Straight	0.0	868.848	870.848	278.26 241.85,287.74 243.57
0	13	716	801	0	0	0	0	0	2	0	0	0	Left	13.848	884.696	886.696	287.74 243.57,290.76 259.43
0	14	801	315	0	0	0	0	0	87	0	0	0	Straight	0.0	886.696	973.696	290.76 259.43,300.71 274.42
0	15	315	296	0	1	103	103	0	18	118	1	0	Straight	0.0	973.696	1091.7	300.71 274.42,308.91 281.33
0	16	296	297	1	0	0	0	0	7	0	0	0	Straight	0.0	1091.7	1098.7	308.91 281.33,318.46 285.66
0	17	297	814	1	1	156	156	0	28	178	1	0	Right	6.924	1105.62	1283.62	318.46 285.66,327.33 277.96
0	18	814	350	1	1	192	192	0	35	225	1	0	Right	6.924	1290.54	1515.54	327.33 277.96,327.02 270.58
0	19	350	956	1	1	231	231	0	42	272	1	0	Straight	0.0	1515.54	1787.54	327.02 270.58,330.3 265.33
0	20	956	350	1	1	231	231	0	42	272	0	0	U	55.394	1842.94	1884.94	330.3 265.33,327.02 270.58
0	21	350	349	1	1	129	129	0	23	143	1	0	Left	13.848	1898.79	2041.79	327.02 270.58,323.25 266.22
0	22	349	350	1	1	129	129	0	23	143	0	0	U	55.394	2097.18	2120.18	323.25 266.22,327.02 270.58
0	23	350	814	1	1	192	192	0	35	225	0	0	Straight	0.0	2120.18	2155.18	327.02 270.58,327.33 277.96
0	24	814	961	1	1	149	149	0	27	167	1	0	Right	6.924	2162.1	2329.1	327.33 277.96,336.9 273.33
0	25	961	580	1	1	254	254	0	46	296	1	0	Straight	0.0	2329.1	2625.1	336.9 273.33,342.85 267.22
0	26	580	941	1	1	57	57	0	10	60	1	0	Straight	0.0	2625.1	2685.1	342.85 267.22,348.3 262.81
0	27	941	1040	1	1	80	80	0	14	94	1	0	Straight	0.0	2685.1	2779.1	348.3 262.81,353.12 258.9
0	28	1040	941	1	1	80	80	0	14	94	0	0	U	55.394	2834.5	2848.5	353.12 258.9,348.3 262.81
0	29	941	581	1	1	22	22	0	4	24	1	0	Straight	0.0	2848.5	2872.5	348.3 262.81,347.55 268.19
0	30	581	580	1	1	37	37	0	7	37	1	0	Left	13.848	2886.35	2923.35	347.55 268.19,342.85 267.22
0	31	580	581	1	1	37	37	0	7	37	0	0	U	55.394	2978.74	2985.74	342.85 267.22,347.55 268.19
0	32	581	598	1	1	341	341	0	61	401	1	0	Left	13.848	2999.59	3400.59	347.55 268.19,343.56 272.71
0	33	598	961	1	1	131	131	0	24	154	1	0	Straight	0.0	3400.59	3554.59	343.56 272.71,336.9 273.33
