Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	30804.2	28083	64.759	2.039	1	0.0629692	1295.89	26446	0.112322	2.00278	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	541.07 188.18,575.9 207.38
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1521.39	1608.39	575.9 207.38,608.43 228.15
0	11	104	447	1	1	448	448	0	81	521	1	0	Right	6.924	1615.32	2136.32	608.43 228.15,649.94 210.95
0	12	447	826	1	1	138	138	0	25	155	1	0	Straight	0.0	2136.32	2291.32	649.94 210.95,684.71 196.04
0	13	826	485	1	1	112	112	0	20	130	1	0	Straight	0.0	2291.32	2421.32	684.71 196.04,719.61 182.35
0	14	485	734	1	1	395	395	0	71	461	1	0	Straight	0.0	2421.32	2882.32	719.61 182.35,753.43 170.45
0	15	734	160	1	1	93	93	0	17	107	1	0	Straight	0.0	2882.32	2989.32	753.43 170.45,781.7 173.16
0	16	160	161	1	1	58	58	0	11	61	1	0	Straight	0.0	2989.32	3050.32	781.7 173.16,804.18 171.35
0	17	161	506	1	1	56	56	0	10	60	1	0	Straight	0.0	3050.32	3110.32	804.18 171.35,813.76 163.28
0	18	506	1035	1	1	11	11	0	2	12	0	0	Straight	0.0	3110.32	3112.32	813.76 163.28,821.05 160.57
0	19	1035	506	1	1	11	11	0	2	12	1	0	U	55.394	3167.71	3179.71	821.05 160.57,813.76 163.28
0	20	506	161	1	1	56	56	0	10	60	0	0	Straight	0.0	3179.71	3189.71	813.76 163.28,804.18 171.35
0	21	161	518	1	1	55	55	0	10	60	0	0	Right	6.924	3196.64	3206.64	804.18 171.35,822.49 175.63
0	22	518	828	1	1	56	56	0	10	60	1	0	Straight	0.0	3206.64	3266.64	822.49 175.63,834.03 169.93
0	23	828	864	1	1	11	11	0	2	12	0	0	Straight	0.0	3266.64	3268.64	834.03 169.93,840.15 164.45
0	24	864	828	1	1	11	11	0	2	12	1	0	U	55.394	3324.03	3336.03	840.15 164.45,834.03 169.93
0	25	828	518	1	1	56	56	0	10	60	0	0	Straight	0.0	3336.03	3346.03	834.03 169.93,822.49 175.63
0	26	518	161	1	1	55	55	0	10	60	1	0	Straight	0.0	3346.03	3406.03	822.49 175.63,804.18 171.35
0	27	161	506	1	1	56	56	0	10	60	0	0	Left	13.848	3419.88	3429.88	804.18 171.35,813.76 163.28
0	28	506	507	1	1	10	10	0	2	12	1	0	Straight	0.0	3429.88	3441.88	813.76 163.28,818.08 156.32
0	29	507	506	1	1	10	10	0	2	12	0	0	U	55.394	3497.27	3499.27	818.08 156.32,813.76 163.28
0	30	506	161	1	1	56	56	0	10	60	0	0	Straight	0.0	3499.27	3509.27	813.76 163.28,804.18 171.35
0	31	161	518	1	1	55	55	0	10	60	0	0	Right	6.924	3516.2	3526.2	804.18 171.35,822.49 175.63
0	32	518	828	1	1	56	56	0	10	60	0	0	Straight	0.0	3526.2	3536.2	822.49 175.63,834.03 169.93
