Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	31516.5	28366	13.8547	0	1.90909	0.602073	2394.92	51569.5	0.129603	2.86112	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	362	1	0	0	0	0	109	0	0	0	Straight	0.0	386.0	495.0	300.76 197.07,257.7 203.43
0	3	362	348	1	0	0	0	0	106	0	0	0	Right	6.924	501.924	607.924	257.7 203.43,233.52 238.76
0	4	348	246	1	0	0	0	0	74	0	0	0	Straight	0.0	607.924	681.924	233.52 238.76,234.48 281.83
0	5	246	247	1	0	0	0	0	81	0	0	0	Straight	0.0	681.924	762.924	234.48 281.83,234.92 323.12
0	6	247	1014	1	0	0	0	0	25	0	0	0	Right	6.924	769.848	794.848	234.92 323.12,256.17 343.32
0	7	1014	741	1	0	0	0	0	33	0	0	0	Straight	0.0	794.848	827.848	256.17 343.32,280.69 357.5
0	8	741	195	1	0	0	0	0	10	0	0	0	Left	13.848	841.696	851.696	280.69 357.5,281.01 370.31
0	9	195	739	1	1	186	186	0	33	213	1	0	Right	6.924	858.62	1071.62	281.01 370.31,289.3 376.15
0	10	739	510	1	0	0	0	0	33	0	0	0	Straight	0.0	1071.62	1104.62	289.3 376.15,311.44 378.23
0	11	510	511	1	1	151	151	0	27	177	1	0	Straight	0.0	1104.62	1281.62	311.44 378.23,342.3 378.2
0	12	511	79	1	0	0	0	0	218	0	0	0	Straight	0.0	1281.62	1499.62	342.3 378.2,390.03 388.09
0	13	79	792	1	0	0	0	0	53	0	0	0	Right	6.924	1506.54	1559.54	390.03 388.09,418.14 366.85
0	14	792	78	1	1	24	24	0	4	24	1	0	Left	13.848	1573.39	1597.39	418.14 366.85,420.22 376.98
0	15	78	76	0	1	230	230	0	41	271	1	0	Straight	0.0	1597.39	1868.39	420.22 376.98,420.84 387.52
0	16	76	77	1	0	0	0	0	7	0	0	0	Straight	0.0	1868.39	1875.39	420.84 387.52,420.41 398.52
0	17	77	56	1	0	0	0	0	162	0	0	0	Right	6.924	1882.32	2044.32	420.41 398.52,449.8 412.8
0	18	56	57	1	0	0	0	0	6	0	0	0	Left	13.848	2058.16	2064.16	449.8 412.8,453.07 430.53
0	19	57	752	0	0	0	0	0	63	0	0	0	Straight	0.0	2064.16	2127.16	453.07 430.53,448.89 437.06
0	20	752	54	0	0	0	0	0	24	0	0	0	Straight	0.0	2127.16	2151.16	448.89 437.06,449.05 443.86
0	21	54	50	0	0	0	0	0	11	0	0	0	Straight	0.0	2151.16	2162.16	449.05 443.86,445.11 450.42
0	22	50	51	0	0	0	0	0	2	0	0	0	Straight	0.0	2162.16	2164.16	445.11 450.42,439.15 456.24
0	23	51	427	0	0	0	0	0	4	0	0	0	Straight	0.0	2164.16	2168.16	439.15 456.24,429.41 459.33
0	24	427	690	0	0	0	0	0	4	0	0	0	Right	6.924	2175.09	2179.09	429.41 459.33,425.05 471.78
0	25	690	409	0	0	0	0	0	5	0	0	0	Straight	0.0	2179.09	2184.09	425.05 471.78,419.97 478.63
0	26	409	958	0	0	0	0	0	3	0	0	0	Straight	0.0	2184.09	2187.09	419.97 478.63,412.19 481.65
0	27	958	394	0	0	0	0	0	10	0	0	0	Straight	0.0	2187.09	2197.09	412.19 481.65,404.32 482.14
0	28	394	395	0	1	259	259	0	47	297	1	0	Straight	0.0	2197.09	2494.09	404.32 482.14,394.14 487.17
0	29	395	390	0	1	7	7	0	1	1	1	0	Straight	0.0	2494.09	2495.09	394.14 487.17,383.79 489.86
0	30	390	391	0	1	20	20	0	4	24	1	0	Straight	0.0	2495.09	2519.09	383.79 489.86,376.92 494.42
0	31	391	393	0	1	154	154	0	28	178	1	0	Straight	0.0	2519.09	2697.09	376.92 494.42,370.68 495.91
0	32	393	388	0	0	0	0	0	29	0	0	0	U	55.394	2752.48	2781.48	370.68 495.91,379.58 499.45
