Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	30311.1	27583	368.924	1.317	0.000480335	670.981	1.16667	17082.5	0.190139	0.129603	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	LINESTRING(300.760000 197.070000,334.730000 191.270000)
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	LINESTRING(334.730000 191.270000,368.660000 185.500000)
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	LINESTRING(368.660000 185.500000,402.330000 180.380000)
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	LINESTRING(402.330000 180.380000,435.890000 175.700000)
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	LINESTRING(435.890000 175.700000,469.400000 171.380000)
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	LINESTRING(469.400000 171.380000,505.470000 170.090000)
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	LINESTRING(505.470000 170.090000,541.070000 188.180000)
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	LINESTRING(541.070000 188.180000,575.900000 207.380000)
0	10	136	135	1	1	385	385	0	69	449	1	0	Straight	0.0	1521.39	1970.39	LINESTRING(575.900000 207.380000,587.020000 204.650000)
0	11	135	920	1	1	51	51	0	9	59	0	0	Right	6.924	1977.32	1986.32	LINESTRING(587.020000 204.650000,592.380000 185.820000)
0	12	920	793	1	1	56	56	0	10	60	1	0	Straight	0.0	1986.32	2046.32	LINESTRING(592.380000 185.820000,595.050000 167.590000)
0	13	793	157	1	1	54	54	0	10	60	1	0	Straight	0.0	2046.32	2106.32	LINESTRING(595.050000 167.590000,594.330000 152.010000)
0	14	157	681	1	1	61	61	0	11	71	1	0	Straight	0.0	2106.32	2177.32	LINESTRING(594.330000 152.010000,595.120000 142.050000)
0	15	681	682	1	1	57	57	0	10	60	1	0	Straight	0.0	2177.32	2237.32	LINESTRING(595.120000 142.050000,596.520000 133.470000)
0	16	682	162	1	1	221	221	0	40	260	1	0	Straight	0.0	2237.32	2497.32	LINESTRING(596.520000 133.470000,593.110000 128.250000)
0	17	162	163	1	1	52	52	0	9	59	1	0	Right	6.924	2504.24	2563.24	LINESTRING(593.110000 128.250000,590.090000 133.930000)
0	18	163	770	1	1	92	92	0	17	107	1	0	Straight	0.0	2563.24	2670.24	LINESTRING(590.090000 133.930000,590.280000 142.660000)
0	19	770	157	1	1	55	55	0	10	60	1	0	Straight	0.0	2670.24	2730.24	LINESTRING(590.280000 142.660000,594.330000 152.010000)
0	20	157	158	1	1	53	53	0	10	60	1	0	Right	6.924	2737.17	2797.17	LINESTRING(594.330000 152.010000,600.530000 146.430000)
0	21	158	896	1	1	45	45	0	8	48	1	0	Straight	0.0	2797.17	2845.17	LINESTRING(600.530000 146.430000,606.650000 142.550000)
0	22	896	148	1	1	81	81	0	15	95	1	0	Left	13.848	2859.01	2954.01	LINESTRING(606.650000 142.550000,611.380000 145.270000)
0	23	148	149	1	1	34	34	0	6	36	1	0	Right	6.924	2960.94	2996.94	LINESTRING(611.380000 145.270000,616.270000 139.370000)
0	24	149	148	1	1	34	34	0	6	36	0	0	U	55.394	3052.33	3058.33	LINESTRING(616.270000 139.370000,611.380000 145.270000)
0	25	148	827	1	1	112	112	0	20	130	1	0	Straight	0.0	3058.33	3188.33	LINESTRING(611.380000 145.270000,607.740000 152.620000)
0	26	827	794	1	1	33	33	0	6	36	1	0	Straight	0.0	3188.33	3224.33	LINESTRING(607.740000 152.620000,601.670000 159.890000)
0	27	794	793	1	1	78	78	0	14	84	1	0	Straight	0.0	3224.33	3308.33	LINESTRING(601.670000 159.890000,595.050000 167.590000)
0	28	793	920	1	1	56	56	0	10	60	0	0	Straight	0.0	3308.33	3318.33	LINESTRING(595.050000 167.590000,592.380000 185.820000)
0	29	920	1021	1	1	113	113	0	20	130	1	0	Right	6.924	3325.26	3455.26	LINESTRING(592.380000 185.820000,600.220000 182.080000)
0	30	1021	1022	1	1	55	55	0	10	60	1	0	Right	6.924	3462.18	3522.18	LINESTRING(600.220000 182.080000,600.170000 176.660000)
0	31	1022	1021	1	1	55	55	0	10	60	0	0	U	55.394	3577.57	3587.57	LINESTRING(600.170000 176.660000,600.220000 182.080000)
0	32	1021	495	1	1	64	64	0	12	72	0	0	Right	6.924	3594.5	3606.5	LINESTRING(600.220000 182.080000,608.360000 180.590000)
