Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	31013	27357	14.012	0	1.66667	0.122423	762.114	19070.5	0.216005	0.950695	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	541.07 188.18,575.9 207.38
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1521.39	1608.39	575.9 207.38,608.43 228.15
0	11	104	447	1	0	0	0	0	81	0	0	0	Right	6.924	1615.32	1696.32	608.43 228.15,649.94 210.95
0	12	447	905	1	1	112	112	0	20	130	1	0	Left	13.848	1710.17	1840.17	649.94 210.95,655.81 216.73
0	13	905	91	1	1	111	111	0	20	130	1	0	Left	13.848	1854.01	1984.01	655.81 216.73,652.89 223.12
0	14	91	440	1	1	43	43	0	8	48	1	0	Left	13.848	1997.86	2045.86	652.89 223.12,647.67 225.04
0	15	440	91	1	1	43	43	0	8	48	0	0	U	55.394	2101.26	2109.26	647.67 225.04,652.89 223.12
0	16	91	92	1	1	41	41	0	7	47	1	0	Left	13.848	2123.1	2170.1	652.89 223.12,653.99 228.98
0	17	92	91	1	1	41	41	0	7	47	0	0	U	55.394	2225.5	2232.5	653.99 228.98,652.89 223.12
0	18	91	905	1	1	111	111	0	20	130	0	0	Straight	0.0	2232.5	2252.5	652.89 223.12,655.81 216.73
0	19	905	871	1	1	61	61	0	11	71	1	0	Left	13.848	2266.35	2337.35	655.81 216.73,664.27 218.52
0	20	871	93	1	1	278	278	0	50	320	1	0	Straight	0.0	2337.35	2657.35	664.27 218.52,671.81 218.46
0	21	93	94	1	1	57	57	0	10	60	1	0	Straight	0.0	2657.35	2717.35	671.81 218.46,679.69 216.2
0	22	94	861	1	1	157	157	0	28	178	1	0	Left	13.848	2731.19	2909.19	679.69 216.2,690.86 223.95
0	23	861	824	1	1	104	104	0	19	119	1	0	Straight	0.0	2909.19	3028.19	690.86 223.95,700.56 231.07
0	24	824	455	1	1	106	106	0	19	119	1	0	Straight	0.0	3028.19	3147.19	700.56 231.07,707.65 236.98
0	25	455	978	1	1	20	20	0	4	24	1	0	Straight	0.0	3147.19	3171.19	707.65 236.98,713.75 241.28
0	26	978	455	1	1	20	20	0	4	24	0	0	U	55.394	3226.59	3230.59	713.75 241.28,707.65 236.98
0	27	455	454	1	1	301	301	0	54	354	1	0	Straight	0.0	3230.59	3584.59	707.65 236.98,702.54 236.6
0	28	454	824	1	1	202	202	0	36	236	1	0	Left	13.848	3598.44	3834.44	702.54 236.6,700.56 231.07
0	29	824	861	1	1	104	104	0	19	119	0	0	Straight	0.0	3834.44	3853.44	700.56 231.07,690.86 223.95
0	30	861	96	1	1	94	94	0	17	107	1	0	U	55.394	3908.83	4015.83	690.86 223.95,691.9 229.76
0	31	96	451	1	1	107	107	0	19	119	1	0	Straight	0.0	4015.83	4134.83	691.9 229.76,696.03 235.9
0	32	451	454	1	1	106	106	0	19	119	1	0	Right	6.924	4141.75	4260.75	696.03 235.9,702.54 236.6
