Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	1	8354.44	7572	7209.73	0	0	346.977	1	1748	0	0.0631918	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	LINESTRING(327.480000 185.130000,323.230000 189.380000)
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	LINESTRING(323.230000 189.380000,300.760000 197.070000)
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	LINESTRING(300.760000 197.070000,334.730000 191.270000)
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	LINESTRING(334.730000 191.270000,368.660000 185.500000)
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	LINESTRING(368.660000 185.500000,402.330000 180.380000)
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	LINESTRING(402.330000 180.380000,435.890000 175.700000)
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	LINESTRING(435.890000 175.700000,469.400000 171.380000)
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	LINESTRING(469.400000 171.380000,505.470000 170.090000)
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	LINESTRING(505.470000 170.090000,541.070000 188.180000)
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	LINESTRING(541.070000 188.180000,575.900000 207.380000)
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1521.39	1608.39	LINESTRING(575.900000 207.380000,608.430000 228.150000)
0	11	104	447	1	0	0	0	0	81	0	0	0	Right	6.924	1615.32	1696.32	LINESTRING(608.430000 228.150000,649.940000 210.950000)
0	12	447	826	1	0	0	0	0	25	0	0	0	Straight	0.0	1696.32	1721.32	LINESTRING(649.940000 210.950000,684.710000 196.040000)
0	13	826	485	1	0	0	0	0	20	0	0	0	Straight	0.0	1721.32	1741.32	LINESTRING(684.710000 196.040000,719.610000 182.350000)
0	14	485	734	1	0	0	0	0	71	0	0	0	Straight	0.0	1741.32	1812.32	LINESTRING(719.610000 182.350000,753.430000 170.450000)
0	15	734	508	1	1	82	82	0	15	95	0	0	Straight	0.0	1812.32	1827.32	LINESTRING(753.430000 170.450000,769.200000 151.070000)
0	16	508	509	1	1	94	94	0	17	107	1	0	Straight	0.0	1827.32	1934.32	LINESTRING(769.200000 151.070000,780.720000 133.880000)
0	17	509	516	1	1	56	56	0	10	60	1	0	Straight	0.0	1934.32	1994.32	LINESTRING(780.720000 133.880000,793.230000 120.290000)
0	18	516	808	1	1	56	56	0	10	60	0	0	Straight	0.0	1994.32	2004.32	LINESTRING(793.230000 120.290000,805.370000 108.050000)
0	19	808	807	1	1	51	51	0	9	59	0	0	Straight	0.0	2004.32	2013.32	LINESTRING(805.370000 108.050000,817.040000 96.724000)
0	20	807	691	1	1	58	58	0	11	61	1	0	Straight	0.0	2013.32	2074.32	LINESTRING(817.040000 96.724000,828.070000 86.244000)
0	21	691	692	1	1	57	57	0	10	60	1	0	Straight	0.0	2074.32	2134.32	LINESTRING(828.070000 86.244000,838.620000 76.343000)
0	22	692	202	1	1	145	145	0	26	166	1	0	Straight	0.0	2134.32	2300.32	LINESTRING(838.620000 76.343000,848.720000 70.527000)
0	23	202	1011	1	1	45	45	0	8	48	1	0	Straight	0.0	2300.32	2348.32	LINESTRING(848.720000 70.527000,858.670000 66.959000)
0	24	1011	924	1	1	121	121	0	22	142	1	0	Straight	0.0	2348.32	2490.32	LINESTRING(858.670000 66.959000,862.200000 59.994000)
0	25	924	541	1	1	43	43	0	8	48	0	0	Right	6.924	2497.24	2505.24	LINESTRING(862.200000 59.994000,855.840000 56.858000)
0	26	541	201	1	1	83	83	0	15	95	1	0	Right	6.924	2512.17	2607.17	LINESTRING(855.840000 56.858000,848.670000 63.404000)
0	27	201	1027	1	1	221	221	0	40	260	0	0	Straight	0.0	2607.17	2647.17	LINESTRING(848.670000 63.404000,842.150000 68.197000)
0	28	1027	201	1	1	221	221	0	40	260	1	0	U	55.394	2702.56	2962.56	LINESTRING(842.150000 68.197000,848.670000 63.404000)
0	29	201	541	1	1	83	83	0	15	95	0	0	Straight	0.0	2962.56	2977.56	LINESTRING(848.670000 63.404000,855.840000 56.858000)
0	30	541	542	1	1	70	70	0	13	83	1	0	Straight	0.0	2977.56	3060.56	LINESTRING(855.840000 56.858000,858.380000 49.713000)
0	31	542	541	1	1	70	70	0	13	83	0	0	U	55.394	3115.95	3128.95	LINESTRING(858.380000 49.713000,855.840000 56.858000)
0	32	541	924	1	1	43	43	0	8	48	1	0	Right	6.924	3135.88	3183.88	LINESTRING(855.840000 56.858000,862.200000 59.994000)
