Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	1	8354.44	7572	28.949	0	1	0	346.977	1748	0.0631918	0	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	541.07 188.18,575.9 207.38
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1521.39	1608.39	575.9 207.38,608.43 228.15
0	11	104	447	1	0	0	0	0	81	0	0	0	Right	6.924	1615.32	1696.32	608.43 228.15,649.94 210.95
0	12	447	826	1	0	0	0	0	25	0	0	0	Straight	0.0	1696.32	1721.32	649.94 210.95,684.71 196.04
0	13	826	485	1	0	0	0	0	20	0	0	0	Straight	0.0	1721.32	1741.32	684.71 196.04,719.61 182.35
0	14	485	734	1	0	0	0	0	71	0	0	0	Straight	0.0	1741.32	1812.32	719.61 182.35,753.43 170.45
0	15	734	508	1	1	82	82	0	15	95	1	0	Straight	0.0	1812.32	1907.32	753.43 170.45,769.2 151.07
0	16	508	152	1	1	54	54	0	10	60	1	0	Straight	0.0	1907.32	1967.32	769.2 151.07,779.84 143.17
0	17	152	151	1	1	54	54	0	10	60	1	0	Straight	0.0	1967.32	2027.32	779.84 143.17,784.96 137.47
0	18	151	843	1	1	127	127	0	23	143	1	0	Straight	0.0	2027.32	2170.32	784.96 137.47,790.06 132.82
0	19	843	488	1	1	186	186	0	33	213	1	0	U	55.394	2225.71	2438.71	790.06 132.82,789.79 137.76
0	20	488	487	1	1	72	72	0	13	83	0	0	Right	6.924	2445.64	2458.64	789.79 137.76,796.88 133.58
0	21	487	488	1	1	72	72	0	13	83	1	0	U	55.394	2514.03	2597.03	796.88 133.58,789.79 137.76
0	22	488	152	1	1	42	42	0	8	48	1	0	Straight	0.0	2597.03	2645.03	789.79 137.76,779.84 143.17
0	23	152	508	1	1	54	54	0	10	60	0	0	Straight	0.0	2645.03	2655.03	779.84 143.17,769.2 151.07
0	24	508	509	1	1	94	94	0	17	107	1	0	U	55.394	2710.42	2817.42	769.2 151.07,780.72 133.88
0	25	509	1065	1	1	113	113	0	20	130	1	0	Straight	0.0	2817.42	2947.42	780.72 133.88,782.4 126.22
0	26	1065	509	1	1	113	113	0	20	130	0	0	U	55.394	3002.82	3022.82	782.4 126.22,780.72 133.88
0	27	509	516	1	1	56	56	0	10	60	1	0	U	55.394	3078.21	3138.21	780.72 133.88,793.23 120.29
0	28	516	808	1	1	56	56	0	10	60	0	0	Straight	0.0	3138.21	3148.21	793.23 120.29,805.37 108.05
0	29	808	807	1	1	51	51	0	9	59	1	0	Straight	0.0	3148.21	3207.21	805.37 108.05,817.04 96.724
0	30	807	691	1	1	58	58	0	11	61	0	0	Straight	0.0	3207.21	3218.21	817.04 96.724,828.07 86.244
0	31	691	692	1	1	57	57	0	10	60	0	0	Straight	0.0	3218.21	3228.21	828.07 86.244,838.62 76.343
0	32	692	202	1	1	145	145	0	26	166	1	0	Straight	0.0	3228.21	3394.21	838.62 76.343,848.72 70.527
