Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	1	8431.45	7559	13.7423	0	1	0	346.977	1748	0.0631918	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1063	678	1	0	0	0	0	79	0	0	300		0.0	300.0	379.0	327.48 185.13,323.23 189.38
0	1	678	657	1	0	0	0	0	7	0	0	0	Straight	0.0	379.0	386.0	323.23 189.38,300.76 197.07
0	2	657	675	0	0	0	0	0	14	0	0	0	U	55.394	441.394	455.394	300.76 197.07,334.73 191.27
0	3	675	749	0	0	0	0	0	515	0	0	0	Straight	0.0	455.394	970.394	334.73 191.27,368.66 185.5
0	4	749	746	0	0	0	0	0	79	0	0	0	Straight	0.0	970.394	1049.39	368.66 185.5,402.33 180.38
0	5	746	747	0	0	0	0	0	128	0	0	0	Straight	0.0	1049.39	1177.39	402.33 180.38,435.89 175.7
0	6	747	767	0	0	0	0	0	46	0	0	0	Straight	0.0	1177.39	1223.39	435.89 175.7,469.4 171.38
0	7	767	704	1	0	0	0	0	137	0	0	0	Straight	0.0	1223.39	1360.39	469.4 171.38,505.47 170.09
0	8	704	213	1	0	0	0	0	7	0	0	0	Straight	0.0	1360.39	1367.39	505.47 170.09,541.07 188.18
0	9	213	136	1	0	0	0	0	154	0	0	0	Straight	0.0	1367.39	1521.39	541.07 188.18,575.9 207.38
0	10	136	104	1	0	0	0	0	87	0	0	0	Straight	0.0	1521.39	1608.39	575.9 207.38,608.43 228.15
0	11	104	447	1	0	0	0	0	81	0	0	0	Right	6.924	1615.32	1696.32	608.43 228.15,649.94 210.95
0	12	447	905	1	0	0	0	0	20	0	0	0	Left	13.848	1710.17	1730.17	649.94 210.95,655.81 216.73
0	13	905	871	1	0	0	0	0	11	0	0	0	Straight	0.0	1730.17	1741.17	655.81 216.73,664.27 218.52
0	14	871	895	1	1	59	59	0	11	61	1	0	Straight	0.0	1741.17	1802.17	664.27 218.52,668.76 223.18
0	15	895	1000	1	1	43	43	0	8	48	1	0	Straight	0.0	1802.17	1850.17	668.76 223.18,670.41 229.13
0	16	1000	895	1	1	43	43	0	8	48	0	0	U	55.394	1905.56	1913.56	670.41 229.13,668.76 223.18
0	17	895	93	1	1	414	414	0	75	485	1	0	Left	13.848	1927.41	2412.41	668.76 223.18,671.81 218.46
0	18	93	871	1	0	0	0	0	50	0	0	0	Right	6.924	2419.33	2469.33	671.81 218.46,664.27 218.52
0	19	871	905	1	0	0	0	0	11	0	0	0	Straight	0.0	2469.33	2480.33	664.27 218.52,655.81 216.73
0	20	905	447	1	0	0	0	0	20	0	0	0	Straight	0.0	2480.33	2500.33	655.81 216.73,649.94 210.95
0	21	447	826	1	0	0	0	0	25	0	0	0	Left	13.848	2514.18	2539.18	649.94 210.95,684.71 196.04
0	22	826	485	1	0	0	0	0	20	0	0	0	Straight	0.0	2539.18	2559.18	684.71 196.04,719.61 182.35
0	23	485	734	1	0	0	0	0	71	0	0	0	Straight	0.0	2559.18	2630.18	719.61 182.35,753.43 170.45
0	24	734	508	1	1	82	82	0	15	95	1	0	Straight	0.0	2630.18	2725.18	753.43 170.45,769.2 151.07
0	25	508	509	1	1	94	94	0	17	107	1	0	Straight	0.0	2725.18	2832.18	769.2 151.07,780.72 133.88
0	26	509	1065	1	1	113	113	0	20	130	1	0	Straight	0.0	2832.18	2962.18	780.72 133.88,782.4 126.22
0	27	1065	509	1	1	113	113	0	20	130	0	0	U	55.394	3017.57	3037.57	782.4 126.22,780.72 133.88
0	28	509	516	1	1	56	56	0	10	60	1	0	U	55.394	3092.97	3152.97	780.72 133.88,793.23 120.29
0	29	516	808	1	1	56	56	0	10	60	1	0	Straight	0.0	3152.97	3212.97	793.23 120.29,805.37 108.05
0	30	808	807	1	1	51	51	0	9	59	1	0	Straight	0.0	3212.97	3271.97	805.37 108.05,817.04 96.724
0	31	807	691	1	1	58	58	0	11	61	1	0	Straight	0.0	3271.97	3332.97	817.04 96.724,828.07 86.244
0	32	691	692	1	1	57	57	0	10	60	1	0	Straight	0.0	3332.97	3392.97	828.07 86.244,838.62 76.343
