Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	28132.3	26715	7201	0	0.449077	1388.33	1.33333	19334	2.59777	0.084703	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	1000	1	0	0	0	0	214	0	0	0	Straight	0.0	1218.0	1432.0	LINESTRING(235.220000 422.080000,214.990000 456.270000)
0	14	1000	1686	1	1	997	997	0	179	1169	1	0	Straight	0.0	1432.0	2601.0	LINESTRING(214.990000 456.270000,184.100000 466.650000)
0	15	1686	1000	1	1	997	997	0	179	1169	0	0	U	57.264	2658.26	2837.26	LINESTRING(184.100000 466.650000,214.990000 456.270000)
0	16	1000	2009	1	0	0	0	0	13	0	0	0	Left	14.316	2851.58	2864.58	LINESTRING(214.990000 456.270000,227.850000 473.010000)
0	17	2009	650	1	0	0	0	0	14	0	0	0	Straight	0.0	2864.58	2878.58	LINESTRING(227.850000 473.010000,250.180000 481.310000)
0	18	650	609	1	0	0	0	0	49	0	0	0	Straight	0.0	2878.58	2927.58	LINESTRING(250.180000 481.310000,269.390000 484.980000)
0	19	609	608	1	0	0	0	0	32	0	0	0	Straight	0.0	2927.58	2959.58	LINESTRING(269.390000 484.980000,288.250000 488.250000)
0	20	608	543	1	0	0	0	0	17	0	0	0	Straight	0.0	2959.58	2976.58	LINESTRING(288.250000 488.250000,305.760000 490.330000)
0	21	543	471	1	0	0	0	0	68	0	0	0	Straight	0.0	2976.58	3044.58	LINESTRING(305.760000 490.330000,319.370000 496.130000)
0	22	471	843	1	0	0	0	0	12	0	0	0	Straight	0.0	3044.58	3056.58	LINESTRING(319.370000 496.130000,328.110000 505.230000)
0	23	843	452	1	0	0	0	0	46	0	0	0	Straight	0.0	3056.58	3102.58	LINESTRING(328.110000 505.230000,339.490000 522.500000)
0	24	452	451	1	0	0	0	0	9	0	0	0	Straight	0.0	3102.58	3111.58	LINESTRING(339.490000 522.500000,359.280000 532.430000)
0	25	451	442	1	0	0	0	0	9	0	0	0	Straight	0.0	3111.58	3120.58	LINESTRING(359.280000 532.430000,368.860000 539.840000)
0	26	442	1586	1	0	0	0	0	5	0	0	0	Left	14.316	3134.9	3139.9	LINESTRING(368.860000 539.840000,358.660000 555.050000)
0	27	1586	443	1	0	0	0	0	1	0	0	0	Straight	0.0	3139.9	3140.9	LINESTRING(358.660000 555.050000,341.810000 562.430000)
0	28	443	444	1	0	0	0	0	19	0	0	0	Straight	0.0	3140.9	3159.9	LINESTRING(341.810000 562.430000,329.220000 584.090000)
0	29	444	2062	1	1	136	136	0	24	154	1	0	Right	7.158	3167.05	3321.05	LINESTRING(329.220000 584.090000,335.940000 587.600000)
0	30	2062	784	1	0	0	0	0	22	0	0	0	Straight	0.0	3321.05	3343.05	LINESTRING(335.940000 587.600000,345.920000 586.360000)
0	31	784	776	1	1	54	54	0	10	60	1	0	Straight	0.0	3343.05	3403.05	LINESTRING(345.920000 586.360000,356.850000 582.770000)
0	32	776	774	1	1	139	139	0	25	155	1	0	Straight	0.0	3403.05	3558.05	LINESTRING(356.850000 582.770000,366.340000 575.440000)
0	33	774	1955	1	0	0	0	0	1	0	0	0	Right	7.158	3565.21	3566.21	LINESTRING(366.340000 575.440000,367.610000 565.530000)
0	34	1955	817	1	1	147	147	0	26	166	1	0	Left	14.316	3580.53	3746.53	LINESTRING(367.610000 565.530000,374.830000 565.330000)
0	35	817	818	1	1	304	304	0	55	355	0	0	Right	7.158	3753.69	3808.69	LINESTRING(374.830000 565.330000,373.970000 561.760000)
0	36	818	817	1	1	304	304	0	55	355	1	0	U	57.264	3865.95	4220.95	LINESTRING(373.970000 561.760000,374.830000 565.330000)
0	37	817	1711	1	1	604	604	0	109	709	1	0	Right	7.158	4228.11	4937.11	LINESTRING(374.830000 565.330000,382.290000 566.600000)
0	38	1711	2229	1	1	151	151	0	27	177	0	0	Right	7.158	4944.27	4971.27	LINESTRING(382.290000 566.600000,384.370000 563.600000)
0	39	2229	1711	1	1	151	151	0	27	177	1	0	U	57.264	5028.53	5205.53	LINESTRING(384.370000 563.600000,382.290000 566.600000)
0	40	1711	290	1	1	182	182	0	33	213	1	0	Right	7.158	5212.69	5425.69	LINESTRING(382.290000 566.600000,389.010000 569.500000)
0	41	290	291	1	1	137	137	0	25	155	1	0	Straight	0.0	5425.69	5580.69	LINESTRING(389.010000 569.500000,395.400000 572.810000)
0	42	291	372	1	1	168	168	0	30	190	1	0	Left	14.316	5595.0	5785.0	LINESTRING(395.400000 572.810000,386.580000 580.020000)
0	43	372	2031	1	1	130	130	0	23	153	1	0	Right	7.158	5792.16	5945.16	LINESTRING(386.580000 580.020000,386.740000 590.880000)
0	44	2031	1875	0	0	0	0	0	8	0	0	0	Straight	0.0	5945.16	5953.16	LINESTRING(386.740000 590.880000,382.720000 595.720000)
0	45	1875	365	1	0	0	0	0	20	0	0	0	Left	14.316	5967.48	5987.48	LINESTRING(382.720000 595.720000,373.980000 595.380000)
0	46	365	366	1	1	163	163	0	29	189	1	0	Straight	0.0	5987.48	6176.48	LINESTRING(373.980000 595.380000,365.960000 593.210000)
