Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	33769.1	28100	86.709	2.743	0.147939	965.883	1.07692	26054	0.65546	0.310578	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	1000	1	0	0	0	0	214	0	0	0	Straight	0.0	1218.0	1432.0	LINESTRING(235.220000 422.080000,214.990000 456.270000)
0	14	1000	2009	1	0	0	0	0	13	0	0	0	Right	7.158	1439.16	1452.16	LINESTRING(214.990000 456.270000,227.850000 473.010000)
0	15	2009	650	1	0	0	0	0	14	0	0	0	Straight	0.0	1452.16	1466.16	LINESTRING(227.850000 473.010000,250.180000 481.310000)
0	16	650	1649	1	0	0	0	0	26	0	0	0	Straight	0.0	1466.16	1492.16	LINESTRING(250.180000 481.310000,261.950000 490.330000)
0	17	1649	979	1	0	0	0	0	25	0	0	0	Straight	0.0	1492.16	1517.16	LINESTRING(261.950000 490.330000,269.560000 501.340000)
0	18	979	992	1	0	0	0	0	101	0	0	0	Straight	0.0	1517.16	1618.16	LINESTRING(269.560000 501.340000,272.860000 511.890000)
0	19	992	2117	1	0	0	0	0	12	0	0	0	Straight	0.0	1618.16	1630.16	LINESTRING(272.860000 511.890000,277.680000 521.990000)
0	20	2117	652	1	0	0	0	0	24	0	0	0	Straight	0.0	1630.16	1654.16	LINESTRING(277.680000 521.990000,283.710000 531.040000)
0	21	652	693	1	0	0	0	0	34	0	0	0	Left	14.316	1668.47	1702.47	LINESTRING(283.710000 531.040000,266.140000 539.950000)
0	22	693	989	1	0	0	0	0	14	0	0	0	Straight	0.0	1702.47	1716.47	LINESTRING(266.140000 539.950000,260.300000 549.810000)
0	23	989	1962	1	0	0	0	0	5	0	0	0	Left	14.316	1730.79	1735.79	LINESTRING(260.300000 549.810000,254.750000 551.160000)
0	24	1962	984	1	0	0	0	0	7	0	0	0	Right	7.158	1742.95	1749.95	LINESTRING(254.750000 551.160000,256.770000 559.690000)
0	25	984	989	0	1	26	26	0	9	59	1	0	U	57.264	1807.21	1866.21	LINESTRING(256.770000 559.690000,260.300000 549.810000)
0	26	989	1962	1	0	0	0	0	5	0	0	0	Right	7.158	1873.37	1878.37	LINESTRING(260.300000 549.810000,254.750000 551.160000)
0	27	1962	984	1	0	0	0	0	7	0	0	0	Right	7.158	1885.53	1892.53	LINESTRING(254.750000 551.160000,256.770000 559.690000)
0	28	984	983	1	0	0	0	0	25	0	0	0	Straight	0.0	1892.53	1917.53	LINESTRING(256.770000 559.690000,254.950000 572.720000)
0	29	983	647	1	1	26	26	0	5	25	1	0	Left	14.316	1931.84	1956.84	LINESTRING(254.950000 572.720000,243.910000 576.010000)
0	30	647	648	1	1	374	374	0	67	437	1	0	Right	7.158	1964.0	2401.0	LINESTRING(243.910000 576.010000,251.630000 583.960000)
0	31	648	1833	1	1	97	97	0	17	107	0	0	Left	14.316	2415.32	2432.32	LINESTRING(251.630000 583.960000,247.930000 593.390000)
0	32	1833	648	1	1	97	97	0	17	107	1	0	U	57.264	2489.58	2596.58	LINESTRING(247.930000 593.390000,251.630000 583.960000)
0	33	648	934	1	1	26	26	0	5	25	1	0	Left	14.316	2610.9	2635.9	LINESTRING(251.630000 583.960000,262.960000 582.860000)
0	34	934	933	1	0	0	0	0	83	0	0	0	Straight	0.0	2635.9	2718.9	LINESTRING(262.960000 582.860000,277.710000 590.050000)
0	35	933	1744	1	0	0	0	0	37	0	0	0	Straight	0.0	2718.9	2755.9	LINESTRING(277.710000 590.050000,294.910000 594.450000)
0	36	1744	2021	1	0	0	0	0	63	0	0	0	Straight	0.0	2755.9	2818.9	LINESTRING(294.910000 594.450000,313.310000 610.930000)
0	37	2021	763	1	1	17	17	0	3	13	1	0	Left	14.316	2833.21	2846.21	LINESTRING(313.310000 610.930000,311.690000 620.350000)
0	38	763	767	1	1	100	100	0	18	118	1	0	Straight	0.0	2846.21	2964.21	LINESTRING(311.690000 620.350000,304.900000 625.260000)
0	39	767	2274	1	1	312	312	0	56	366	1	0	Right	7.158	2971.37	3337.37	LINESTRING(304.900000 625.260000,304.250000 630.520000)
0	40	2274	764	1	1	139	139	0	25	155	1	0	Right	7.158	3344.53	3499.53	LINESTRING(304.250000 630.520000,317.540000 625.900000)
0	41	764	763	1	1	327	327	0	59	379	1	0	Right	7.158	3506.69	3885.69	LINESTRING(317.540000 625.900000,311.690000 620.350000)
0	42	763	767	1	1	100	100	0	18	118	0	0	Right	7.158	3892.85	3910.85	LINESTRING(311.690000 620.350000,304.900000 625.260000)
0	43	767	401	1	1	95	95	0	17	107	1	0	Straight	0.0	3910.85	4017.85	LINESTRING(304.900000 625.260000,297.890000 627.620000)
0	44	401	400	1	1	35	35	0	6	36	1	0	Right	7.158	4025.0	4061.0	LINESTRING(297.890000 627.620000,297.510000 631.130000)
0	45	400	401	1	1	35	35	0	6	36	0	0	U	57.264	4118.27	4124.27	LINESTRING(297.510000 631.130000,297.890000 627.620000)
0	46	401	775	1	1	105	105	0	19	119	1	0	Right	7.158	4131.43	4250.43	LINESTRING(297.890000 627.620000,291.430000 629.300000)
0	47	775	368	1	1	101	101	0	18	118	1	0	Straight	0.0	4250.43	4368.43	LINESTRING(291.430000 629.300000,288.030000 631.810000)
