Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	31286.6	28767	130.352	0	0.0501548	971.475	1.22222	21152	0.568627	0.141172	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	1000	1	0	0	0	0	214	0	0	0	Straight	0.0	1218.0	1432.0	LINESTRING(235.220000 422.080000,214.990000 456.270000)
0	14	1000	1686	1	0	0	0	0	179	0	0	0	Straight	0.0	1432.0	1611.0	LINESTRING(214.990000 456.270000,184.100000 466.650000)
0	15	1686	1033	1	1	289	289	0	52	332	1	0	Left	14.316	1625.32	1957.32	LINESTRING(184.100000 466.650000,187.040000 458.210000)
0	16	1033	1034	1	1	952	952	0	171	1121	1	0	Straight	0.0	1957.32	3078.32	LINESTRING(187.040000 458.210000,188.390000 451.380000)
0	17	1034	2293	1	1	162	162	0	29	189	1	0	Straight	0.0	3078.32	3267.32	LINESTRING(188.390000 451.380000,187.820000 446.170000)
0	18	2293	1034	1	1	162	162	0	29	189	0	0	U	57.264	3324.58	3353.58	LINESTRING(187.820000 446.170000,188.390000 451.380000)
0	19	1034	1937	1	1	137	137	0	25	155	1	0	Straight	0.0	3353.58	3508.58	LINESTRING(188.390000 451.380000,187.060000 453.800000)
0	20	1937	1033	1	1	580	580	0	104	684	1	0	Straight	0.0	3508.58	4192.58	LINESTRING(187.060000 453.800000,187.040000 458.210000)
0	21	1033	1686	1	1	289	289	0	52	332	0	0	Straight	0.0	4192.58	4244.58	LINESTRING(187.040000 458.210000,184.100000 466.650000)
0	22	1686	1035	1	1	88	88	0	16	96	1	0	Straight	0.0	4244.58	4340.58	LINESTRING(184.100000 466.650000,167.660000 477.110000)
0	23	1035	796	1	1	379	379	0	68	438	1	0	Straight	0.0	4340.58	4778.58	LINESTRING(167.660000 477.110000,160.410000 484.070000)
0	24	796	797	1	1	118	118	0	21	131	1	0	Straight	0.0	4778.58	4909.58	LINESTRING(160.410000 484.070000,152.680000 490.830000)
0	25	797	800	1	1	108	108	0	20	120	1	0	Straight	0.0	4909.58	5029.58	LINESTRING(152.680000 490.830000,145.320000 497.600000)
0	26	800	1615	1	1	120	120	0	22	142	1	0	Straight	0.0	5029.58	5171.58	LINESTRING(145.320000 497.600000,138.640000 505.110000)
0	27	1615	1677	1	1	111	111	0	20	130	1	0	Straight	0.0	5171.58	5301.58	LINESTRING(138.640000 505.110000,133.050000 514.340000)
0	28	1677	844	1	1	133	133	0	24	154	1	0	Straight	0.0	5301.58	5455.58	LINESTRING(133.050000 514.340000,128.420000 520.240000)
0	29	844	855	1	1	36	36	0	6	36	1	0	Straight	0.0	5455.58	5491.58	LINESTRING(128.420000 520.240000,124.250000 521.340000)
0	30	855	879	1	1	204	204	0	37	237	1	0	Left	14.316	5505.9	5742.9	LINESTRING(124.250000 521.340000,121.930000 516.100000)
0	31	879	866	1	1	164	164	0	29	189	1	0	Left	14.316	5757.21	5946.21	LINESTRING(121.930000 516.100000,127.880000 507.320000)
0	32	866	1677	1	1	329	329	0	59	379	1	0	Left	14.316	5960.53	6339.53	LINESTRING(127.880000 507.320000,133.050000 514.340000)
0	33	1677	1678	1	1	303	303	0	54	354	1	0	Straight	0.0	6339.53	6693.53	LINESTRING(133.050000 514.340000,136.630000 524.630000)
0	34	1678	837	1	1	159	159	0	29	179	1	0	Left	14.316	6707.84	6886.84	LINESTRING(136.630000 524.630000,130.090000 532.790000)
0	35	837	1040	1	1	96	96	0	17	107	1	0	Left	14.316	6901.16	7008.16	LINESTRING(130.090000 532.790000,118.720000 533.520000)
0	36	1040	883	1	1	151	151	0	27	177	1	0	Straight	0.0	7008.16	7185.16	LINESTRING(118.720000 533.520000,111.220000 536.700000)
0	37	883	1637	1	1	171	171	0	31	201	1	0	Straight	0.0	7185.16	7386.16	LINESTRING(111.220000 536.700000,104.550000 538.360000)
0	38	1637	1050	1	1	162	162	0	29	189	1	0	Straight	0.0	7386.16	7575.16	LINESTRING(104.550000 538.360000,97.419000 539.340000)
0	39	1050	1049	1	1	125	125	0	23	143	1	0	Straight	0.0	7575.16	7718.16	LINESTRING(97.419000 539.340000,91.267000 539.390000)
0	40	1049	1789	1	1	144	144	0	26	166	1	0	Straight	0.0	7718.16	7884.16	LINESTRING(91.267000 539.390000,86.745000 543.400000)
0	41	1789	965	1	1	146	146	0	26	166	1	0	Straight	0.0	7884.16	8050.16	LINESTRING(86.745000 543.400000,84.072000 548.920000)
0	42	965	964	1	1	145	145	0	26	166	1	0	Straight	0.0	8050.16	8216.16	LINESTRING(84.072000 548.920000,83.453000 555.140000)
0	43	964	1065	1	1	149	149	0	27	167	1	0	Straight	0.0	8216.16	8383.16	LINESTRING(83.453000 555.140000,86.972000 561.230000)
0	44	1065	964	1	1	149	149	0	27	167	0	0	U	57.264	8440.42	8467.42	LINESTRING(86.972000 561.230000,83.453000 555.140000)
0	45	964	1529	1	1	229	229	0	41	261	1	0	Straight	0.0	8467.42	8728.42	LINESTRING(83.453000 555.140000,79.250000 551.260000)
0	46	1529	1652	1	1	146	146	0	26	166	1	0	Right	7.158	8735.58	8901.58	LINESTRING(79.250000 551.260000,77.746000 557.470000)
