Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	30774.1	28684	132.384	0	1	0	1145.29	17354	0.0564686	0.100976	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	360.38 280.33,363.4 284.32
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	363.4 284.32,367.72 288.77
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	367.72 288.77,372.78 294.49
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	372.78 294.49,378.59 301.43
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	378.59 301.43,385.69 307.89
0	5	1528	957	1	0	0	0	0	9	0	0	0	Straight	0.0	784.0	793.0	385.69 307.89,393.42 311.13
0	6	957	586	1	0	0	0	0	11	0	0	0	Straight	0.0	793.0	804.0	393.42 311.13,404.06 311.5
0	7	586	587	1	0	0	0	0	117	0	0	0	Straight	0.0	804.0	921.0	404.06 311.5,427.62 301.53
0	8	587	378	1	0	0	0	0	91	0	0	0	Straight	0.0	921.0	1012.0	427.62 301.53,452.57 295.43
0	9	378	302	1	0	0	0	0	74	0	0	0	Straight	0.0	1012.0	1086.0	452.57 295.43,478.65 294.61
0	10	302	1253	1	0	0	0	0	174	0	0	0	Straight	0.0	1086.0	1260.0	478.65 294.61,505.29 293.99
0	11	1253	1254	1	0	0	0	0	401	0	0	0	Right	7.158	1267.16	1668.16	505.29 293.99,520.54 265.28
0	12	1254	1862	1	1	207	207	0	37	237	0	0	Left	14.316	1682.47	1719.47	520.54 265.28,537.52 271.27
0	13	1862	1863	1	1	238	238	0	43	273	1	0	Straight	0.0	1719.47	1992.47	537.52 271.27,541.62 271.63
0	14	1863	1862	1	1	238	238	0	43	273	0	0	U	57.264	2049.74	2092.74	541.62 271.63,537.52 271.27
