Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	31011.2	28463	127.697	0	0	792.017	1	11742	0.109044	0.0734092	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	1000	1	0	0	0	0	214	0	0	0	Straight	0.0	1218.0	1432.0	LINESTRING(235.220000 422.080000,214.990000 456.270000)
0	14	1000	1686	1	0	0	0	0	179	0	0	0	Straight	0.0	1432.0	1611.0	LINESTRING(214.990000 456.270000,184.100000 466.650000)
0	15	1686	1041	1	0	0	0	0	53	0	0	0	Straight	0.0	1611.0	1664.0	LINESTRING(184.100000 466.650000,158.170000 474.390000)
0	16	1041	845	1	1	95	95	0	17	107	1	0	Right	7.158	1671.16	1778.16	LINESTRING(158.170000 474.390000,152.700000 485.300000)
0	17	845	865	1	1	133	133	0	24	154	1	0	Straight	0.0	1778.16	1932.16	LINESTRING(152.700000 485.300000,137.500000 497.310000)
0	18	865	866	1	1	131	131	0	24	154	1	0	Straight	0.0	1932.16	2086.16	LINESTRING(137.500000 497.310000,127.880000 507.320000)
0	19	866	2283	1	1	171	171	0	31	201	1	0	Left	14.316	2100.47	2301.47	LINESTRING(127.880000 507.320000,118.390000 505.800000)
0	20	2283	1055	1	1	193	193	0	35	225	1	0	Straight	0.0	2301.47	2526.47	LINESTRING(118.390000 505.800000,107.370000 508.470000)
0	21	1055	1048	1	0	0	0	0	20	0	0	0	U	57.264	2583.74	2603.74	LINESTRING(107.370000 508.470000,116.280000 500.730000)
0	22	1048	1053	1	0	0	0	0	33	0	0	0	Straight	0.0	2603.74	2636.74	LINESTRING(116.280000 500.730000,119.340000 491.700000)
0	23	1053	1057	1	1	100	100	0	18	118	1	0	Right	7.158	2643.9	2761.9	LINESTRING(119.340000 491.700000,108.540000 492.440000)
0	24	1057	1056	1	1	242	242	0	44	284	1	0	Straight	0.0	2761.9	3045.9	LINESTRING(108.540000 492.440000,99.459000 495.000000)
0	25	1056	1062	1	1	90	90	0	16	106	1	0	Straight	0.0	3045.9	3151.9	LINESTRING(99.459000 495.000000,90.735000 500.770000)
0	26	1062	975	1	0	0	0	0	9	0	0	0	Left	14.316	3166.21	3175.21	LINESTRING(90.735000 500.770000,80.312000 497.990000)
0	27	975	974	1	1	275	275	0	49	319	1	0	Left	14.316	3189.53	3508.53	LINESTRING(80.312000 497.990000,79.627000 491.440000)
0	28	974	998	1	1	143	143	0	26	166	1	0	Right	7.158	3515.69	3681.69	LINESTRING(79.627000 491.440000,70.498000 494.890000)
0	29	998	1738	1	1	145	145	0	26	166	1	0	Straight	0.0	3681.69	3847.69	LINESTRING(70.498000 494.890000,62.446000 497.650000)
0	30	1738	1014	1	1	144	144	0	26	166	1	0	Straight	0.0	3847.69	4013.69	LINESTRING(62.446000 497.650000,55.124000 502.940000)
0	31	1014	1738	1	1	144	144	0	26	166	0	0	U	57.264	4070.95	4096.95	LINESTRING(55.124000 502.940000,62.446000 497.650000)
0	32	1738	1003	1	1	119	119	0	21	131	1	0	Straight	0.0	4096.95	4227.95	LINESTRING(62.446000 497.650000,66.008000 492.790000)
0	33	1003	995	1	1	285	285	0	51	331	1	0	Straight	0.0	4227.95	4558.95	LINESTRING(66.008000 492.790000,75.127000 488.150000)
0	34	995	994	1	1	122	122	0	22	142	1	0	Straight	0.0	4558.95	4700.95	LINESTRING(75.127000 488.150000,81.254000 482.740000)
0	35	994	973	1	0	0	0	0	21	0	0	0	Straight	0.0	4700.95	4721.95	LINESTRING(81.254000 482.740000,92.775000 478.000000)
0	36	973	944	1	1	514	514	0	92	602	1	0	Straight	0.0	4721.95	5323.95	LINESTRING(92.775000 478.000000,105.300000 475.660000)
0	37	944	1052	1	1	303	303	0	55	355	1	0	Straight	0.0	5323.95	5678.95	LINESTRING(105.300000 475.660000,117.070000 474.110000)
0	38	1052	1992	1	1	121	121	0	22	142	1	0	Straight	0.0	5678.95	5820.95	LINESTRING(117.070000 474.110000,123.320000 476.150000)
0	39	1992	945	1	1	302	302	0	54	354	1	0	U	57.264	5878.21	6232.21	LINESTRING(123.320000 476.150000,112.030000 477.970000)
0	40	945	1692	1	1	126	126	0	23	143	1	0	Straight	0.0	6232.21	6375.21	LINESTRING(112.030000 477.970000,104.340000 483.060000)
0	41	1692	1060	1	1	257	257	0	46	296	1	0	Straight	0.0	6375.21	6671.21	LINESTRING(104.340000 483.060000,89.731000 486.130000)
0	42	1060	974	1	1	167	167	0	30	190	1	0	Straight	0.0	6671.21	6861.21	LINESTRING(89.731000 486.130000,79.627000 491.440000)
0	43	974	995	1	1	121	121	0	22	142	1	0	Left	14.316	6875.53	7017.53	LINESTRING(79.627000 491.440000,75.127000 488.150000)
0	44	995	1061	1	1	272	272	0	49	319	1	0	Left	14.316	7031.85	7350.85	LINESTRING(75.127000 488.150000,80.598000 485.290000)
0	45	1061	1575	1	1	39	39	0	7	37	1	0	Right	7.158	7358.0	7395.0	LINESTRING(80.598000 485.290000,75.968000 481.570000)
0	46	1575	1061	1	1	39	39	0	7	37	0	0	U	57.264	7452.27	7459.27	LINESTRING(75.968000 481.570000,80.598000 485.290000)
