Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	33561.2	28751	7202.92	0	0.333454	857.595	2.28571	19336.5	1.22818	0.389634	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	957	1	0	0	0	0	9	0	0	0	Straight	0.0	784.0	793.0	LINESTRING(385.690000 307.890000,393.420000 311.130000)
0	6	957	586	1	0	0	0	0	11	0	0	0	Straight	0.0	793.0	804.0	LINESTRING(393.420000 311.130000,404.060000 311.500000)
0	7	586	587	1	0	0	0	0	117	0	0	0	Straight	0.0	804.0	921.0	LINESTRING(404.060000 311.500000,427.620000 301.530000)
0	8	587	378	1	0	0	0	0	91	0	0	0	Straight	0.0	921.0	1012.0	LINESTRING(427.620000 301.530000,452.570000 295.430000)
0	9	378	302	1	0	0	0	0	74	0	0	0	Straight	0.0	1012.0	1086.0	LINESTRING(452.570000 295.430000,478.650000 294.610000)
0	10	302	1253	1	0	0	0	0	174	0	0	0	Straight	0.0	1086.0	1260.0	LINESTRING(478.650000 294.610000,505.290000 293.990000)
0	11	1253	1254	1	0	0	0	0	401	0	0	0	Right	7.158	1267.16	1668.16	LINESTRING(505.290000 293.990000,520.540000 265.280000)
0	12	1254	1408	1	0	0	0	0	35	0	0	0	Straight	0.0	1668.16	1703.16	LINESTRING(520.540000 265.280000,526.700000 232.930000)
0	13	1408	1418	1	1	283	283	0	51	331	0	0	Straight	0.0	1703.16	1754.16	LINESTRING(526.700000 232.930000,522.400000 210.130000)
0	14	1418	1989	1	1	126	126	0	23	143	0	0	Straight	0.0	1754.16	1777.16	LINESTRING(522.400000 210.130000,523.810000 204.760000)
0	15	1989	1418	1	1	126	126	0	23	143	1	0	U	57.264	1834.42	1977.42	LINESTRING(523.810000 204.760000,522.400000 210.130000)
0	16	1418	1239	1	1	278	278	0	50	320	0	0	U	57.264	2034.69	2084.69	LINESTRING(522.400000 210.130000,517.430000 188.520000)
0	17	1239	1240	1	1	96	96	0	17	107	0	0	Straight	0.0	2084.69	2101.69	LINESTRING(517.430000 188.520000,511.800000 168.050000)
0	18	1240	1252	1	1	493	493	0	89	579	1	0	Straight	0.0	2101.69	2680.69	LINESTRING(511.800000 168.050000,509.260000 145.760000)
0	19	1252	1208	0	1	30	30	0	5	35	0	0	Straight	0.0	2680.69	2685.69	LINESTRING(509.260000 145.760000,501.560000 132.030000)
0	20	1208	1209	1	1	98	98	0	18	108	1	0	Straight	0.0	2685.69	2793.69	LINESTRING(501.560000 132.030000,490.990000 121.660000)
0	21	1209	1245	0	1	35	35	0	6	36	0	0	Straight	0.0	2793.69	2799.69	LINESTRING(490.990000 121.660000,480.640000 114.690000)
0	22	1245	1232	0	1	71	71	0	13	83	1	0	Straight	0.0	2799.69	2882.69	LINESTRING(480.640000 114.690000,475.170000 112.820000)
0	23	1232	1430	1	1	206	206	0	37	237	0	0	Straight	0.0	2882.69	2919.69	LINESTRING(475.170000 112.820000,467.400000 110.600000)
0	24	1430	1431	1	1	78	78	0	14	84	0	0	Straight	0.0	2919.69	2933.69	LINESTRING(467.400000 110.600000,463.570000 111.510000)
0	25	1431	1430	1	1	78	78	0	14	84	1	0	U	57.264	2990.95	3074.95	LINESTRING(463.570000 111.510000,467.400000 110.600000)
0	26	1430	1232	1	1	206	206	0	37	237	0	0	Straight	0.0	3074.95	3111.95	LINESTRING(467.400000 110.600000,475.170000 112.820000)
0	27	1232	1233	0	1	43	43	0	8	48	0	0	Straight	0.0	3111.95	3119.95	LINESTRING(475.170000 112.820000,481.720000 111.850000)
0	28	1233	1434	1	1	88	88	0	16	96	1	0	Straight	0.0	3119.95	3215.95	LINESTRING(481.720000 111.850000,484.320000 108.710000)
0	29	1434	1728	1	1	54	54	0	10	60	1	0	Straight	0.0	3215.95	3275.95	LINESTRING(484.320000 108.710000,487.960000 107.450000)
0	30	1728	1222	1	1	50	50	0	9	59	1	0	Right	7.158	3283.11	3342.11	LINESTRING(487.960000 107.450000,488.100000 100.590000)
0	31	1222	2052	1	1	44	44	0	8	48	0	0	Straight	0.0	3342.11	3350.11	LINESTRING(488.100000 100.590000,488.460000 95.247000)
0	32	2052	1222	1	1	44	44	0	8	48	1	0	U	57.264	3407.37	3455.37	LINESTRING(488.460000 95.247000,488.100000 100.590000)
0	33	1222	1221	1	1	58	58	0	10	60	1	0	Left	14.316	3469.69	3529.69	LINESTRING(488.100000 100.590000,484.640000 100.700000)
0	34	1221	1220	1	1	85	85	0	15	95	1	0	Right	7.158	3536.85	3631.85	LINESTRING(484.640000 100.700000,483.970000 105.330000)
0	35	1220	1434	1	1	55	55	0	10	60	1	0	Straight	0.0	3631.85	3691.85	LINESTRING(483.970000 105.330000,484.320000 108.710000)
0	36	1434	1728	1	1	54	54	0	10	60	0	0	Right	7.158	3699.0	3709.0	LINESTRING(484.320000 108.710000,487.960000 107.450000)
0	37	1728	1727	1	1	73	73	0	13	83	1	0	Left	14.316	3723.32	3806.32	LINESTRING(487.960000 107.450000,487.680000 113.970000)
0	38	1727	1209	0	1	35	35	0	6	36	0	0	Straight	0.0	3806.32	3812.32	LINESTRING(487.680000 113.970000,490.990000 121.660000)
0	39	1209	1208	1	1	98	98	0	18	108	0	0	Straight	0.0	3812.32	3830.32	LINESTRING(490.990000 121.660000,501.560000 132.030000)
0	40	1208	1234	0	1	32	32	0	6	36	0	0	Right	7.158	3837.48	3843.48	LINESTRING(501.560000 132.030000,505.810000 120.540000)
0	41	1234	1446	0	1	32	32	0	6	36	0	0	Left	14.316	3857.79	3863.79	LINESTRING(505.810000 120.540000,513.040000 129.460000)
0	42	1446	1447	1	1	100	100	0	18	118	0	0	Right	7.158	3870.95	3888.95	LINESTRING(513.040000 129.460000,522.800000 118.800000)
0	43	1447	1983	0	1	20	20	0	4	24	1	0	Straight	0.0	3888.95	3912.95	LINESTRING(522.800000 118.800000,527.860000 111.030000)
0	44	1983	1223	1	1	167	167	0	30	190	0	0	Straight	0.0	3912.95	3942.95	LINESTRING(527.860000 111.030000,532.250000 103.050000)
0	45	1223	1224	1	1	287	287	0	52	332	0	0	Straight	0.0	3942.95	3994.95	LINESTRING(532.250000 103.050000,531.460000 98.922000)
0	46	1224	1223	1	1	287	287	0	52	332	1	0	U	57.264	4052.22	4384.22	LINESTRING(531.460000 98.922000,532.250000 103.050000)
