Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	34429.1	28624	128.652	0	0.312078	704.354	1.71429	14773.5	1.2359	0.423515	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	957	1	0	0	0	0	9	0	0	0	Straight	0.0	784.0	793.0	LINESTRING(385.690000 307.890000,393.420000 311.130000)
0	6	957	586	1	0	0	0	0	11	0	0	0	Straight	0.0	793.0	804.0	LINESTRING(393.420000 311.130000,404.060000 311.500000)
0	7	586	587	1	0	0	0	0	117	0	0	0	Straight	0.0	804.0	921.0	LINESTRING(404.060000 311.500000,427.620000 301.530000)
0	8	587	378	1	0	0	0	0	91	0	0	0	Straight	0.0	921.0	1012.0	LINESTRING(427.620000 301.530000,452.570000 295.430000)
0	9	378	302	1	0	0	0	0	74	0	0	0	Straight	0.0	1012.0	1086.0	LINESTRING(452.570000 295.430000,478.650000 294.610000)
0	10	302	1253	1	0	0	0	0	174	0	0	0	Straight	0.0	1086.0	1260.0	LINESTRING(478.650000 294.610000,505.290000 293.990000)
0	11	1253	1254	1	0	0	0	0	401	0	0	0	Right	7.158	1267.16	1668.16	LINESTRING(505.290000 293.990000,520.540000 265.280000)
0	12	1254	1408	1	0	0	0	0	35	0	0	0	Straight	0.0	1668.16	1703.16	LINESTRING(520.540000 265.280000,526.700000 232.930000)
0	13	1408	1418	1	1	283	283	0	51	331	1	0	Straight	0.0	1703.16	2034.16	LINESTRING(526.700000 232.930000,522.400000 210.130000)
0	14	1418	1239	1	1	278	278	0	50	320	1	0	Straight	0.0	2034.16	2354.16	LINESTRING(522.400000 210.130000,517.430000 188.520000)
0	15	1239	2350	1	1	289	289	0	52	332	1	0	Straight	0.0	2354.16	2686.16	LINESTRING(517.430000 188.520000,518.660000 183.530000)
0	16	2350	1239	1	1	289	289	0	52	332	0	0	U	57.264	2743.42	2795.42	LINESTRING(518.660000 183.530000,517.430000 188.520000)
0	17	1239	1240	1	1	96	96	0	17	107	1	0	U	57.264	2852.69	2959.69	LINESTRING(517.430000 188.520000,511.800000 168.050000)
0	18	1240	1252	1	1	493	493	0	89	579	1	0	Straight	0.0	2959.69	3538.69	LINESTRING(511.800000 168.050000,509.260000 145.760000)
0	19	1252	1208	0	1	30	30	0	5	35	1	0	Straight	0.0	3538.69	3573.69	LINESTRING(509.260000 145.760000,501.560000 132.030000)
0	20	1208	1209	1	1	98	98	0	18	108	1	0	Straight	0.0	3573.69	3681.69	LINESTRING(501.560000 132.030000,490.990000 121.660000)
0	21	1209	1245	0	1	35	35	0	6	36	1	0	Straight	0.0	3681.69	3717.69	LINESTRING(490.990000 121.660000,480.640000 114.690000)
0	22	1245	1246	1	1	67	67	0	12	72	1	0	Straight	0.0	3717.69	3789.69	LINESTRING(480.640000 114.690000,473.210000 105.930000)
0	23	1246	1561	0	1	15	15	0	3	13	1	0	Straight	0.0	3789.69	3802.69	LINESTRING(473.210000 105.930000,470.280000 98.419000)
0	24	1561	2159	1	1	45	45	0	8	48	1	0	Straight	0.0	3802.69	3850.69	LINESTRING(470.280000 98.419000,469.620000 93.106000)
0	25	2159	1561	1	1	45	45	0	8	48	0	0	U	57.264	3907.95	3915.95	LINESTRING(469.620000 93.106000,470.280000 98.419000)
0	26	1561	1452	0	1	14	14	0	3	13	1	0	Left	14.316	3930.27	3943.27	LINESTRING(470.280000 98.419000,465.540000 96.434000)
0	27	1452	1868	1	1	93	93	0	17	107	1	0	Straight	0.0	3943.27	4050.27	LINESTRING(465.540000 96.434000,462.990000 91.409000)
0	28	1868	1452	1	1	93	93	0	17	107	0	0	U	57.264	4107.53	4124.53	LINESTRING(462.990000 91.409000,465.540000 96.434000)
0	29	1452	1453	0	1	14	14	0	3	13	1	0	Straight	0.0	4124.53	4137.53	LINESTRING(465.540000 96.434000,466.190000 102.690000)
0	30	1453	1716	1	1	112	112	0	20	130	1	0	Left	14.316	4151.85	4281.85	LINESTRING(466.190000 102.690000,460.060000 102.890000)
0	31	1716	2141	1	1	147	147	0	26	166	1	0	Straight	0.0	4281.85	4447.85	LINESTRING(460.060000 102.890000,455.730000 99.639000)
0	32	2141	1716	1	1	147	147	0	26	166	0	0	U	57.264	4505.11	4531.11	LINESTRING(455.730000 99.639000,460.060000 102.890000)
0	33	1716	1433	1	1	54	54	0	10	60	1	0	Straight	0.0	4531.11	4591.11	LINESTRING(460.060000 102.890000,461.140000 107.630000)
0	34	1433	1432	1	1	77	77	0	14	84	1	0	Left	14.316	4605.43	4689.43	LINESTRING(461.140000 107.630000,456.450000 106.370000)
0	35	1432	1433	1	1	77	77	0	14	84	0	0	U	57.264	4746.69	4760.69	LINESTRING(456.450000 106.370000,461.140000 107.630000)
0	36	1433	1430	1	1	58	58	0	11	61	1	0	Straight	0.0	4760.69	4821.69	LINESTRING(461.140000 107.630000,467.400000 110.600000)
0	37	1430	1431	1	1	78	78	0	14	84	1	0	U	57.264	4878.95	4962.95	LINESTRING(467.400000 110.600000,463.570000 111.510000)
0	38	1431	1430	1	1	78	78	0	14	84	0	0	U	57.264	5020.22	5034.22	LINESTRING(463.570000 111.510000,467.400000 110.600000)
0	39	1430	1232	1	1	206	206	0	37	237	1	0	Straight	0.0	5034.22	5271.22	LINESTRING(467.400000 110.600000,475.170000 112.820000)
0	40	1232	1233	0	1	43	43	0	8	48	1	0	Straight	0.0	5271.22	5319.22	LINESTRING(475.170000 112.820000,481.720000 111.850000)
0	41	1233	1434	1	1	88	88	0	16	96	1	0	Straight	0.0	5319.22	5415.22	LINESTRING(481.720000 111.850000,484.320000 108.710000)
0	42	1434	1220	1	1	55	55	0	10	60	1	0	Right	7.158	5422.38	5482.38	LINESTRING(484.320000 108.710000,483.970000 105.330000)
0	43	1220	1221	1	1	85	85	0	15	95	1	0	Straight	0.0	5482.38	5577.38	LINESTRING(483.970000 105.330000,484.640000 100.700000)
0	44	1221	1222	1	1	58	58	0	10	60	1	0	Left	14.316	5591.69	5651.69	LINESTRING(484.640000 100.700000,488.100000 100.590000)
0	45	1222	2052	1	1	44	44	0	8	48	1	0	Right	7.158	5658.85	5706.85	LINESTRING(488.100000 100.590000,488.460000 95.247000)
0	46	2052	1222	1	1	44	44	0	8	48	0	0	U	57.264	5764.11	5772.11	LINESTRING(488.460000 95.247000,488.100000 100.590000)
