Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	37302	31776	128.089	0	0.322715	1209.43	1.47368	29950	2.30199	0.0677624	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	1000	1	0	0	0	0	214	0	0	0	Straight	0.0	1218.0	1432.0	LINESTRING(235.220000 422.080000,214.990000 456.270000)
0	14	1000	999	1	0	0	0	0	20	0	0	0	Straight	0.0	1432.0	1452.0	LINESTRING(214.990000 456.270000,212.810000 482.160000)
0	15	999	740	1	0	0	0	0	189	0	0	0	Straight	0.0	1452.0	1641.0	LINESTRING(212.810000 482.160000,201.930000 510.040000)
0	16	740	741	1	0	0	0	0	3	0	0	0	Straight	0.0	1641.0	1644.0	LINESTRING(201.930000 510.040000,196.280000 524.150000)
0	17	741	798	1	0	0	0	0	114	0	0	0	Straight	0.0	1644.0	1758.0	LINESTRING(196.280000 524.150000,184.710000 534.980000)
0	18	798	803	0	1	77	77	0	14	84	1	0	Straight	0.0	1758.0	1842.0	LINESTRING(184.710000 534.980000,175.110000 544.590000)
0	19	803	799	1	1	37	37	0	7	37	1	0	U	57.264	1899.26	1936.26	LINESTRING(175.110000 544.590000,177.830000 538.920000)
0	20	799	804	1	0	0	0	0	12	0	0	0	Right	7.158	1943.42	1955.42	LINESTRING(177.830000 538.920000,173.420000 539.680000)
0	21	804	1893	0	1	72	72	0	13	83	1	0	Left	14.316	1969.74	2052.74	LINESTRING(173.420000 539.680000,172.510000 535.670000)
0	22	1893	1770	1	1	1200	1200	0	216	1416	1	0	Straight	0.0	2052.74	3468.74	LINESTRING(172.510000 535.670000,170.310000 530.700000)
0	23	1770	985	1	1	274	274	0	49	319	1	0	Straight	0.0	3468.74	3787.74	LINESTRING(170.310000 530.700000,164.860000 525.410000)
0	24	985	986	1	1	267	267	0	48	308	1	0	Straight	0.0	3787.74	4095.74	LINESTRING(164.860000 525.410000,160.940000 521.130000)
0	25	986	2344	1	1	55	55	0	10	60	1	0	Right	7.158	4102.9	4162.9	LINESTRING(160.940000 521.130000,156.640000 523.250000)
0	26	2344	986	1	1	55	55	0	10	60	0	0	U	57.264	4220.16	4230.16	LINESTRING(156.640000 523.250000,160.940000 521.130000)
0	27	986	977	1	1	145	145	0	26	166	1	0	Right	7.158	4237.32	4403.32	LINESTRING(160.940000 521.130000,162.590000 515.220000)
0	28	977	978	1	1	147	147	0	26	166	1	0	Right	7.158	4410.48	4576.48	LINESTRING(162.590000 515.220000,155.520000 514.360000)
0	29	978	1966	1	1	84	84	0	15	95	1	0	Straight	0.0	4576.48	4671.48	LINESTRING(155.520000 514.360000,151.460000 512.020000)
0	30	1966	978	1	1	84	84	0	15	95	0	0	U	57.264	4728.74	4743.74	LINESTRING(151.460000 512.020000,155.520000 514.360000)
0	31	978	2191	1	1	219	219	0	39	249	1	0	Left	14.316	4758.06	5007.06	LINESTRING(155.520000 514.360000,151.020000 515.930000)
0	32	2191	978	1	1	219	219	0	39	249	0	0	U	57.264	5064.32	5103.32	LINESTRING(151.020000 515.930000,155.520000 514.360000)
0	33	978	977	1	1	147	147	0	26	166	0	0	Straight	0.0	5103.32	5129.32	LINESTRING(155.520000 514.360000,162.590000 515.220000)
0	34	977	627	1	1	140	140	0	25	165	1	0	Right	7.158	5136.48	5301.48	LINESTRING(162.590000 515.220000,168.020000 508.740000)
0	35	627	628	1	1	160	160	0	29	189	1	0	Straight	0.0	5301.48	5490.48	LINESTRING(168.020000 508.740000,169.590000 499.380000)
0	36	628	931	1	1	124	124	0	22	142	1	0	Straight	0.0	5490.48	5632.48	LINESTRING(169.590000 499.380000,168.490000 488.540000)
0	37	931	913	1	1	99	99	0	18	108	1	0	Left	14.316	5646.79	5754.79	LINESTRING(168.490000 488.540000,175.610000 485.580000)
0	38	913	914	1	1	24	24	0	4	24	1	0	Right	7.158	5761.95	5785.95	LINESTRING(175.610000 485.580000,173.120000 482.510000)
0	39	914	913	1	1	24	24	0	4	24	0	0	U	57.264	5843.22	5847.22	LINESTRING(173.120000 482.510000,175.610000 485.580000)
0	40	913	898	1	1	46	46	0	8	48	1	0	Right	7.158	5854.37	5902.37	LINESTRING(175.610000 485.580000,184.110000 484.470000)
0	41	898	904	1	1	148	148	0	27	167	1	0	Right	7.158	5909.53	6076.53	LINESTRING(184.110000 484.470000,178.310000 471.340000)
0	42	904	915	1	1	146	146	0	26	166	1	0	Straight	0.0	6076.53	6242.53	LINESTRING(178.310000 471.340000,163.130000 457.970000)
0	43	915	1668	1	1	94	94	0	17	107	1	0	Straight	0.0	6242.53	6349.53	LINESTRING(163.130000 457.970000,149.030000 445.180000)
0	44	1668	691	1	1	95	95	0	17	107	1	0	Straight	0.0	6349.53	6456.53	LINESTRING(149.030000 445.180000,135.680000 435.250000)
0	45	691	939	1	1	175	175	0	31	201	1	0	Straight	0.0	6456.53	6657.53	LINESTRING(135.680000 435.250000,131.400000 431.940000)
0	46	939	691	1	1	175	175	0	31	201	0	0	U	57.264	6714.8	6745.8	LINESTRING(131.400000 431.940000,135.680000 435.250000)
0	47	691	690	1	1	540	540	0	97	637	1	0	U	57.264	6803.06	7440.06	LINESTRING(135.680000 435.250000,123.880000 426.300000)
