Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	1	19586.4	18026	360.756	0	0	2066.15	1	24622	0	0.0412995	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	1625	1	0	0	0	0	29	0	0	0	U	57.264	1275.26	1304.26	LINESTRING(235.220000 422.080000,238.330000 396.480000)
0	14	1625	590	0	0	0	0	0	6	0	0	0	Straight	0.0	1304.26	1310.26	LINESTRING(238.330000 396.480000,241.200000 373.740000)
0	15	590	591	1	0	0	0	0	38	0	0	0	Straight	0.0	1310.26	1348.26	LINESTRING(241.200000 373.740000,243.650000 348.460000)
0	16	591	2151	0	0	0	0	0	4	0	0	0	Straight	0.0	1348.26	1352.26	LINESTRING(243.650000 348.460000,253.080000 337.090000)
0	17	2151	1687	0	0	0	0	0	3	0	0	0	Straight	0.0	1352.26	1355.26	LINESTRING(253.080000 337.090000,263.280000 331.000000)
0	18	1687	935	0	0	0	0	0	4	0	0	0	Right	7.158	1362.42	1366.42	LINESTRING(263.280000 331.000000,247.980000 320.810000)
0	19	935	936	0	1	12	12	0	2	12	1	0	Right	7.158	1373.58	1385.58	LINESTRING(247.980000 320.810000,239.870000 327.110000)
0	20	936	591	0	0	0	0	0	4	0	0	0	Right	7.158	1392.74	1396.74	LINESTRING(239.870000 327.110000,243.650000 348.460000)
0	21	591	590	1	0	0	0	0	38	0	0	0	Straight	0.0	1396.74	1434.74	LINESTRING(243.650000 348.460000,241.200000 373.740000)
0	22	590	1624	0	0	0	0	0	4	0	0	0	Straight	0.0	1434.74	1438.74	LINESTRING(241.200000 373.740000,240.210000 385.110000)
0	23	1624	1625	0	0	0	0	0	7	0	0	0	Straight	0.0	1438.74	1445.74	LINESTRING(240.210000 385.110000,238.330000 396.480000)
0	24	1625	1965	1	0	0	0	0	29	0	0	0	Straight	0.0	1445.74	1474.74	LINESTRING(238.330000 396.480000,235.220000 422.080000)
0	25	1965	1000	1	0	0	0	0	214	0	0	0	Straight	0.0	1474.74	1688.74	LINESTRING(235.220000 422.080000,214.990000 456.270000)
0	26	1000	1686	1	0	0	0	0	179	0	0	0	Straight	0.0	1688.74	1867.74	LINESTRING(214.990000 456.270000,184.100000 466.650000)
0	27	1686	1041	1	0	0	0	0	53	0	0	0	Straight	0.0	1867.74	1920.74	LINESTRING(184.100000 466.650000,158.170000 474.390000)
0	28	1041	2097	1	0	0	0	0	15	0	0	0	Straight	0.0	1920.74	1935.74	LINESTRING(158.170000 474.390000,138.600000 474.420000)
0	29	2097	859	1	0	0	0	0	31	0	0	0	Straight	0.0	1935.74	1966.74	LINESTRING(138.600000 474.420000,127.510000 472.750000)
0	30	859	1052	1	1	197	197	0	35	225	1	0	Straight	0.0	1966.74	2191.74	LINESTRING(127.510000 472.750000,117.070000 474.110000)
0	31	1052	944	1	0	0	0	0	55	0	0	0	Straight	0.0	2191.74	2246.74	LINESTRING(117.070000 474.110000,105.300000 475.660000)
0	32	944	945	1	1	118	118	0	21	131	1	0	U	57.264	2304.0	2435.0	LINESTRING(105.300000 475.660000,112.030000 477.970000)
0	33	945	1692	1	0	0	0	0	23	0	0	0	Left	14.316	2449.32	2472.32	LINESTRING(112.030000 477.970000,104.340000 483.060000)
0	34	1692	1947	1	1	27	27	0	5	25	1	0	Right	7.158	2479.48	2504.48	LINESTRING(104.340000 483.060000,103.510000 489.770000)
0	35	1947	1056	1	1	156	156	0	28	178	1	0	Straight	0.0	2504.48	2682.48	LINESTRING(103.510000 489.770000,99.459000 495.000000)
0	36	1056	1062	1	0	0	0	0	16	0	0	0	Straight	0.0	2682.48	2698.48	LINESTRING(99.459000 495.000000,90.735000 500.770000)
0	37	1062	975	1	0	0	0	0	9	0	0	0	Left	14.316	2712.79	2721.79	LINESTRING(90.735000 500.770000,80.312000 497.990000)
0	38	975	1063	1	0	0	0	0	26	0	0	0	Straight	0.0	2721.79	2747.79	LINESTRING(80.312000 497.990000,70.136000 499.040000)
0	39	1063	998	1	1	274	274	0	49	319	1	0	Left	14.316	2762.11	3081.11	LINESTRING(70.136000 499.040000,70.498000 494.890000)
0	40	998	1738	1	0	0	0	0	26	0	0	0	Right	7.158	3088.27	3114.27	LINESTRING(70.498000 494.890000,62.446000 497.650000)
0	41	1738	1066	1	1	273	273	0	49	319	1	0	Right	7.158	3121.42	3440.42	LINESTRING(62.446000 497.650000,61.170000 501.520000)
0	42	1066	1063	1	0	0	0	0	26	0	0	0	Right	7.158	3447.58	3473.58	LINESTRING(61.170000 501.520000,70.136000 499.040000)
0	43	1063	975	1	0	0	0	0	26	0	0	0	Straight	0.0	3473.58	3499.58	LINESTRING(70.136000 499.040000,80.312000 497.990000)
0	44	975	1062	1	0	0	0	0	9	0	0	0	Straight	0.0	3499.58	3508.58	LINESTRING(80.312000 497.990000,90.735000 500.770000)
0	45	1062	1056	1	0	0	0	0	16	0	0	0	Right	7.158	3515.74	3531.74	LINESTRING(90.735000 500.770000,99.459000 495.000000)
0	46	1056	1947	1	1	156	156	0	28	178	0	0	Straight	0.0	3531.74	3559.74	LINESTRING(99.459000 495.000000,103.510000 489.770000)
