Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	1	20283.5	18086	127.273	0	0	2066.15	1	24622	0	0.103249	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	1625	1	0	0	0	0	29	0	0	0	U	57.264	1275.26	1304.26	LINESTRING(235.220000 422.080000,238.330000 396.480000)
0	14	1625	590	0	0	0	0	0	6	0	0	0	Straight	0.0	1304.26	1310.26	LINESTRING(238.330000 396.480000,241.200000 373.740000)
0	15	590	591	1	0	0	0	0	38	0	0	0	Straight	0.0	1310.26	1348.26	LINESTRING(241.200000 373.740000,243.650000 348.460000)
0	16	591	2151	0	0	0	0	0	4	0	0	0	Straight	0.0	1348.26	1352.26	LINESTRING(243.650000 348.460000,253.080000 337.090000)
0	17	2151	1687	0	0	0	0	0	3	0	0	0	Straight	0.0	1352.26	1355.26	LINESTRING(253.080000 337.090000,263.280000 331.000000)
0	18	1687	935	0	0	0	0	0	4	0	0	0	Right	7.158	1362.42	1366.42	LINESTRING(263.280000 331.000000,247.980000 320.810000)
0	19	935	936	0	1	12	12	0	2	12	1	0	Right	7.158	1373.58	1385.58	LINESTRING(247.980000 320.810000,239.870000 327.110000)
0	20	936	591	0	0	0	0	0	4	0	0	0	Right	7.158	1392.74	1396.74	LINESTRING(239.870000 327.110000,243.650000 348.460000)
0	21	591	2151	0	0	0	0	0	4	0	0	0	Right	7.158	1403.9	1407.9	LINESTRING(243.650000 348.460000,253.080000 337.090000)
0	22	2151	1687	0	0	0	0	0	3	0	0	0	Straight	0.0	1407.9	1410.9	LINESTRING(253.080000 337.090000,263.280000 331.000000)
0	23	1687	925	1	0	0	0	0	19	0	0	0	Left	14.316	1425.21	1444.21	LINESTRING(263.280000 331.000000,283.040000 336.760000)
0	24	925	820	1	0	0	0	0	120	0	0	0	Straight	0.0	1444.21	1564.21	LINESTRING(283.040000 336.760000,302.800000 343.060000)
0	25	820	1753	1	0	0	0	0	16	0	0	0	Straight	0.0	1564.21	1580.21	LINESTRING(302.800000 343.060000,322.810000 349.830000)
0	26	1753	420	1	0	0	0	0	3	0	0	0	Straight	0.0	1580.21	1583.21	LINESTRING(322.810000 349.830000,341.770000 358.890000)
0	27	420	1752	1	0	0	0	0	13	0	0	0	Straight	0.0	1583.21	1596.21	LINESTRING(341.770000 358.890000,362.670000 372.890000)
0	28	1752	1820	1	0	0	0	0	37	0	0	0	Straight	0.0	1596.21	1633.21	LINESTRING(362.670000 372.890000,383.950000 386.980000)
0	29	1820	367	1	0	0	0	0	23	0	0	0	Straight	0.0	1633.21	1656.21	LINESTRING(383.950000 386.980000,394.110000 397.210000)
0	30	367	748	1	1	129	129	0	23	143	1	0	Left	14.316	1670.53	1813.53	LINESTRING(394.110000 397.210000,389.850000 403.350000)
0	31	748	1612	1	1	100	100	0	18	118	1	0	Straight	0.0	1813.53	1931.53	LINESTRING(389.850000 403.350000,383.330000 405.750000)
0	32	1612	345	1	1	287	287	0	52	332	1	0	Right	7.158	1938.69	2270.69	LINESTRING(383.330000 405.750000,385.110000 415.330000)
0	33	345	2146	1	1	252	252	0	45	295	1	0	Straight	0.0	2270.69	2565.69	LINESTRING(385.110000 415.330000,391.650000 423.510000)
0	34	2146	2120	1	0	0	0	0	56	0	0	0	Left	14.316	2580.0	2636.0	LINESTRING(391.650000 423.510000,382.930000 423.350000)
0	35	2120	2352	1	1	161	161	0	29	189	1	0	Straight	0.0	2636.0	2825.0	LINESTRING(382.930000 423.350000,378.830000 421.240000)
0	36	2352	2121	1	1	155	155	0	28	178	0	0	Right	7.158	2832.16	2860.16	LINESTRING(378.830000 421.240000,375.640000 423.500000)
0	37	2121	2352	1	1	155	155	0	28	178	1	0	U	57.264	2917.42	3095.42	LINESTRING(375.640000 423.500000,378.830000 421.240000)
0	38	2352	344	1	1	61	61	0	11	71	1	0	Right	7.158	3102.58	3173.58	LINESTRING(378.830000 421.240000,378.380000 416.710000)
0	39	344	765	1	1	80	80	0	14	94	1	0	Right	7.158	3180.74	3274.74	LINESTRING(378.380000 416.710000,372.020000 416.250000)
0	40	765	344	1	1	80	80	0	14	94	0	0	U	57.264	3332.0	3346.0	LINESTRING(372.020000 416.250000,378.380000 416.710000)
0	41	344	345	1	0	0	0	0	23	0	0	0	Straight	0.0	3346.0	3369.0	LINESTRING(378.380000 416.710000,385.110000 415.330000)
0	42	345	1612	1	1	287	287	0	52	332	0	0	Right	7.158	3376.16	3428.16	LINESTRING(385.110000 415.330000,383.330000 405.750000)
0	43	1612	748	1	1	100	100	0	18	118	0	0	Left	14.316	3442.48	3460.48	LINESTRING(383.330000 405.750000,389.850000 403.350000)
0	44	748	367	1	1	129	129	0	23	143	0	0	Straight	0.0	3460.48	3483.48	LINESTRING(389.850000 403.350000,394.110000 397.210000)
0	45	367	349	1	1	228	228	0	41	261	1	0	Left	14.316	3497.79	3758.79	LINESTRING(394.110000 397.210000,402.040000 407.010000)
0	46	349	292	1	0	0	0	0	36	0	0	0	Straight	0.0	3758.79	3794.79	LINESTRING(402.040000 407.010000,408.570000 418.190000)
