Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	32172	28006	140.433	0	1	0.000320841	1009.47	26018.5	0.186347	0.170359	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	360.38 280.33,363.4 284.32
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	363.4 284.32,367.72 288.77
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	367.72 288.77,372.78 294.49
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	372.78 294.49,378.59 301.43
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	378.59 301.43,385.69 307.89
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	385.69 307.89,386.97 314.45
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	386.97 314.45,383.27 322.52
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	383.27 322.52,362.6 336.16
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	362.6 336.16,341.6 352.6
0	9	561	562	1	1	265	265	0	48	308	1	0	U	57.264	940.264	1248.26	341.6 352.6,359.33 347.26
0	10	562	1745	1	1	88	88	0	16	96	1	0	Straight	0.0	1248.26	1344.26	359.33 347.26,377.2 341.69
0	11	1745	863	1	1	19	19	0	3	13	1	0	Straight	0.0	1344.26	1357.26	377.2 341.69,395.02 335.48
0	12	863	864	1	1	139	139	0	25	155	1	0	Straight	0.0	1357.26	1512.26	395.02 335.48,413.1 329.07
0	13	864	2026	1	1	283	283	0	51	331	1	0	Straight	0.0	1512.26	1843.26	413.1 329.07,431.52 322.97
0	14	2026	750	1	1	296	296	0	53	343	1	0	Straight	0.0	1843.26	2186.26	431.52 322.97,450.47 317.04
