Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	34641	30382	128.057	0	0.2909	1085.54	1.2	26031.5	0.491595	0.214581	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	957	1	0	0	0	0	9	0	0	0	Straight	0.0	784.0	793.0	LINESTRING(385.690000 307.890000,393.420000 311.130000)
0	6	957	586	1	0	0	0	0	11	0	0	0	Straight	0.0	793.0	804.0	LINESTRING(393.420000 311.130000,404.060000 311.500000)
0	7	586	587	1	0	0	0	0	117	0	0	0	Straight	0.0	804.0	921.0	LINESTRING(404.060000 311.500000,427.620000 301.530000)
0	8	587	513	1	1	159	159	0	29	179	1	0	Right	7.158	928.158	1107.16	LINESTRING(427.620000 301.530000,425.710000 291.300000)
0	9	513	834	1	1	61	61	0	11	71	1	0	Straight	0.0	1107.16	1178.16	LINESTRING(425.710000 291.300000,422.770000 288.720000)
0	10	834	513	1	1	61	61	0	11	71	0	0	U	57.264	1235.42	1246.42	LINESTRING(422.770000 288.720000,425.710000 291.300000)
0	11	513	512	1	1	379	379	0	68	438	1	0	U	57.264	1303.69	1741.69	LINESTRING(425.710000 291.300000,424.890000 281.770000)
0	12	512	2000	1	1	117	117	0	21	131	1	0	Straight	0.0	1741.69	1872.69	LINESTRING(424.890000 281.770000,428.190000 274.950000)
0	13	2000	645	1	1	712	712	0	128	838	1	0	Right	7.158	1879.84	2717.84	LINESTRING(428.190000 274.950000,425.230000 270.560000)
0	14	645	626	1	1	141	141	0	25	165	0	0	Right	7.158	2725.0	2750.0	LINESTRING(425.230000 270.560000,420.420000 271.440000)
0	15	626	625	1	1	413	413	0	74	484	1	0	Right	7.158	2757.16	3241.16	LINESTRING(420.420000 271.440000,420.670000 276.390000)
0	16	625	1826	1	1	209	209	0	38	238	1	0	Left	14.316	3255.48	3493.48	LINESTRING(420.670000 276.390000,416.540000 274.040000)
0	17	1826	1827	1	1	278	278	0	50	320	1	0	Left	14.316	3507.79	3827.79	LINESTRING(416.540000 274.040000,416.390000 270.080000)
0	18	1827	626	1	1	158	158	0	28	178	1	0	Left	14.316	3842.11	4020.11	LINESTRING(416.390000 270.080000,420.420000 271.440000)
0	19	626	645	1	1	141	141	0	25	165	1	0	Straight	0.0	4020.11	4185.11	LINESTRING(420.420000 271.440000,425.230000 270.560000)
0	20	645	646	1	1	148	148	0	27	167	1	0	Straight	0.0	4185.11	4352.11	LINESTRING(425.230000 270.560000,428.650000 267.550000)
0	21	646	1786	1	1	114	114	0	21	131	1	0	Right	7.158	4359.27	4490.27	LINESTRING(428.650000 267.550000,426.410000 263.070000)
0	22	1786	646	1	1	114	114	0	21	131	0	0	U	57.264	4547.53	4568.53	LINESTRING(426.410000 263.070000,428.650000 267.550000)
0	23	646	1828	1	1	865	865	0	156	1016	1	0	Straight	0.0	4568.53	5584.53	LINESTRING(428.650000 267.550000,434.080000 271.150000)
0	24	1828	758	1	1	754	754	0	136	886	1	0	Straight	0.0	5584.53	6470.53	LINESTRING(434.080000 271.150000,442.210000 275.710000)
0	25	758	759	1	1	140	140	0	25	165	1	0	Straight	0.0	6470.53	6635.53	LINESTRING(442.210000 275.710000,449.810000 284.260000)
0	26	759	1743	1	1	122	122	0	22	142	1	0	Right	7.158	6642.69	6784.69	LINESTRING(449.810000 284.260000,457.410000 281.240000)
0	27	1743	1703	1	1	107	107	0	19	119	1	0	Straight	0.0	6784.69	6903.69	LINESTRING(457.410000 281.240000,465.490000 279.800000)
0	28	1703	705	1	1	315	315	0	57	367	1	0	Straight	0.0	6903.69	7270.69	LINESTRING(465.490000 279.800000,474.060000 279.200000)
0	29	705	706	1	1	175	175	0	32	202	1	0	Straight	0.0	7270.69	7472.69	LINESTRING(474.060000 279.200000,483.270000 278.260000)
0	30	706	1803	1	1	982	982	0	177	1157	1	0	Straight	0.0	7472.69	8629.69	LINESTRING(483.270000 278.260000,493.410000 284.200000)
0	31	1803	1413	1	1	292	292	0	53	343	1	0	U	57.264	8686.95	9029.95	LINESTRING(493.410000 284.200000,487.300000 275.730000)
0	32	1413	1414	1	1	695	695	0	125	815	1	0	Straight	0.0	9029.95	9844.95	LINESTRING(487.300000 275.730000,480.250000 269.520000)
0	33	1414	1772	1	1	100	100	0	18	118	1	0	Straight	0.0	9844.95	9962.95	LINESTRING(480.250000 269.520000,473.800000 259.010000)
0	34	1772	146	1	1	779	779	0	140	910	1	0	Straight	0.0	9962.95	10873.0	LINESTRING(473.800000 259.010000,468.520000 248.280000)
0	35	146	145	1	0	0	0	0	250	0	0	0	Straight	0.0	10873.0	11123.0	LINESTRING(468.520000 248.280000,464.250000 237.830000)
0	36	145	2338	1	0	0	0	0	95	0	0	0	Straight	0.0	11123.0	11218.0	LINESTRING(464.250000 237.830000,461.630000 227.300000)
0	37	2338	272	1	1	15	15	0	3	13	1	0	Straight	0.0	11218.0	11231.0	LINESTRING(461.630000 227.300000,460.440000 217.530000)
0	38	272	273	1	0	0	0	0	106	0	0	0	Straight	0.0	11231.0	11337.0	LINESTRING(460.440000 217.530000,460.990000 208.730000)
0	39	273	1602	1	1	23	23	0	4	24	1	0	Straight	0.0	11337.0	11361.0	LINESTRING(460.990000 208.730000,457.450000 204.230000)
0	40	1602	273	1	1	23	23	0	4	24	0	0	U	57.264	11418.2	11422.2	LINESTRING(457.450000 204.230000,460.990000 208.730000)
0	41	273	1921	1	0	0	0	0	35	0	0	0	Right	7.158	11429.4	11464.4	LINESTRING(460.990000 208.730000,466.770000 204.150000)
0	42	1921	1922	1	1	391	391	0	70	460	1	0	Right	7.158	11471.5	11931.5	LINESTRING(466.770000 204.150000,464.350000 198.880000)
0	43	1922	1921	1	1	391	391	0	70	460	0	0	U	57.264	11988.8	12058.8	LINESTRING(464.350000 198.880000,466.770000 204.150000)
0	44	1921	1097	1	0	0	0	0	20	0	0	0	Right	7.158	12066.0	12086.0	LINESTRING(466.770000 204.150000,475.090000 206.370000)
0	45	1097	1658	1	1	24	24	0	4	24	1	0	Right	7.158	12093.1	12117.1	LINESTRING(475.090000 206.370000,479.310000 200.440000)
0	46	1658	1657	1	0	0	0	0	151	0	0	0	Left	14.316	12131.4	12282.4	LINESTRING(479.310000 200.440000,484.530000 208.880000)
