Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	29038.8	26283	7201.03	0	0.499931	2128.79	1.1875	61396	1.24387	0.19764	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	2313	1	0	0	0	0	55	0	0	0	Straight	0.0	1008.0	1063.0	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	12	2313	1965	1	0	0	0	0	155	0	0	0	Straight	0.0	1063.0	1218.0	LINESTRING(258.180000 400.590000,235.220000 422.080000)
0	13	1965	2192	1	1	358	358	0	64	414	1	0	U	57.264	1275.26	1689.26	LINESTRING(235.220000 422.080000,236.690000 418.620000)
0	14	2192	1965	1	1	358	358	0	64	414	0	0	U	57.264	1746.53	1810.53	LINESTRING(236.690000 418.620000,235.220000 422.080000)
0	15	1965	1625	1	1	161	161	0	29	189	0	0	U	57.264	1867.79	1896.79	LINESTRING(235.220000 422.080000,238.330000 396.480000)
0	16	1625	590	0	1	34	34	0	6	36	1	0	Straight	0.0	1896.79	1932.79	LINESTRING(238.330000 396.480000,241.200000 373.740000)
0	17	590	591	1	1	212	212	0	38	248	1	0	Straight	0.0	1932.79	2180.79	LINESTRING(241.200000 373.740000,243.650000 348.460000)
0	18	591	2151	0	1	25	25	0	4	24	1	0	Straight	0.0	2180.79	2204.79	LINESTRING(243.650000 348.460000,253.080000 337.090000)
0	19	2151	613	1	1	117	117	0	21	131	1	0	Straight	0.0	2204.79	2335.79	LINESTRING(253.080000 337.090000,255.610000 327.620000)
0	20	613	620	0	1	79	79	0	14	84	1	0	Straight	0.0	2335.79	2419.79	LINESTRING(255.610000 327.620000,259.620000 321.000000)
0	21	620	588	1	1	128	128	0	23	143	0	0	Straight	0.0	2419.79	2442.79	LINESTRING(259.620000 321.000000,264.290000 316.740000)
0	22	588	2261	1	1	72	72	0	13	83	0	0	Straight	0.0	2442.79	2455.79	LINESTRING(264.290000 316.740000,264.620000 312.080000)
0	23	2261	588	1	1	72	72	0	13	83	1	0	U	57.264	2513.06	2596.06	LINESTRING(264.620000 312.080000,264.290000 316.740000)
0	24	588	589	1	1	28	28	0	5	25	1	0	Right	7.158	2603.21	2628.21	LINESTRING(264.290000 316.740000,267.870000 314.570000)
0	25	589	588	1	1	28	28	0	5	25	0	0	U	57.264	2685.48	2690.48	LINESTRING(267.870000 314.570000,264.290000 316.740000)
0	26	588	620	1	1	128	128	0	23	143	1	0	Straight	0.0	2690.48	2833.48	LINESTRING(264.290000 316.740000,259.620000 321.000000)
0	27	620	1884	0	1	28	28	0	5	25	1	0	Left	14.316	2847.79	2872.79	LINESTRING(259.620000 321.000000,258.020000 315.870000)
0	28	1884	629	1	1	70	70	0	13	83	1	0	Straight	0.0	2872.79	2955.79	LINESTRING(258.020000 315.870000,259.130000 309.090000)
0	29	629	962	1	1	74	74	0	13	83	0	0	Straight	0.0	2955.79	2968.79	LINESTRING(259.130000 309.090000,256.870000 305.310000)
0	30	962	629	1	1	74	74	0	13	83	1	0	U	57.264	3026.06	3109.06	LINESTRING(256.870000 305.310000,259.130000 309.090000)
0	31	629	630	1	1	59	59	0	11	61	0	0	Right	7.158	3116.22	3127.22	LINESTRING(259.130000 309.090000,261.190000 304.830000)
0	32	630	629	1	1	59	59	0	11	61	1	0	U	57.264	3184.48	3245.48	LINESTRING(261.190000 304.830000,259.130000 309.090000)
0	33	629	1884	1	1	70	70	0	13	83	0	0	Straight	0.0	3245.48	3258.48	LINESTRING(259.130000 309.090000,258.020000 315.870000)
0	34	1884	614	0	1	36	36	0	7	37	1	0	Straight	0.0	3258.48	3295.48	LINESTRING(258.020000 315.870000,255.650000 321.270000)
0	35	614	958	1	1	132	132	0	24	154	1	0	Left	14.316	3309.8	3463.8	LINESTRING(255.650000 321.270000,252.560000 318.640000)
0	36	958	614	1	1	132	132	0	24	154	0	0	U	57.264	3521.06	3545.06	LINESTRING(252.560000 318.640000,255.650000 321.270000)
0	37	614	613	0	1	32	32	0	6	36	1	0	Left	14.316	3559.38	3595.38	LINESTRING(255.650000 321.270000,255.610000 327.620000)
0	38	613	2151	1	1	117	117	0	21	131	0	0	Straight	0.0	3595.38	3616.38	LINESTRING(255.610000 327.620000,253.080000 337.090000)
0	39	2151	1687	0	1	19	19	0	3	13	1	0	U	57.264	3673.64	3686.64	LINESTRING(253.080000 337.090000,263.280000 331.000000)
0	40	1687	925	1	1	108	108	0	19	119	1	0	Left	14.316	3700.96	3819.96	LINESTRING(263.280000 331.000000,283.040000 336.760000)
0	41	925	820	1	1	664	664	0	120	780	1	0	Straight	0.0	3819.96	4599.96	LINESTRING(283.040000 336.760000,302.800000 343.060000)
0	42	820	1753	1	1	88	88	0	16	96	1	0	Straight	0.0	4599.96	4695.96	LINESTRING(302.800000 343.060000,322.810000 349.830000)
0	43	1753	420	1	1	15	15	0	3	13	1	0	Straight	0.0	4695.96	4708.96	LINESTRING(322.810000 349.830000,341.770000 358.890000)
0	44	420	1752	1	1	71	71	0	13	83	1	0	Straight	0.0	4708.96	4791.96	LINESTRING(341.770000 358.890000,362.670000 372.890000)
0	45	1752	1820	1	1	206	206	0	37	237	1	0	Straight	0.0	4791.96	5028.96	LINESTRING(362.670000 372.890000,383.950000 386.980000)
0	46	1820	777	1	1	332	332	0	60	390	0	0	Straight	0.0	5028.96	5088.96	LINESTRING(383.950000 386.980000,405.630000 390.460000)
