Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	29111	26212	19.184	3.676	0	1205.66	1	29993	0.0906101	0.163759	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	611	0	0	0	0	0	16	0	0	0	Straight	0.0	784.0	800.0	LINESTRING(385.690000 307.890000,386.970000 314.450000)
0	6	611	610	1	0	0	0	0	13	0	0	0	Straight	0.0	800.0	813.0	LINESTRING(386.970000 314.450000,383.270000 322.520000)
0	7	610	951	1	0	0	0	0	5	0	0	0	Straight	0.0	813.0	818.0	LINESTRING(383.270000 322.520000,362.600000 336.160000)
0	8	951	561	1	0	0	0	0	65	0	0	0	Straight	0.0	818.0	883.0	LINESTRING(362.600000 336.160000,341.600000 352.600000)
0	9	561	900	1	0	0	0	0	83	0	0	0	Straight	0.0	883.0	966.0	LINESTRING(341.600000 352.600000,313.770000 368.790000)
0	10	900	1553	1	0	0	0	0	42	0	0	0	Straight	0.0	966.0	1008.0	LINESTRING(313.770000 368.790000,285.870000 384.490000)
0	11	1553	1554	1	1	645	645	0	116	756	1	0	Left	14.316	1022.32	1778.32	LINESTRING(285.870000 384.490000,283.170000 381.200000)
0	12	1554	1553	1	1	645	645	0	116	756	0	0	U	57.264	1835.58	1951.58	LINESTRING(283.170000 381.200000,285.870000 384.490000)
0	13	1553	2313	1	0	0	0	0	55	0	0	0	Left	14.316	1965.9	2020.9	LINESTRING(285.870000 384.490000,258.180000 400.590000)
0	14	2313	2251	1	1	133	133	0	24	154	0	0	Left	14.316	2035.21	2059.21	LINESTRING(258.180000 400.590000,247.400000 390.060000)
0	15	2251	903	1	1	64	64	0	12	72	0	0	Straight	0.0	2059.21	2071.21	LINESTRING(247.400000 390.060000,235.870000 381.160000)
0	16	903	905	0	1	16	16	0	3	13	1	0	Straight	0.0	2071.21	2084.21	LINESTRING(235.870000 381.160000,229.490000 373.220000)
0	17	905	1559	1	1	182	182	0	33	213	1	0	Straight	0.0	2084.21	2297.21	LINESTRING(229.490000 373.220000,225.180000 365.730000)
0	18	1559	1541	1	1	103	103	0	19	119	1	0	Straight	0.0	2297.21	2416.21	LINESTRING(225.180000 365.730000,223.650000 362.650000)
0	19	1541	1558	1	1	62	62	0	11	71	1	0	Straight	0.0	2416.21	2487.21	LINESTRING(223.650000 362.650000,220.600000 359.780000)
0	20	1558	1784	1	1	75	75	0	14	84	1	0	Straight	0.0	2487.21	2571.21	LINESTRING(220.600000 359.780000,214.610000 355.380000)
0	21	1784	2322	1	1	208	208	0	37	237	1	0	Right	7.158	2578.37	2815.37	LINESTRING(214.610000 355.380000,211.580000 357.980000)
0	22	2322	1598	1	1	62	62	0	11	71	1	0	Right	7.158	2822.53	2893.53	LINESTRING(211.580000 357.980000,214.610000 362.350000)
0	23	1598	892	1	1	231	231	0	42	272	1	0	Straight	0.0	2893.53	3165.53	LINESTRING(214.610000 362.350000,219.240000 363.940000)
0	24	892	890	1	1	57	57	0	10	60	1	0	Left	14.316	3179.84	3239.84	LINESTRING(219.240000 363.940000,219.760000 368.190000)
0	25	890	906	1	1	58	58	0	10	60	1	0	Straight	0.0	3239.84	3299.84	LINESTRING(219.760000 368.190000,224.600000 372.330000)
0	26	906	902	0	1	3	3	0	1	1	1	0	Straight	0.0	3299.84	3300.84	LINESTRING(224.600000 372.330000,227.000000 377.030000)
0	27	902	1909	1	1	110	110	0	20	130	0	0	Left	14.316	3315.16	3335.16	LINESTRING(227.000000 377.030000,219.120000 374.900000)
0	28	1909	1667	1	1	213	213	0	38	248	1	0	Straight	0.0	3335.16	3583.16	LINESTRING(219.120000 374.900000,214.250000 374.400000)
0	29	1667	1572	1	1	116	116	0	21	131	1	0	Left	14.316	3597.48	3728.48	LINESTRING(214.250000 374.400000,214.720000 371.460000)
0	30	1572	891	1	1	63	63	0	11	71	0	0	Straight	0.0	3728.48	3739.48	LINESTRING(214.720000 371.460000,214.660000 366.890000)
0	31	891	1598	1	1	61	61	0	11	71	1	0	Straight	0.0	3739.48	3810.48	LINESTRING(214.660000 366.890000,214.610000 362.350000)
0	32	1598	892	1	1	231	231	0	42	272	0	0	Left	14.316	3824.79	3866.79	LINESTRING(214.610000 362.350000,219.240000 363.940000)
0	33	892	1541	1	1	6	6	0	1	1	1	0	Straight	0.0	3866.79	3867.79	LINESTRING(219.240000 363.940000,223.650000 362.650000)
0	34	1541	1558	1	1	62	62	0	11	71	0	0	Right	7.158	3874.95	3885.95	LINESTRING(223.650000 362.650000,220.600000 359.780000)
0	35	1558	1784	1	1	75	75	0	14	84	0	0	Straight	0.0	3885.95	3899.95	LINESTRING(220.600000 359.780000,214.610000 355.380000)
0	36	1784	1783	1	1	90	90	0	16	106	0	0	Straight	0.0	3899.95	3915.95	LINESTRING(214.610000 355.380000,210.690000 351.590000)
0	37	1783	1784	1	1	90	90	0	16	106	1	0	U	57.264	3973.21	4079.21	LINESTRING(210.690000 351.590000,214.610000 355.380000)
0	38	1784	1558	1	1	75	75	0	14	84	0	0	Straight	0.0	4079.21	4093.21	LINESTRING(214.610000 355.380000,220.600000 359.780000)
0	39	1558	1559	1	1	159	159	0	29	179	1	0	Straight	0.0	4093.21	4272.21	LINESTRING(220.600000 359.780000,225.180000 365.730000)
0	40	1559	905	1	1	182	182	0	33	213	0	0	Straight	0.0	4272.21	4305.21	LINESTRING(225.180000 365.730000,229.490000 373.220000)
0	41	905	906	0	1	23	23	0	4	24	1	0	Left	14.316	4319.53	4343.53	LINESTRING(229.490000 373.220000,224.600000 372.330000)
0	42	906	890	1	1	58	58	0	10	60	0	0	Straight	0.0	4343.53	4353.53	LINESTRING(224.600000 372.330000,219.760000 368.190000)
0	43	890	891	1	1	231	231	0	42	272	1	0	Straight	0.0	4353.53	4625.53	LINESTRING(219.760000 368.190000,214.660000 366.890000)
0	44	891	1572	1	1	63	63	0	11	71	1	0	Right	7.158	4632.69	4703.69	LINESTRING(214.660000 366.890000,214.720000 371.460000)
0	45	1572	1909	1	1	125	125	0	22	142	1	0	Right	7.158	4710.85	4852.85	LINESTRING(214.720000 371.460000,219.120000 374.900000)
0	46	1909	902	1	1	110	110	0	20	130	1	0	Straight	0.0	4852.85	4982.85	LINESTRING(219.120000 374.900000,227.000000 377.030000)
