Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	28340.3	26150	35.333	2.213	0	949.06	1	12242	0.100976	0.0903498	1
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	2277	922	1	0	0	0	0	91	0	0	300		0.0	300.0	391.0	LINESTRING(360.380000 280.330000,363.400000 284.320000)
0	1	922	923	1	0	0	0	0	20	0	0	0	Straight	0.0	391.0	411.0	LINESTRING(363.400000 284.320000,367.720000 288.770000)
0	2	923	2011	1	0	0	0	0	100	0	0	0	Straight	0.0	411.0	511.0	LINESTRING(367.720000 288.770000,372.780000 294.490000)
0	3	2011	1004	1	0	0	0	0	249	0	0	0	Straight	0.0	511.0	760.0	LINESTRING(372.780000 294.490000,378.590000 301.430000)
0	4	1004	1528	1	0	0	0	0	24	0	0	0	Straight	0.0	760.0	784.0	LINESTRING(378.590000 301.430000,385.690000 307.890000)
0	5	1528	957	1	0	0	0	0	9	0	0	0	Straight	0.0	784.0	793.0	LINESTRING(385.690000 307.890000,393.420000 311.130000)
0	6	957	586	1	0	0	0	0	11	0	0	0	Straight	0.0	793.0	804.0	LINESTRING(393.420000 311.130000,404.060000 311.500000)
0	7	586	587	1	0	0	0	0	117	0	0	0	Straight	0.0	804.0	921.0	LINESTRING(404.060000 311.500000,427.620000 301.530000)
0	8	587	378	1	0	0	0	0	91	0	0	0	Straight	0.0	921.0	1012.0	LINESTRING(427.620000 301.530000,452.570000 295.430000)
0	9	378	302	1	0	0	0	0	74	0	0	0	Straight	0.0	1012.0	1086.0	LINESTRING(452.570000 295.430000,478.650000 294.610000)
0	10	302	716	1	1	124	124	0	22	142	1	0	U	57.264	1143.26	1285.26	LINESTRING(478.650000 294.610000,472.340000 297.150000)
0	11	716	725	1	1	35	35	0	6	36	1	0	Straight	0.0	1285.26	1321.26	LINESTRING(472.340000 297.150000,466.760000 301.650000)
0	12	725	724	1	1	383	383	0	69	449	1	0	Straight	0.0	1321.26	1770.26	LINESTRING(466.760000 301.650000,462.540000 308.140000)
0	13	724	2221	1	1	55	55	0	10	60	1	0	Left	14.316	1784.58	1844.58	LINESTRING(462.540000 308.140000,459.920000 306.080000)
0	14	2221	724	1	1	55	55	0	10	60	0	0	U	57.264	1901.84	1911.84	LINESTRING(459.920000 306.080000,462.540000 308.140000)
0	15	724	354	1	1	170	170	0	31	201	1	0	Left	14.316	1926.16	2127.16	LINESTRING(462.540000 308.140000,458.800000 314.510000)
0	16	354	303	1	0	0	0	0	45	0	0	0	Right	7.158	2134.32	2179.32	LINESTRING(458.800000 314.510000,471.390000 321.580000)
0	17	303	1543	1	0	0	0	0	24	0	0	0	Straight	0.0	2179.32	2203.32	LINESTRING(471.390000 321.580000,483.810000 328.650000)
0	18	1543	1544	1	0	0	0	0	17	0	0	0	Straight	0.0	2203.32	2220.32	LINESTRING(483.810000 328.650000,495.770000 336.580000)
0	19	1544	1405	1	0	0	0	0	7	0	0	0	Straight	0.0	2220.32	2227.32	LINESTRING(495.770000 336.580000,506.230000 346.110000)
0	20	1405	1187	1	0	0	0	0	105	0	0	0	Straight	0.0	2227.32	2332.32	LINESTRING(506.230000 346.110000,515.830000 356.040000)
0	21	1187	1188	1	1	884	884	0	159	1039	1	0	Right	7.158	2339.48	3378.48	LINESTRING(515.830000 356.040000,516.920000 325.780000)
0	22	1188	1675	1	1	160	160	0	29	189	1	0	Left	14.316	3392.79	3581.79	LINESTRING(516.920000 325.780000,536.840000 333.290000)
0	23	1675	1502	1	1	114	114	0	21	131	1	0	Straight	0.0	3581.79	3712.79	LINESTRING(536.840000 333.290000,549.200000 331.350000)
0	24	1502	1310	1	1	158	158	0	28	178	1	0	Straight	0.0	3712.79	3890.79	LINESTRING(549.200000 331.350000,560.640000 330.030000)
0	25	1310	1504	1	1	149	149	0	27	167	0	0	Straight	0.0	3890.79	3917.79	LINESTRING(560.640000 330.030000,566.380000 326.350000)
0	26	1504	2431	1	1	172	172	0	31	201	0	0	Straight	0.0	3917.79	3948.79	LINESTRING(566.380000 326.350000,568.940000 322.350000)
0	27	2431	1504	1	1	172	172	0	31	201	1	0	U	57.264	4006.06	4207.06	LINESTRING(568.940000 322.350000,566.380000 326.350000)
0	28	1504	1858	1	1	130	130	0	23	153	0	0	U	57.264	4264.32	4287.32	LINESTRING(566.380000 326.350000,570.710000 325.200000)
0	29	1858	1504	1	1	130	130	0	23	153	1	0	U	57.264	4344.58	4497.58	LINESTRING(570.710000 325.200000,566.380000 326.350000)
0	30	1504	1310	1	1	149	149	0	27	167	1	0	Straight	0.0	4497.58	4664.58	LINESTRING(566.380000 326.350000,560.640000 330.030000)
0	31	1310	1311	1	1	81	81	0	15	95	1	0	Left	14.316	4678.9	4773.9	LINESTRING(560.640000 330.030000,558.320000 327.110000)
0	32	1311	1673	1	1	99	99	0	18	108	0	0	Left	14.316	4788.22	4806.22	LINESTRING(558.320000 327.110000,559.940000 323.660000)
0	33	1673	1311	1	1	99	99	0	18	108	1	0	U	57.264	4863.48	4971.48	LINESTRING(559.940000 323.660000,558.320000 327.110000)
0	34	1311	1310	1	1	81	81	0	15	95	0	0	Right	7.158	4978.64	4993.64	LINESTRING(558.320000 327.110000,560.640000 330.030000)
0	35	1310	1968	1	1	99	99	0	18	108	1	0	Straight	0.0	4993.64	5101.64	LINESTRING(560.640000 330.030000,569.790000 331.190000)
0	36	1968	1500	1	1	72	72	0	13	83	1	0	Straight	0.0	5101.64	5184.64	LINESTRING(569.790000 331.190000,577.380000 331.060000)
0	37	1500	1501	1	1	35	35	0	6	36	1	0	Straight	0.0	5184.64	5220.64	LINESTRING(577.380000 331.060000,581.990000 329.150000)
0	38	1501	1500	1	1	35	35	0	6	36	0	0	U	57.264	5277.9	5283.9	LINESTRING(581.990000 329.150000,577.380000 331.060000)
0	39	1500	2070	1	1	31	31	0	5	35	0	0	Right	7.158	5291.06	5296.06	LINESTRING(577.380000 331.060000,581.580000 332.960000)
0	40	2070	1500	1	1	31	31	0	5	35	1	0	U	57.264	5353.32	5388.32	LINESTRING(581.580000 332.960000,577.380000 331.060000)
0	41	1500	1968	1	1	72	72	0	13	83	0	0	Straight	0.0	5388.32	5401.32	LINESTRING(577.380000 331.060000,569.790000 331.190000)
0	42	1968	1969	1	1	81	81	0	15	95	0	0	U	57.264	5458.59	5473.59	LINESTRING(569.790000 331.190000,573.680000 332.880000)
0	43	1969	1968	1	1	81	81	0	15	95	1	0	U	57.264	5530.85	5625.85	LINESTRING(573.680000 332.880000,569.790000 331.190000)
0	44	1968	1310	1	1	99	99	0	18	108	0	0	Straight	0.0	5625.85	5643.85	LINESTRING(569.790000 331.190000,560.640000 330.030000)
0	45	1310	1311	1	1	81	81	0	15	95	0	0	Straight	0.0	5643.85	5658.85	LINESTRING(560.640000 330.030000,558.320000 327.110000)
0	46	1311	1593	1	1	323	323	0	58	378	1	0	Right	7.158	5666.01	6044.01	LINESTRING(558.320000 327.110000,553.850000 328.650000)
