Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	30495.4	28246	401.175	3.101	1	0	1104.28	33390	0.106005	0.0862764	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	1084	1	0	0	0	0	544	0	0	300		0.0	300.0	844.0	446.0 251.77,472.41 259.17
0	1	1084	710	1	0	0	0	0	6	0	0	0	Straight	0.0	844.0	850.0	472.41 259.17,492.08 262.01
0	2	710	711	0	0	0	0	0	2	0	0	0	Left	11.389	861.389	863.389	492.08 262.01,489.8 266.86
0	3	711	1097	1	0	0	0	0	9	0	0	0	Right	5.695	869.084	878.084	489.8 266.86,506.66 275.68
0	4	1097	1098	0	1	24	24	0	4	24	1	0	Straight	0.0	878.084	902.084	506.66 275.68,514.53 275.09
0	5	1098	1790	0	1	36	36	0	7	37	1	0	Right	5.695	907.779	944.779	514.53 275.09,512.21 263.69
0	6	1790	1536	1	1	9	9	0	2	2	1	0	Left	11.389	956.168	958.168	512.21 263.69,528.75 266.95
0	7	1536	1537	0	1	111	111	0	20	130	1	0	Straight	0.0	958.168	1088.17	528.75 266.95,548.05 280.18
0	8	1537	695	0	1	26	26	0	5	25	1	0	Straight	0.0	1088.17	1113.17	548.05 280.18,574.53 280.89
0	9	695	1047	0	1	382	382	0	69	449	1	0	Straight	0.0	1113.17	1562.17	574.53 280.89,602.27 269.26
0	10	1047	1046	0	1	189	189	0	34	214	1	0	Straight	0.0	1562.17	1776.17	602.27 269.26,622.63 269.3
0	11	1046	617	1	1	138	138	0	25	155	1	0	Straight	0.0	1776.17	1931.17	622.63 269.3,644.46 275.32
0	12	617	560	1	1	348	348	0	63	403	1	0	Straight	0.0	1931.17	2334.17	644.46 275.32,661.5 285.26
0	13	560	559	1	1	468	468	0	84	544	1	0	Straight	0.0	2334.17	2878.17	661.5 285.26,673.29 294.65
0	14	559	479	1	1	109	109	0	20	120	1	0	Straight	0.0	2878.17	2998.17	673.29 294.65,682.87 305.32
0	15	479	463	1	1	101	101	0	18	118	1	0	Straight	0.0	2998.17	3116.17	682.87 305.32,682.68 314.62
0	16	463	929	1	1	273	273	0	49	319	1	0	Straight	0.0	3116.17	3435.17	682.68 314.62,685.47 321.05
0	17	929	430	1	1	81	81	0	15	95	1	0	Right	5.695	3440.86	3535.86	685.47 321.05,691.02 322.58
0	18	430	431	1	1	76	76	0	14	84	1	0	Straight	0.0	3535.86	3619.86	691.02 322.58,698.45 320.49
