Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	34901.9	32140	99.5875	0	0	1895.1	1.09091	47183	1.03647	0.135451	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	LINESTRING(379.090000 271.730000,363.030000 281.580000)
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	LINESTRING(363.030000 281.580000,341.470000 281.280000)
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	LINESTRING(341.470000 281.280000,320.190000 279.470000)
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	LINESTRING(320.190000 279.470000,307.380000 288.170000)
0	7	594	564	1	0	0	0	0	26	0	0	0	Straight	0.0	508.0	534.0	LINESTRING(307.380000 288.170000,297.850000 297.270000)
0	8	564	556	1	0	0	0	0	27	0	0	0	Straight	0.0	534.0	561.0	LINESTRING(297.850000 297.270000,289.600000 308.420000)
0	9	556	2097	1	0	0	0	0	25	0	0	0	Straight	0.0	561.0	586.0	LINESTRING(289.600000 308.420000,279.580000 320.460000)
0	10	2097	969	1	0	0	0	0	24	0	0	0	Straight	0.0	586.0	610.0	LINESTRING(279.580000 320.460000,267.880000 330.780000)
0	11	969	506	1	0	0	0	0	43	0	0	0	Straight	0.0	610.0	653.0	LINESTRING(267.880000 330.780000,262.850000 344.550000)
0	12	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	653.0	678.0	LINESTRING(262.850000 344.550000,250.630000 358.810000)
0	13	478	477	1	0	0	0	0	61	0	0	0	Straight	0.0	678.0	739.0	LINESTRING(250.630000 358.810000,247.760000 376.520000)
0	14	477	425	0	0	0	0	0	4	0	0	0	Straight	0.0	739.0	743.0	LINESTRING(247.760000 376.520000,252.310000 386.310000)
0	15	425	424	0	0	0	0	0	20	0	0	0	Straight	0.0	743.0	763.0	LINESTRING(252.310000 386.310000,257.750000 396.330000)
0	16	424	408	0	1	11	11	0	2	12	1	0	Straight	0.0	763.0	775.0	LINESTRING(257.750000 396.330000,259.570000 409.900000)
0	17	408	1526	0	0	0	0	0	71	0	0	0	Straight	0.0	775.0	846.0	LINESTRING(259.570000 409.900000,253.730000 426.600000)
0	18	1526	312	0	0	0	0	0	67	0	0	0	Straight	0.0	846.0	913.0	LINESTRING(253.730000 426.600000,254.450000 442.650000)
0	19	312	301	0	1	114	114	0	20	130	1	0	Right	5.695	918.695	1048.7	LINESTRING(254.450000 442.650000,266.640000 447.820000)
0	20	301	300	1	0	0	0	0	76	0	0	0	Straight	0.0	1048.7	1124.7	LINESTRING(266.640000 447.820000,283.210000 445.570000)
0	21	300	699	0	0	0	0	0	12	0	0	0	Straight	0.0	1124.7	1136.7	LINESTRING(283.210000 445.570000,292.860000 440.410000)
0	22	699	249	0	1	66	66	0	12	72	1	0	Right	5.695	1142.39	1214.39	LINESTRING(292.860000 440.410000,295.020000 431.030000)
0	23	249	248	1	0	0	0	0	6	0	0	0	Left	11.389	1225.78	1231.78	LINESTRING(295.020000 431.030000,302.750000 437.830000)
0	24	248	235	0	0	0	0	0	8	0	0	0	Straight	0.0	1231.78	1239.78	LINESTRING(302.750000 437.830000,310.880000 442.530000)
0	25	235	236	0	0	0	0	0	24	0	0	0	Straight	0.0	1239.78	1263.78	LINESTRING(310.880000 442.530000,323.050000 445.110000)
0	26	236	1675	0	0	0	0	0	32	0	0	0	Straight	0.0	1263.78	1295.78	LINESTRING(323.050000 445.110000,334.850000 453.490000)
0	27	1675	222	1	1	14	14	0	3	13	1	0	Left	11.389	1307.17	1320.17	LINESTRING(334.850000 453.490000,330.240000 457.470000)
0	28	222	2123	1	1	272	272	0	49	319	1	0	Straight	0.0	1320.17	1639.17	LINESTRING(330.240000 457.470000,328.940000 461.560000)
0	29	2123	222	1	1	272	272	0	49	319	0	0	U	45.557	1684.72	1733.72	LINESTRING(328.940000 461.560000,330.240000 457.470000)
0	30	222	1675	1	1	14	14	0	3	13	0	0	Straight	0.0	1733.72	1736.72	LINESTRING(330.240000 457.470000,334.850000 453.490000)
0	31	1675	180	0	0	0	0	0	32	0	0	0	Left	11.389	1748.11	1780.11	LINESTRING(334.850000 453.490000,348.050000 459.750000)
0	32	180	179	1	0	0	0	0	2	0	0	0	Left	11.389	1791.5	1793.5	LINESTRING(348.050000 459.750000,349.240000 465.280000)
0	33	179	1520	1	0	0	0	0	7	0	0	0	Left	11.389	1804.89	1811.89	LINESTRING(349.240000 465.280000,342.900000 470.820000)
0	34	1520	604	1	0	0	0	0	8	0	0	0	Straight	0.0	1811.89	1819.89	LINESTRING(342.900000 470.820000,339.420000 480.120000)
0	35	604	1714	1	0	0	0	0	9	0	0	0	Straight	0.0	1819.89	1828.89	LINESTRING(339.420000 480.120000,335.070000 487.360000)
0	36	1714	625	1	0	0	0	0	34	0	0	0	Straight	0.0	1828.89	1862.89	LINESTRING(335.070000 487.360000,329.310000 494.420000)
0	37	625	624	1	0	0	0	0	4	0	0	0	Straight	0.0	1862.89	1866.89	LINESTRING(329.310000 494.420000,322.850000 500.700000)
0	38	624	197	1	0	0	0	0	16	0	0	0	Straight	0.0	1866.89	1882.89	LINESTRING(322.850000 500.700000,315.840000 505.880000)
0	39	197	196	1	0	0	0	0	15	0	0	0	Straight	0.0	1882.89	1897.89	LINESTRING(315.840000 505.880000,307.330000 506.220000)
0	40	196	205	1	0	0	0	0	15	0	0	0	Straight	0.0	1897.89	1912.89	LINESTRING(307.330000 506.220000,298.080000 506.750000)
0	41	205	204	1	0	0	0	0	11	0	0	0	Straight	0.0	1912.89	1923.89	LINESTRING(298.080000 506.750000,288.670000 506.890000)
0	42	204	1841	0	1	76	76	0	14	84	1	0	Straight	0.0	1923.89	2007.89	LINESTRING(288.670000 506.890000,278.570000 510.390000)
0	43	1841	238	0	1	79	79	0	14	84	1	0	Straight	0.0	2007.89	2091.89	LINESTRING(278.570000 510.390000,269.650000 514.880000)
0	44	238	237	0	1	90	90	0	16	106	1	0	Left	11.389	2103.28	2209.28	LINESTRING(269.650000 514.880000,268.890000 506.990000)
0	45	237	1373	1	1	79	79	0	14	84	1	0	Left	11.389	2220.67	2304.67	LINESTRING(268.890000 506.990000,274.480000 506.010000)
0	46	1373	683	1	1	99	99	0	18	108	1	0	Right	5.695	2310.37	2418.37	LINESTRING(274.480000 506.010000,274.480000 500.000000)
0	47	683	666	0	1	75	75	0	13	83	1	0	Left	11.389	2429.75	2512.75	LINESTRING(274.480000 500.000000,283.580000 497.100000)
0	48	666	204	0	1	189	189	0	34	214	1	0	Left	11.389	2524.14	2738.14	LINESTRING(283.580000 497.100000,288.670000 506.890000)
0	49	204	1841	0	1	76	76	0	14	84	0	0	Left	11.389	2749.53	2763.53	LINESTRING(288.670000 506.890000,278.570000 510.390000)
0	50	1841	1373	1	1	88	88	0	16	96	1	0	Left	11.389	2774.92	2870.92	LINESTRING(278.570000 510.390000,274.480000 506.010000)
0	51	1373	1372	1	1	37	37	0	7	37	1	0	Left	11.389	2882.31	2919.31	LINESTRING(274.480000 506.010000,277.960000 506.100000)
0	52	1372	1373	1	1	37	37	0	7	37	0	0	U	45.557	2964.87	2971.87	LINESTRING(277.960000 506.100000,274.480000 506.010000)
0	53	1373	237	1	1	79	79	0	14	84	0	0	Straight	0.0	2971.87	2985.87	LINESTRING(274.480000 506.010000,268.890000 506.990000)
0	54	237	682	0	1	97	97	0	17	107	1	0	Left	11.389	2997.26	3104.26	LINESTRING(268.890000 506.990000,265.040000 499.510000)
0	55	682	683	0	1	76	76	0	14	84	1	0	Left	11.389	3115.65	3199.65	LINESTRING(265.040000 499.510000,274.480000 500.000000)
0	56	683	1373	1	1	99	99	0	18	108	0	0	Left	11.389	3211.03	3229.03	LINESTRING(274.480000 500.000000,274.480000 506.010000)
0	57	1373	237	1	1	79	79	0	14	84	0	0	Left	11.389	3240.42	3254.42	LINESTRING(274.480000 506.010000,268.890000 506.990000)
0	58	237	682	0	1	97	97	0	17	107	0	0	Left	11.389	3265.81	3282.81	LINESTRING(268.890000 506.990000,265.040000 499.510000)
0	59	682	727	0	1	186	186	0	33	213	1	0	Straight	0.0	3282.81	3495.81	LINESTRING(265.040000 499.510000,259.710000 490.350000)
0	60	727	279	1	1	94	94	0	17	107	1	0	Right	5.695	3501.51	3608.51	LINESTRING(259.710000 490.350000,249.070000 496.590000)
0	61	279	1570	1	1	59	59	0	11	61	0	0	Left	11.389	3619.9	3630.9	LINESTRING(249.070000 496.590000,245.500000 495.330000)
0	62	1570	279	1	1	59	59	0	11	61	1	0	U	45.557	3676.45	3737.45	LINESTRING(245.500000 495.330000,249.070000 496.590000)
0	63	279	280	1	1	168	168	0	30	190	1	0	Straight	0.0	3737.45	3927.45	LINESTRING(249.070000 496.590000,252.670000 502.190000)
