Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	33827.3	31333	7200.7	0	0.525009	1687.68	1.05882	24754.5	2.66061	0.229678	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	LINESTRING(379.090000 271.730000,393.810000 293.840000)
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	LINESTRING(393.810000 293.840000,413.370000 313.350000)
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	LINESTRING(413.370000 313.350000,435.110000 331.040000)
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	LINESTRING(435.110000 331.040000,459.710000 345.200000)
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	LINESTRING(459.710000 345.200000,472.620000 354.790000)
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	LINESTRING(472.620000 354.790000,485.130000 364.600000)
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	LINESTRING(485.130000 364.600000,504.740000 377.850000)
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	LINESTRING(504.740000 377.850000,513.150000 392.610000)
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	LINESTRING(513.150000 392.610000,521.020000 407.560000)
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	LINESTRING(521.020000 407.560000,530.550000 425.070000)
0	13	1326	1323	1	1	170	170	0	31	201	1	0	Right	5.695	876.39	1077.39	LINESTRING(530.550000 425.070000,538.850000 417.160000)
0	14	1323	1327	1	1	216	216	0	39	249	0	0	Left	11.389	1088.78	1127.78	LINESTRING(538.850000 417.160000,550.440000 438.360000)
0	15	1327	1342	1	1	1636	1636	0	294	1924	0	0	Straight	0.0	1127.78	1421.78	LINESTRING(550.440000 438.360000,554.690000 468.380000)
0	16	1342	58	1	0	0	0	0	17	0	0	0	Straight	0.0	1421.78	1438.78	LINESTRING(554.690000 468.380000,557.210000 492.350000)
0	17	58	52	1	0	0	0	0	37	0	0	0	Straight	0.0	1438.78	1475.78	LINESTRING(557.210000 492.350000,564.950000 503.620000)
0	18	52	50	1	0	0	0	0	36	0	0	0	Straight	0.0	1475.78	1511.78	LINESTRING(564.950000 503.620000,567.060000 515.950000)
0	19	50	51	1	0	0	0	0	8	0	0	0	Straight	0.0	1511.78	1519.78	LINESTRING(567.060000 515.950000,567.210000 524.690000)
0	20	51	394	1	0	0	0	0	18	0	0	0	Straight	0.0	1519.78	1537.78	LINESTRING(567.210000 524.690000,569.180000 532.440000)
0	21	394	53	1	0	0	0	0	10	0	0	0	Straight	0.0	1537.78	1547.78	LINESTRING(569.180000 532.440000,569.520000 539.920000)
0	22	53	391	1	0	0	0	0	39	0	0	0	Straight	0.0	1547.78	1586.78	LINESTRING(569.520000 539.920000,563.330000 553.310000)
0	23	391	1821	1	0	0	0	0	35	0	0	0	Straight	0.0	1586.78	1621.78	LINESTRING(563.330000 553.310000,556.490000 565.170000)
0	24	1821	23	1	0	0	0	0	205	0	0	0	Straight	0.0	1621.78	1826.78	LINESTRING(556.490000 565.170000,544.610000 585.630000)
0	25	23	1404	1	0	0	0	0	10	0	0	0	Straight	0.0	1826.78	1836.78	LINESTRING(544.610000 585.630000,534.420000 601.460000)
0	26	1404	215	1	0	0	0	0	138	0	0	0	Straight	0.0	1836.78	1974.78	LINESTRING(534.420000 601.460000,525.000000 618.680000)
0	27	215	1331	1	0	0	0	0	166	0	0	0	Left	11.389	1986.17	2152.17	LINESTRING(525.000000 618.680000,515.690000 598.290000)
0	28	1331	1366	1	0	0	0	0	10	0	0	0	Right	5.695	2157.86	2167.86	LINESTRING(515.690000 598.290000,489.620000 605.100000)
0	29	1366	1793	1	0	0	0	0	123	0	0	0	Straight	0.0	2167.86	2290.86	LINESTRING(489.620000 605.100000,462.730000 614.660000)
0	30	1793	1357	1	0	0	0	0	2	0	0	0	Straight	0.0	2290.86	2292.86	LINESTRING(462.730000 614.660000,451.880000 617.750000)
0	31	1357	1356	1	1	481	481	0	87	567	1	0	Left	11.389	2304.25	2871.25	LINESTRING(451.880000 617.750000,449.640000 614.160000)
0	32	1356	1357	1	1	481	481	0	87	567	0	0	U	45.557	2916.81	3003.81	LINESTRING(449.640000 614.160000,451.880000 617.750000)
0	33	1357	1793	1	0	0	0	0	2	0	0	0	Right	5.695	3009.5	3011.5	LINESTRING(451.880000 617.750000,462.730000 614.660000)
0	34	1793	1366	1	0	0	0	0	123	0	0	0	Straight	0.0	3011.5	3134.5	LINESTRING(462.730000 614.660000,489.620000 605.100000)
0	35	1366	1331	1	0	0	0	0	10	0	0	0	Straight	0.0	3134.5	3144.5	LINESTRING(489.620000 605.100000,515.690000 598.290000)
0	36	1331	215	1	0	0	0	0	166	0	0	0	Left	11.389	3155.89	3321.89	LINESTRING(515.690000 598.290000,525.000000 618.680000)
0	37	215	216	1	0	0	0	0	46	0	0	0	Straight	0.0	3321.89	3367.89	LINESTRING(525.000000 618.680000,526.340000 646.890000)
0	38	216	1543	1	0	0	0	0	47	0	0	0	Straight	0.0	3367.89	3414.89	LINESTRING(526.340000 646.890000,519.090000 666.350000)
0	39	1543	269	1	0	0	0	0	16	0	0	0	Straight	0.0	3414.89	3430.89	LINESTRING(519.090000 666.350000,511.290000 676.100000)
0	40	269	21	1	0	0	0	0	36	0	0	0	Left	11.389	3442.28	3478.28	LINESTRING(511.290000 676.100000,507.690000 664.970000)
0	41	21	38	1	0	0	0	0	35	0	0	0	Straight	0.0	3478.28	3513.28	LINESTRING(507.690000 664.970000,498.770000 658.220000)
0	42	38	43	1	0	0	0	0	15	0	0	0	Right	5.695	3518.98	3533.98	LINESTRING(498.770000 658.220000,490.770000 660.120000)
0	43	43	392	1	0	0	0	0	14	0	0	0	Straight	0.0	3533.98	3547.98	LINESTRING(490.770000 660.120000,483.080000 659.900000)
0	44	392	403	1	0	0	0	0	26	0	0	0	Left	11.389	3559.37	3585.37	LINESTRING(483.080000 659.900000,482.420000 641.940000)
0	45	403	79	1	0	0	0	0	47	0	0	0	Straight	0.0	3585.37	3632.37	LINESTRING(482.420000 641.940000,475.660000 625.840000)
0	46	79	80	1	0	0	0	0	4	0	0	0	Straight	0.0	3632.37	3636.37	LINESTRING(475.660000 625.840000,468.430000 619.580000)
0	47	80	105	0	0	0	0	0	68	0	0	0	Left	11.389	3647.76	3715.76	LINESTRING(468.430000 619.580000,468.170000 604.310000)
0	48	105	106	0	1	71	71	0	13	83	1	0	Straight	0.0	3715.76	3798.76	LINESTRING(468.170000 604.310000,463.870000 592.580000)
0	49	106	491	0	0	0	0	0	24	0	0	0	Straight	0.0	3798.76	3822.76	LINESTRING(463.870000 592.580000,454.210000 580.680000)
0	50	491	494	0	0	0	0	0	8	0	0	0	Straight	0.0	3822.76	3830.76	LINESTRING(454.210000 580.680000,448.800000 571.000000)
0	51	494	1405	0	0	0	0	0	10	0	0	0	Straight	0.0	3830.76	3840.76	LINESTRING(448.800000 571.000000,437.880000 566.990000)
0	52	1405	130	0	0	0	0	0	21	0	0	0	Straight	0.0	3840.76	3861.76	LINESTRING(437.880000 566.990000,424.450000 558.960000)
0	53	130	131	0	0	0	0	0	19	0	0	0	Left	11.389	3873.14	3892.14	LINESTRING(424.450000 558.960000,424.080000 549.750000)
0	54	131	141	0	0	0	0	0	1	0	0	0	Straight	0.0	3892.14	3893.14	LINESTRING(424.080000 549.750000,421.030000 538.540000)
0	55	141	143	0	0	0	0	0	12	0	0	0	Straight	0.0	3893.14	3905.14	LINESTRING(421.030000 538.540000,413.950000 531.300000)
0	56	143	144	0	0	0	0	0	9	0	0	0	Straight	0.0	3905.14	3914.14	LINESTRING(413.950000 531.300000,407.090000 523.350000)
0	57	144	147	0	0	0	0	0	1	0	0	0	Right	5.695	3919.84	3920.84	LINESTRING(407.090000 523.350000,394.260000 523.730000)
0	58	147	571	0	0	0	0	0	6	0	0	0	Straight	0.0	3920.84	3926.84	LINESTRING(394.260000 523.730000,378.900000 519.260000)
0	59	571	156	0	0	0	0	0	3	0	0	0	Left	11.389	3938.23	3941.23	LINESTRING(378.900000 519.260000,388.320000 503.710000)
0	60	156	162	0	0	0	0	0	4	0	0	0	Straight	0.0	3941.23	3945.23	LINESTRING(388.320000 503.710000,400.430000 486.300000)
0	61	162	157	0	0	0	0	0	57	0	0	0	Straight	0.0	3945.23	4002.23	LINESTRING(400.430000 486.300000,412.480000 468.730000)
0	62	157	158	1	0	0	0	0	2	0	0	0	Right	5.695	4007.92	4009.92	LINESTRING(412.480000 468.730000,395.610000 469.280000)
