Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	31358.1	28619	99.3774	0	0	1213.43	1	22996	0.0847522	0.176675	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	LINESTRING(379.090000 271.730000,393.810000 293.840000)
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	494.084	497.084	LINESTRING(393.810000 293.840000,381.850000 299.240000)
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	497.084	504.084	LINESTRING(381.850000 299.240000,362.770000 297.070000)
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	504.084	514.084	LINESTRING(362.770000 297.070000,347.040000 297.520000)
0	7	554	555	1	0	0	0	0	44	0	0	0	Straight	0.0	514.084	558.084	LINESTRING(347.040000 297.520000,339.960000 300.340000)
0	8	555	955	1	0	0	0	0	41	0	0	0	Straight	0.0	558.084	599.084	LINESTRING(339.960000 300.340000,332.130000 304.620000)
0	9	955	2001	1	1	118	118	0	21	131	1	0	Straight	0.0	599.084	730.084	LINESTRING(332.130000 304.620000,324.180000 306.060000)
0	10	2001	1459	1	0	0	0	0	42	0	0	0	Right	5.695	735.779	777.779	LINESTRING(324.180000 306.060000,325.100000 313.120000)
0	11	1459	923	1	0	0	0	0	11	0	0	0	Straight	0.0	777.779	788.779	LINESTRING(325.100000 313.120000,320.560000 320.930000)
0	12	923	924	1	0	0	0	0	29	0	0	0	Right	5.695	794.474	823.474	LINESTRING(320.560000 320.930000,333.700000 326.490000)
0	13	924	1617	1	0	0	0	0	31	0	0	0	Straight	0.0	823.474	854.474	LINESTRING(333.700000 326.490000,339.040000 338.690000)
0	14	1617	852	1	0	0	0	0	11	0	0	0	Left	11.389	865.863	876.863	LINESTRING(339.040000 338.690000,332.990000 352.480000)
0	15	852	388	1	0	0	0	0	16	0	0	0	Straight	0.0	876.863	892.863	LINESTRING(332.990000 352.480000,321.760000 366.070000)
0	16	388	788	1	0	0	0	0	83	0	0	0	Straight	0.0	892.863	975.863	LINESTRING(321.760000 366.070000,320.960000 384.390000)
0	17	788	766	1	0	0	0	0	18	0	0	0	Straight	0.0	975.863	993.863	LINESTRING(320.960000 384.390000,312.040000 400.610000)
0	18	766	1898	1	0	0	0	0	22	0	0	0	Right	5.695	999.558	1021.56	LINESTRING(312.040000 400.610000,329.660000 405.740000)
0	19	1898	1431	1	1	271	271	0	49	319	1	0	Left	11.389	1032.95	1351.95	LINESTRING(329.660000 405.740000,320.810000 412.040000)
0	20	1431	1414	1	1	127	127	0	23	143	1	0	Right	5.695	1357.64	1500.64	LINESTRING(320.810000 412.040000,328.560000 417.030000)
0	21	1414	1669	1	0	0	0	0	35	0	0	0	Left	11.389	1512.03	1547.03	LINESTRING(328.560000 417.030000,324.210000 422.360000)
0	22	1669	1551	1	0	0	0	0	38	0	0	0	Right	5.695	1552.73	1590.73	LINESTRING(324.210000 422.360000,328.390000 427.040000)
0	23	1551	635	1	0	0	0	0	21	0	0	0	Left	11.389	1602.11	1623.11	LINESTRING(328.390000 427.040000,323.740000 433.050000)
0	24	635	236	1	0	0	0	0	38	0	0	0	Straight	0.0	1623.11	1661.11	LINESTRING(323.740000 433.050000,323.050000 445.110000)
0	25	236	1675	0	0	0	0	0	32	0	0	0	Right	5.695	1666.81	1698.81	LINESTRING(323.050000 445.110000,334.850000 453.490000)
0	26	1675	180	0	0	0	0	0	32	0	0	0	Straight	0.0	1698.81	1730.81	LINESTRING(334.850000 453.490000,348.050000 459.750000)
0	27	180	179	1	0	0	0	0	2	0	0	0	Left	11.389	1742.2	1744.2	LINESTRING(348.050000 459.750000,349.240000 465.280000)
0	28	179	1521	0	1	45	45	0	8	48	1	0	Left	11.389	1755.59	1803.59	LINESTRING(349.240000 465.280000,339.840000 463.860000)
0	29	1521	222	0	0	0	0	0	25	0	0	0	Straight	0.0	1803.59	1828.59	LINESTRING(339.840000 463.860000,330.240000 457.470000)
0	30	222	223	0	0	0	0	0	32	0	0	0	Straight	0.0	1828.59	1860.59	LINESTRING(330.240000 457.470000,319.420000 451.510000)
0	31	223	236	1	0	0	0	0	3	0	0	0	Left	11.389	1871.98	1874.98	LINESTRING(319.420000 451.510000,323.050000 445.110000)
0	32	236	635	1	0	0	0	0	38	0	0	0	Straight	0.0	1874.98	1912.98	LINESTRING(323.050000 445.110000,323.740000 433.050000)
0	33	635	1551	1	0	0	0	0	21	0	0	0	Straight	0.0	1912.98	1933.98	LINESTRING(323.740000 433.050000,328.390000 427.040000)
0	34	1551	681	1	0	0	0	0	30	0	0	0	Straight	0.0	1933.98	1963.98	LINESTRING(328.390000 427.040000,336.050000 424.640000)
0	35	681	1522	1	0	0	0	0	19	0	0	0	Straight	0.0	1963.98	1982.98	LINESTRING(336.050000 424.640000,342.860000 426.930000)
0	36	1522	1634	1	0	0	0	0	37	0	0	0	Straight	0.0	1982.98	2019.98	LINESTRING(342.860000 426.930000,348.400000 424.400000)
0	37	1634	1451	1	0	0	0	0	24	0	0	0	Straight	0.0	2019.98	2043.98	LINESTRING(348.400000 424.400000,354.990000 423.850000)
0	38	1451	724	1	0	0	0	0	41	0	0	0	Straight	0.0	2043.98	2084.98	LINESTRING(354.990000 423.850000,360.500000 419.090000)
0	39	724	734	1	0	0	0	0	17	0	0	0	Straight	0.0	2084.98	2101.98	LINESTRING(360.500000 419.090000,369.760000 412.400000)
0	40	734	246	1	0	0	0	0	11	0	0	0	Straight	0.0	2101.98	2112.98	LINESTRING(369.760000 412.400000,391.810000 413.350000)
0	41	246	247	1	0	0	0	0	46	0	0	0	Straight	0.0	2112.98	2158.98	LINESTRING(391.810000 413.350000,413.220000 419.390000)
0	42	247	639	1	0	0	0	0	7	0	0	0	Straight	0.0	2158.98	2165.98	LINESTRING(413.220000 419.390000,434.470000 425.140000)
0	43	639	640	0	0	0	0	0	109	0	0	0	Right	5.695	2171.67	2280.67	LINESTRING(434.470000 425.140000,448.240000 392.380000)
0	44	640	261	0	0	0	0	0	100	0	0	0	Straight	0.0	2280.67	2380.67	LINESTRING(448.240000 392.380000,470.500000 382.250000)
0	45	261	703	0	0	0	0	0	2	0	0	0	Straight	0.0	2380.67	2382.67	LINESTRING(470.500000 382.250000,485.130000 364.600000)
0	46	703	698	0	0	0	0	0	5	0	0	0	Left	11.389	2394.06	2399.06	LINESTRING(485.130000 364.600000,504.740000 377.850000)
0	47	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	2399.06	2405.06	LINESTRING(504.740000 377.850000,513.150000 392.610000)
0	48	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	2405.06	2418.06	LINESTRING(513.150000 392.610000,521.020000 407.560000)
0	49	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	2418.06	2442.06	LINESTRING(521.020000 407.560000,530.550000 425.070000)
0	50	1326	1323	1	1	170	170	0	31	201	1	0	Right	5.695	2447.76	2648.76	LINESTRING(530.550000 425.070000,538.850000 417.160000)
0	51	1323	2019	1	1	1744	1744	0	314	2054	1	0	Straight	0.0	2648.76	4702.76	LINESTRING(538.850000 417.160000,541.760000 414.260000)
0	52	2019	1323	1	1	1744	1744	0	314	2054	0	0	U	45.557	4748.31	5062.31	LINESTRING(541.760000 414.260000,538.850000 417.160000)
0	53	1323	1327	1	1	216	216	0	39	249	1	0	Right	5.695	5068.01	5317.01	LINESTRING(538.850000 417.160000,550.440000 438.360000)
0	54	1327	1342	1	1	1636	1636	0	294	1924	1	0	Straight	0.0	5317.01	7241.01	LINESTRING(550.440000 438.360000,554.690000 468.380000)
0	55	1342	58	1	0	0	0	0	17	0	0	0	Straight	0.0	7241.01	7258.01	LINESTRING(554.690000 468.380000,557.210000 492.350000)
0	56	58	1300	1	0	0	0	0	291	0	0	0	Straight	0.0	7258.01	7549.01	LINESTRING(557.210000 492.350000,548.390000 510.790000)
0	57	1300	1299	1	1	29	29	0	5	25	1	0	Straight	0.0	7549.01	7574.01	LINESTRING(548.390000 510.790000,542.290000 527.380000)
0	58	1299	1346	1	1	173	173	0	31	201	1	0	Left	11.389	7585.4	7786.4	LINESTRING(542.290000 527.380000,538.350000 527.610000)
0	59	1346	1299	1	1	173	173	0	31	201	0	0	U	45.557	7831.95	7862.95	LINESTRING(538.350000 527.610000,542.290000 527.380000)
0	60	1299	1293	1	1	342	342	0	62	402	1	0	Left	11.389	7874.34	8276.34	LINESTRING(542.290000 527.380000,538.230000 544.940000)
0	61	1293	1726	1	1	313	313	0	56	366	1	0	Left	11.389	8287.73	8653.73	LINESTRING(538.230000 544.940000,533.440000 542.280000)
0	62	1726	2054	1	1	519	519	0	93	603	1	0	Right	5.695	8659.43	9262.43	LINESTRING(533.440000 542.280000,527.190000 551.750000)
