Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	27485.3	26409	7201.21	0	3	0.546844	993.458	16645.5	0.129562	3.56535	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	530.55 425.07,540.53 441.93
0	14	641	627	1	0	0	0	0	29	0	0	0	Straight	0.0	891.695	920.695	540.53 441.93,541.64 454.29
0	15	627	628	1	0	0	0	0	6	0	0	0	Straight	0.0	920.695	926.695	541.64 454.29,539.32 463.33
0	16	628	633	1	1	18	18	0	3	13	1	0	Straight	0.0	926.695	939.695	539.32 463.33,534.95 467.18
0	17	633	2063	1	1	469	469	0	84	544	1	0	Straight	0.0	939.695	1483.69	534.95 467.18,531.78 469.13
0	18	2063	1791	1	1	109	109	0	20	120	1	0	Right	5.695	1489.39	1609.39	531.78 469.13,533.72 473.06
0	19	1791	626	1	0	0	0	0	4	0	0	0	Straight	0.0	1609.39	1613.39	533.72 473.06,535.13 480.11
0	20	626	175	1	1	107	107	0	19	119	1	0	Right	5.695	1619.08	1738.08	535.13 480.11,543.74 483.52
0	21	175	174	1	1	104	104	0	19	119	1	0	Straight	0.0	1738.08	1857.08	543.74 483.52,550.16 491.34
0	22	174	1509	1	1	100	100	0	18	118	1	0	Right	5.695	1862.78	1980.78	550.16 491.34,562.28 488.01
0	23	1509	533	1	1	470	470	0	85	555	1	0	Left	11.389	1992.17	2547.17	562.28 488.01,575.7 497.67
0	24	533	575	1	1	101	101	0	18	118	1	0	Right	5.695	2552.86	2670.86	575.7 497.67,580.43 484.94
0	25	575	1797	1	1	69	69	0	12	72	1	0	Straight	0.0	2670.86	2742.86	580.43 484.94,584.05 478.5
0	26	1797	526	1	1	147	147	0	26	166	1	0	Straight	0.0	2742.86	2908.86	584.05 478.5,588.36 474.95
0	27	526	524	1	1	64	64	0	12	72	1	0	Straight	0.0	2908.86	2980.86	588.36 474.95,592.48 474.81
0	28	524	497	1	1	104	104	0	19	119	0	0	Straight	0.0	2980.86	2999.86	592.48 474.81,599.44 474.48
0	29	497	1374	1	1	142	142	0	26	166	1	0	Right	5.695	3005.56	3171.56	599.44 474.48,602.56 469.73
0	30	1374	1422	1	1	201	201	0	36	236	1	0	Left	11.389	3182.95	3418.95	602.56 469.73,607.14 471.05
0	31	1422	1697	1	1	107	107	0	19	119	1	0	Left	11.389	3430.34	3549.34	607.14 471.05,603.56 475.06
0	32	1697	93	1	0	0	0	0	17	0	0	0	Right	5.695	3555.03	3572.03	603.56 475.06,604.82 484.7
0	33	93	92	1	1	199	199	0	36	226	1	0	Straight	0.0	3572.03	3798.03	604.82 484.7,606.48 491.81
0	34	92	438	1	1	97	97	0	17	107	1	0	Left	11.389	3809.42	3916.42	606.48 491.81,600.74 495.56
0	35	438	77	1	1	96	96	0	17	107	1	0	Straight	0.0	3916.42	4023.42	600.74 495.56,593.14 499.46
0	36	77	62	1	1	95	95	0	17	107	1	0	Straight	0.0	4023.42	4130.42	593.14 499.46,584.29 502.66
