Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	27926.6	26782	723.903	2.406	0.0877713	825.679	1.16667	13926.5	1.37286	0.0706701	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	LINESTRING(379.090000 271.730000,393.810000 293.840000)
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	LINESTRING(393.810000 293.840000,413.370000 313.350000)
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	LINESTRING(413.370000 313.350000,435.110000 331.040000)
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	LINESTRING(435.110000 331.040000,459.710000 345.200000)
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	LINESTRING(459.710000 345.200000,472.620000 354.790000)
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	LINESTRING(472.620000 354.790000,485.130000 364.600000)
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	LINESTRING(485.130000 364.600000,504.740000 377.850000)
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	LINESTRING(504.740000 377.850000,513.150000 392.610000)
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	LINESTRING(513.150000 392.610000,521.020000 407.560000)
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	LINESTRING(521.020000 407.560000,530.550000 425.070000)
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	LINESTRING(530.550000 425.070000,540.530000 441.930000)
0	14	641	173	1	0	0	0	0	40	0	0	0	Straight	0.0	891.695	931.695	LINESTRING(540.530000 441.930000,551.700000 453.380000)
0	15	173	163	1	0	0	0	0	19	0	0	0	Straight	0.0	931.695	950.695	LINESTRING(551.700000 453.380000,563.980000 460.370000)
0	16	163	1885	1	0	0	0	0	19	0	0	0	Straight	0.0	950.695	969.695	LINESTRING(563.980000 460.370000,576.620000 462.440000)
0	17	1885	1840	1	1	106	106	0	19	119	1	0	Straight	0.0	969.695	1088.69	LINESTRING(576.620000 462.440000,582.040000 465.920000)
0	18	1840	2093	1	1	142	142	0	26	166	1	0	Left	11.389	1100.08	1266.08	LINESTRING(582.040000 465.920000,579.390000 471.020000)
0	19	2093	1798	1	1	163	163	0	29	189	1	0	Right	5.695	1271.78	1460.78	LINESTRING(579.390000 471.020000,583.690000 473.310000)
0	20	1798	1568	1	1	151	151	0	27	177	1	0	Right	5.695	1466.47	1643.47	LINESTRING(583.690000 473.310000,587.440000 471.190000)
0	21	1568	1567	1	1	54	54	0	10	60	1	0	Straight	0.0	1643.47	1703.47	LINESTRING(587.440000 471.190000,588.490000 468.300000)
0	22	1567	1840	1	1	260	260	0	47	307	1	0	Right	5.695	1709.17	2016.17	LINESTRING(588.490000 468.300000,582.040000 465.920000)
0	23	1840	2093	1	1	142	142	0	26	166	0	0	Right	5.695	2021.86	2047.86	LINESTRING(582.040000 465.920000,579.390000 471.020000)
0	24	2093	576	1	1	152	152	0	27	177	1	0	Straight	0.0	2047.86	2224.86	LINESTRING(579.390000 471.020000,574.490000 475.760000)
0	25	576	164	1	1	104	104	0	19	119	1	0	Left	11.389	2236.25	2355.25	LINESTRING(574.490000 475.760000,565.530000 469.990000)
0	26	164	183	1	1	106	106	0	19	119	1	0	Right	5.695	2360.95	2479.95	LINESTRING(565.530000 469.990000,557.100000 474.550000)
0	27	183	1509	1	1	105	105	0	19	119	1	0	Right	5.695	2485.64	2604.64	LINESTRING(557.100000 474.550000,562.280000 488.010000)
0	28	1509	174	1	1	100	100	0	18	118	1	0	Left	11.389	2616.03	2734.03	LINESTRING(562.280000 488.010000,550.160000 491.340000)
0	29	174	1632	1	1	293	293	0	53	343	1	0	Straight	0.0	2734.03	3077.03	LINESTRING(550.160000 491.340000,541.650000 491.740000)
0	30	1632	166	1	1	98	98	0	18	108	1	0	Straight	0.0	3077.03	3185.03	LINESTRING(541.650000 491.740000,534.450000 499.430000)
0	31	166	165	1	1	119	119	0	22	132	1	0	Right	5.695	3190.73	3322.73	LINESTRING(534.450000 499.430000,541.450000 505.270000)
0	32	165	1348	1	0	0	0	0	9	0	0	0	Straight	0.0	3322.73	3331.73	LINESTRING(541.450000 505.270000,543.190000 514.310000)
0	33	1348	152	1	0	0	0	0	11	0	0	0	Straight	0.0	3331.73	3342.73	LINESTRING(543.190000 514.310000,557.030000 525.390000)
0	34	152	541	1	0	0	0	0	21	0	0	0	Right	5.695	3348.42	3369.42	LINESTRING(557.030000 525.390000,562.620000 521.110000)
0	35	541	1966	1	0	0	0	0	22	0	0	0	Left	11.389	3380.81	3402.81	LINESTRING(562.620000 521.110000,569.410000 522.940000)
0	36	1966	534	1	0	0	0	0	70	0	0	0	Right	5.695	3408.51	3478.51	LINESTRING(569.410000 522.940000,571.530000 511.690000)
0	37	534	533	1	1	104	104	0	19	119	1	0	Straight	0.0	3478.51	3597.51	LINESTRING(571.530000 511.690000,575.700000 497.670000)
0	38	533	575	1	1	101	101	0	18	118	1	0	Straight	0.0	3597.51	3715.51	LINESTRING(575.700000 497.670000,580.430000 484.940000)
0	39	575	1797	1	1	69	69	0	12	72	1	0	Straight	0.0	3715.51	3787.51	LINESTRING(580.430000 484.940000,584.050000 478.500000)
0	40	1797	526	1	1	147	147	0	26	166	1	0	Straight	0.0	3787.51	3953.51	LINESTRING(584.050000 478.500000,588.360000 474.950000)
0	41	526	1568	1	1	141	141	0	25	165	1	0	Right	5.695	3959.2	4124.2	LINESTRING(588.360000 474.950000,587.440000 471.190000)
0	42	1568	1798	1	1	151	151	0	27	177	0	0	Right	5.695	4129.9	4156.9	LINESTRING(587.440000 471.190000,583.690000 473.310000)
0	43	1798	1797	1	1	143	143	0	26	166	1	0	Right	5.695	4162.59	4328.59	LINESTRING(583.690000 473.310000,584.050000 478.500000)
0	44	1797	526	1	1	147	147	0	26	166	0	0	Right	5.695	4334.29	4360.29	LINESTRING(584.050000 478.500000,588.360000 474.950000)
0	45	526	524	1	1	64	64	0	12	72	1	0	Straight	0.0	4360.29	4432.29	LINESTRING(588.360000 474.950000,592.480000 474.810000)
0	46	524	497	1	1	104	104	0	19	119	1	0	Straight	0.0	4432.29	4551.29	LINESTRING(592.480000 474.810000,599.440000 474.480000)
0	47	497	1374	1	1	142	142	0	26	166	1	0	Right	5.695	4556.98	4722.98	LINESTRING(599.440000 474.480000,602.560000 469.730000)
0	48	1374	148	1	1	107	107	0	19	119	0	0	Right	5.695	4728.68	4747.68	LINESTRING(602.560000 469.730000,597.330000 468.450000)
0	49	148	1374	1	1	107	107	0	19	119	1	0	U	45.557	4793.23	4912.23	LINESTRING(597.330000 468.450000,602.560000 469.730000)
0	50	1374	1422	1	1	201	201	0	36	236	1	0	Straight	0.0	4912.23	5148.23	LINESTRING(602.560000 469.730000,607.140000 471.050000)
0	51	1422	1697	1	1	107	107	0	19	119	1	0	Left	11.389	5159.62	5278.62	LINESTRING(607.140000 471.050000,603.560000 475.060000)
0	52	1697	93	1	0	0	0	0	17	0	0	0	Right	5.695	5284.32	5301.32	LINESTRING(603.560000 475.060000,604.820000 484.700000)
0	53	93	92	1	1	199	199	0	36	226	1	0	Straight	0.0	5301.32	5527.32	LINESTRING(604.820000 484.700000,606.480000 491.810000)
0	54	92	438	1	1	97	97	0	17	107	1	0	Left	11.389	5538.71	5645.71	LINESTRING(606.480000 491.810000,600.740000 495.560000)
0	55	438	1470	1	1	200	200	0	36	236	1	0	Left	11.389	5657.09	5893.09	LINESTRING(600.740000 495.560000,600.360000 490.780000)
0	56	1470	76	1	0	0	0	0	17	0	0	0	Right	5.695	5898.79	5915.79	LINESTRING(600.360000 490.780000,593.320000 494.650000)
0	57	76	77	1	1	202	202	0	36	236	1	0	Right	5.695	5921.48	6157.48	LINESTRING(593.320000 494.650000,593.140000 499.460000)
0	58	77	434	1	1	203	203	0	37	237	1	0	Straight	0.0	6157.48	6394.48	LINESTRING(593.140000 499.460000,593.980000 504.550000)
0	59	434	86	1	0	0	0	0	17	0	0	0	Right	5.695	6400.18	6417.18	LINESTRING(593.980000 504.550000,600.720000 500.910000)
0	60	86	438	1	0	0	0	0	36	0	0	0	Right	5.695	6422.87	6458.87	LINESTRING(600.720000 500.910000,600.740000 495.560000)
0	61	438	77	1	1	96	96	0	17	107	1	0	Right	5.695	6464.57	6571.57	LINESTRING(600.740000 495.560000,593.140000 499.460000)
0	62	77	62	1	1	95	95	0	17	107	1	0	Straight	0.0	6571.57	6678.57	LINESTRING(593.140000 499.460000,584.290000 502.660000)
