Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	28127.3	26641	102.94	0	2	0.316944	952.898	16768.5	0.14134	3.29129	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	530.55 425.07,540.53 441.93
0	14	641	627	1	0	0	0	0	29	0	0	0	Straight	0.0	891.695	920.695	540.53 441.93,541.64 454.29
0	15	627	186	1	1	108	108	0	19	119	1	0	Straight	0.0	920.695	1039.69	541.64 454.29,546.13 463.09
0	16	186	184	1	1	198	198	0	36	226	1	0	Straight	0.0	1039.69	1265.69	546.13 463.09,547.18 473.31
0	17	184	175	1	1	202	202	0	36	236	1	0	Straight	0.0	1265.69	1501.69	547.18 473.31,543.74 483.52
0	18	175	1632	1	1	352	352	0	63	413	1	0	Straight	0.0	1501.69	1914.69	543.74 483.52,541.65 491.74
0	19	1632	166	1	1	98	98	0	18	108	1	0	Straight	0.0	1914.69	2022.69	541.65 491.74,534.45 499.43
0	20	166	165	1	1	119	119	0	22	132	1	0	Right	5.695	2028.39	2160.39	534.45 499.43,541.45 505.27
0	21	165	1608	1	1	391	391	0	70	460	1	0	Right	5.695	2166.09	2626.09	541.45 505.27,549.75 503.31
0	22	1608	151	1	1	116	116	0	21	131	1	0	Left	11.389	2637.47	2768.47	549.75 503.31,555.4 514.02
0	23	151	540	1	0	0	0	0	21	0	0	0	Right	5.695	2774.17	2795.17	555.4 514.02,563.18 514.76
0	24	540	534	1	1	119	119	0	21	131	1	0	Straight	0.0	2795.17	2926.17	563.18 514.76,571.53 511.69
0	25	534	533	1	1	104	104	0	19	119	1	0	Right	5.695	2931.86	3050.86	571.53 511.69,575.7 497.67
0	26	533	466	1	1	469	469	0	84	544	1	0	Left	11.389	3062.25	3606.25	575.7 497.67,589.49 505.29
0	27	466	1484	1	1	101	101	0	18	118	1	0	Right	5.695	3611.95	3729.95	589.49 505.29,598.79 497.12
0	28	1484	112	1	1	202	202	0	36	236	1	0	Right	5.695	3735.64	3971.64	598.79 497.12,597.55 487.02
0	29	112	111	1	1	105	105	0	19	119	1	0	Straight	0.0	3971.64	4090.64	597.55 487.02,602.28 480.2
0	30	111	2183	1	1	47	47	0	9	49	1	0	Left	11.389	4102.03	4151.03	602.28 480.2,608.72 479.33
0	31	2183	111	1	1	47	47	0	9	49	0	0	U	45.557	4196.59	4205.59	608.72 479.33,602.28 480.2
0	32	111	497	1	1	48	48	0	9	49	1	0	Left	11.389	4216.98	4265.98	602.28 480.2,599.44 474.48
0	33	497	1374	1	1	142	142	0	26	166	1	0	Left	11.389	4277.37	4443.37	599.44 474.48,602.56 469.73
0	34	1374	1422	1	1	201	201	0	36	236	1	0	Left	11.389	4454.76	4690.76	602.56 469.73,607.14 471.05
0	35	1422	1697	1	1	107	107	0	19	119	1	0	Left	11.389	4702.15	4821.15	607.14 471.05,603.56 475.06
0	36	1697	93	1	0	0	0	0	17	0	0	0	Right	5.695	4826.84	4843.84	603.56 475.06,604.82 484.7
