Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	29105.6	26600	378.217	2.268	0	937.254	1	20420.5	0.0911333	0.0588918	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	LINESTRING(379.090000 271.730000,363.030000 281.580000)
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	LINESTRING(363.030000 281.580000,341.470000 281.280000)
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	LINESTRING(341.470000 281.280000,320.190000 279.470000)
0	6	593	1810	1	0	0	0	0	102	0	0	0	Straight	0.0	474.0	576.0	LINESTRING(320.190000 279.470000,305.230000 270.080000)
0	7	1810	686	1	0	0	0	0	35	0	0	0	Right	5.695	581.695	616.695	LINESTRING(305.230000 270.080000,289.240000 278.950000)
0	8	686	687	1	0	0	0	0	26	0	0	0	Straight	0.0	616.695	642.695	LINESTRING(289.240000 278.950000,276.650000 288.350000)
0	9	687	653	1	0	0	0	0	26	0	0	0	Straight	0.0	642.695	668.695	LINESTRING(276.650000 288.350000,264.350000 300.320000)
0	10	653	1501	1	0	0	0	0	25	0	0	0	Straight	0.0	668.695	693.695	LINESTRING(264.350000 300.320000,254.220000 311.800000)
0	11	1501	647	1	0	0	0	0	26	0	0	0	Straight	0.0	693.695	719.695	LINESTRING(254.220000 311.800000,237.650000 320.090000)
0	12	647	750	1	0	0	0	0	36	0	0	0	Straight	0.0	719.695	755.695	LINESTRING(237.650000 320.090000,212.300000 331.820000)
0	13	750	980	1	0	0	0	0	85	0	0	0	Straight	0.0	755.695	840.695	LINESTRING(212.300000 331.820000,200.540000 354.200000)
0	14	980	970	1	1	198	198	0	36	226	1	0	Right	5.695	846.39	1072.39	LINESTRING(200.540000 354.200000,211.400000 361.910000)
0	15	970	1555	1	0	0	0	0	72	0	0	0	Straight	0.0	1072.39	1144.39	LINESTRING(211.400000 361.910000,215.080000 373.770000)
0	16	1555	1554	1	0	0	0	0	26	0	0	0	Straight	0.0	1144.39	1170.39	LINESTRING(215.080000 373.770000,220.860000 386.830000)
0	17	1554	893	0	0	0	0	0	67	0	0	0	Right	5.695	1176.09	1243.09	LINESTRING(220.860000 386.830000,241.320000 390.940000)
0	18	893	477	0	1	128	128	0	23	143	1	0	Right	5.695	1248.78	1391.78	LINESTRING(241.320000 390.940000,247.760000 376.520000)
0	19	477	425	0	0	0	0	0	4	0	0	0	Left	11.389	1403.17	1407.17	LINESTRING(247.760000 376.520000,252.310000 386.310000)
0	20	425	424	0	0	0	0	0	20	0	0	0	Straight	0.0	1407.17	1427.17	LINESTRING(252.310000 386.310000,257.750000 396.330000)
0	21	424	408	0	0	0	0	0	2	0	0	0	Straight	0.0	1427.17	1429.17	LINESTRING(257.750000 396.330000,259.570000 409.900000)
0	22	408	1526	0	0	0	0	0	71	0	0	0	Straight	0.0	1429.17	1500.17	LINESTRING(259.570000 409.900000,253.730000 426.600000)
0	23	1526	312	0	0	0	0	0	67	0	0	0	Straight	0.0	1500.17	1567.17	LINESTRING(253.730000 426.600000,254.450000 442.650000)
0	24	312	310	0	0	0	0	0	4	0	0	0	Straight	0.0	1567.17	1571.17	LINESTRING(254.450000 442.650000,257.180000 455.600000)
0	25	310	311	0	0	0	0	0	51	0	0	0	Straight	0.0	1571.17	1622.17	LINESTRING(257.180000 455.600000,261.600000 470.860000)
0	26	311	1984	0	0	0	0	0	28	0	0	0	Straight	0.0	1622.17	1650.17	LINESTRING(261.600000 470.860000,269.750000 485.780000)
0	27	1984	727	1	0	0	0	0	27	0	0	0	Left	11.389	1661.56	1688.56	LINESTRING(269.750000 485.780000,259.710000 490.350000)
0	28	727	279	1	0	0	0	0	17	0	0	0	Straight	0.0	1688.56	1705.56	LINESTRING(259.710000 490.350000,249.070000 496.590000)
0	29	279	775	1	0	0	0	0	70	0	0	0	Straight	0.0	1705.56	1775.56	LINESTRING(249.070000 496.590000,236.870000 501.040000)
0	30	775	2170	1	1	257	257	0	46	296	1	0	Straight	0.0	1775.56	2071.56	LINESTRING(236.870000 501.040000,232.590000 502.740000)
0	31	2170	775	1	1	257	257	0	46	296	0	0	U	45.557	2117.11	2163.11	LINESTRING(232.590000 502.740000,236.870000 501.040000)
0	32	775	754	1	1	190	190	0	34	224	1	0	Left	11.389	2174.5	2398.5	LINESTRING(236.870000 501.040000,239.690000 511.060000)
0	33	754	731	1	1	184	184	0	33	213	1	0	Straight	0.0	2398.5	2611.5	LINESTRING(239.690000 511.060000,240.040000 519.170000)
0	34	731	730	0	0	0	0	0	23	0	0	0	Straight	0.0	2611.5	2634.5	LINESTRING(240.040000 519.170000,236.620000 522.980000)
0	35	730	735	1	0	0	0	0	13	0	0	0	Straight	0.0	2634.5	2647.5	LINESTRING(236.620000 522.980000,226.160000 523.880000)
0	36	735	314	1	1	77	77	0	14	84	1	0	Straight	0.0	2647.5	2731.5	LINESTRING(226.160000 523.880000,216.570000 527.300000)
0	37	314	313	1	1	149	149	0	27	167	1	0	Straight	0.0	2731.5	2898.5	LINESTRING(216.570000 527.300000,207.190000 533.790000)
0	38	313	767	1	1	37	37	0	7	37	1	0	Straight	0.0	2898.5	2935.5	LINESTRING(207.190000 533.790000,202.810000 537.660000)
0	39	767	313	1	1	37	37	0	7	37	0	0	U	45.557	2981.06	2988.06	LINESTRING(202.810000 537.660000,207.190000 533.790000)
0	40	313	1478	1	1	59	59	0	11	61	1	0	U	45.557	3033.62	3094.62	LINESTRING(207.190000 533.790000,196.670000 539.530000)
0	41	1478	1782	1	1	12	12	0	2	12	1	0	Straight	0.0	3094.62	3106.62	LINESTRING(196.670000 539.530000,194.270000 542.030000)
0	42	1782	1478	1	1	12	12	0	2	12	0	0	U	45.557	3152.17	3154.17	LINESTRING(194.270000 542.030000,196.670000 539.530000)
0	43	1478	295	1	1	75	75	0	13	83	1	0	U	45.557	3199.73	3282.73	LINESTRING(196.670000 539.530000,187.490000 544.200000)
0	44	295	307	1	1	52	52	0	9	59	1	0	Straight	0.0	3282.73	3341.73	LINESTRING(187.490000 544.200000,180.940000 548.490000)
0	45	307	736	1	1	41	41	0	7	47	1	0	Right	5.695	3347.43	3394.43	LINESTRING(180.940000 548.490000,179.970000 554.060000)
0	46	736	307	1	1	41	41	0	7	47	0	0	U	45.557	3439.98	3446.98	LINESTRING(179.970000 554.060000,180.940000 548.490000)
0	47	307	1985	1	1	11	11	0	2	12	1	0	Right	5.695	3452.68	3464.68	LINESTRING(180.940000 548.490000,175.270000 548.010000)
0	48	1985	307	1	1	11	11	0	2	12	0	0	U	45.557	3510.24	3512.24	LINESTRING(175.270000 548.010000,180.940000 548.490000)
0	49	307	295	1	1	52	52	0	9	59	0	0	Straight	0.0	3512.24	3521.24	LINESTRING(180.940000 548.490000,187.490000 544.200000)
0	50	295	296	1	1	67	67	0	12	72	1	0	U	45.557	3566.79	3638.79	LINESTRING(187.490000 544.200000,178.780000 550.280000)
0	51	296	1938	1	1	65	65	0	12	72	1	0	Straight	0.0	3638.79	3710.79	LINESTRING(178.780000 550.280000,176.190000 554.560000)
0	52	1938	296	1	1	65	65	0	12	72	0	0	U	45.557	3756.35	3768.35	LINESTRING(176.190000 554.560000,178.780000 550.280000)
0	53	296	732	1	1	103	103	0	19	119	1	0	U	45.557	3813.91	3932.91	LINESTRING(178.780000 550.280000,171.970000 553.610000)
0	54	732	1453	1	1	24	24	0	4	24	1	0	Straight	0.0	3932.91	3956.91	LINESTRING(171.970000 553.610000,170.170000 557.860000)
0	55	1453	732	1	1	24	24	0	4	24	0	0	U	45.557	4002.46	4006.46	LINESTRING(170.170000 557.860000,171.970000 553.610000)
0	56	732	1409	1	1	22	22	0	4	24	1	0	Right	5.695	4012.16	4036.16	LINESTRING(171.970000 553.610000,166.380000 555.440000)
0	57	1409	732	1	1	22	22	0	4	24	0	0	U	45.557	4081.72	4085.72	LINESTRING(166.380000 555.440000,171.970000 553.610000)
0	58	732	296	1	1	103	103	0	19	119	0	0	Straight	0.0	4085.72	4104.72	LINESTRING(171.970000 553.610000,178.780000 550.280000)
0	59	296	295	1	1	67	67	0	12	72	0	0	Straight	0.0	4104.72	4116.72	LINESTRING(178.780000 550.280000,187.490000 544.200000)
0	60	295	1478	1	1	75	75	0	13	83	0	0	Straight	0.0	4116.72	4129.72	LINESTRING(187.490000 544.200000,196.670000 539.530000)
0	61	1478	313	1	1	59	59	0	11	61	0	0	Straight	0.0	4129.72	4140.72	LINESTRING(196.670000 539.530000,207.190000 533.790000)
0	62	313	342	1	1	192	192	0	35	225	1	0	Straight	0.0	4140.72	4365.72	LINESTRING(207.190000 533.790000,215.280000 529.430000)
0	63	342	343	1	1	276	276	0	50	320	1	0	Straight	0.0	4365.72	4685.72	LINESTRING(215.280000 529.430000,218.100000 520.590000)
