Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	29546.6	26238	103.115	0	1	0	937.254	20420.5	0.0824485	0.0906101	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	320.19 279.47,307.38 288.17
0	7	594	564	1	0	0	0	0	26	0	0	0	Straight	0.0	508.0	534.0	307.38 288.17,297.85 297.27
0	8	564	556	1	0	0	0	0	27	0	0	0	Straight	0.0	534.0	561.0	297.85 297.27,289.6 308.42
0	9	556	2097	1	0	0	0	0	25	0	0	0	Straight	0.0	561.0	586.0	289.6 308.42,279.58 320.46
0	10	2097	969	1	0	0	0	0	24	0	0	0	Straight	0.0	586.0	610.0	279.58 320.46,267.88 330.78
0	11	969	506	1	0	0	0	0	43	0	0	0	Straight	0.0	610.0	653.0	267.88 330.78,262.85 344.55
0	12	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	653.0	678.0	262.85 344.55,250.63 358.81
0	13	478	500	1	0	0	0	0	15	0	0	0	Left	11.389	689.389	704.389	250.63 358.81,235.35 357.54
0	14	500	971	1	0	0	0	0	3	0	0	0	Straight	0.0	704.389	707.389	235.35 357.54,221.11 357.76
0	15	971	970	1	0	0	0	0	66	0	0	0	Straight	0.0	707.389	773.389	221.11 357.76,211.4 361.91
0	16	970	980	1	1	198	198	0	36	226	1	0	Left	11.389	784.778	1010.78	211.4 361.91,200.54 354.2
0	17	980	1460	1	0	0	0	0	10	0	0	0	Straight	0.0	1010.78	1020.78	200.54 354.2,181.62 351.41
0	18	1460	568	1	0	0	0	0	15	0	0	0	Straight	0.0	1020.78	1035.78	181.62 351.41,166.36 352.32
0	19	568	623	1	0	0	0	0	67	0	0	0	Straight	0.0	1035.78	1102.78	166.36 352.32,159.17 347.9
0	20	623	659	1	0	0	0	0	37	0	0	0	U	45.557	1148.34	1185.34	159.17 347.9,176.13 344.04
0	21	659	1002	0	0	0	0	0	85	0	0	0	Left	11.389	1196.72	1281.72	176.13 344.04,172.85 370.63
0	22	1002	1001	0	0	0	0	0	2	0	0	0	Straight	0.0	1281.72	1283.72	172.85 370.63,167.84 394.3
0	23	1001	998	0	0	0	0	0	25	0	0	0	Straight	0.0	1283.72	1308.72	167.84 394.3,167.11 412.04
0	24	998	999	0	1	98	98	0	18	108	1	0	U	45.557	1354.28	1462.28	167.11 412.04,167.98 398.92
0	25	999	1005	0	1	45	45	0	8	48	1	0	Straight	0.0	1462.28	1510.28	167.98 398.92,170.1 393.42
0	26	1005	619	0	0	0	0	0	32	0	0	0	Left	11.389	1521.67	1553.67	170.1 393.42,174.56 397.03
0	27	619	620	0	0	0	0	0	30	0	0	0	U	45.557	1599.23	1629.23	174.56 397.03,171.14 377.56
0	28	620	675	0	1	41	41	0	7	47	1	0	Straight	0.0	1629.23	1676.23	171.14 377.56,168.33 358.59
0	29	675	658	0	1	441	441	0	79	519	1	0	Straight	0.0	1676.23	2195.23	168.33 358.59,166.54 334.58
0	30	658	659	1	0	0	0	0	2	0	0	0	U	45.557	2240.78	2242.78	166.54 334.58,176.13 344.04
0	31	659	1002	0	0	0	0	0	85	0	0	0	Left	11.389	2254.17	2339.17	176.13 344.04,172.85 370.63
0	32	1002	1001	0	0	0	0	0	2	0	0	0	Straight	0.0	2339.17	2341.17	172.85 370.63,167.84 394.3
0	33	1001	998	0	0	0	0	0	25	0	0	0	Straight	0.0	2341.17	2366.17	167.84 394.3,167.11 412.04
0	34	998	999	0	1	98	98	0	18	108	0	0	U	45.557	2411.73	2429.73	167.11 412.04,167.98 398.92
0	35	999	1003	0	1	39	39	0	7	37	1	0	Straight	0.0	2429.73	2466.73	167.98 398.92,168.23 387.54
0	36	1003	1004	0	1	12	12	0	2	12	1	0	Straight	0.0	2466.73	2478.73	168.23 387.54,168.6 373.15
0	37	1004	675	0	1	29	29	0	5	25	1	0	Straight	0.0	2478.73	2503.73	168.6 373.15,168.33 358.59
