Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	33467	30745	102.585	0	1	0.15379	2756.55	56486	0.0765593	0.0720229	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	341.47 281.28,320.19 279.47
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	320.19 279.47,307.38 288.17
0	7	594	564	1	0	0	0	0	26	0	0	0	Straight	0.0	508.0	534.0	307.38 288.17,297.85 297.27
0	8	564	556	1	0	0	0	0	27	0	0	0	Straight	0.0	534.0	561.0	297.85 297.27,289.6 308.42
0	9	556	2097	1	1	139	139	0	25	155	1	0	Straight	0.0	561.0	716.0	289.6 308.42,279.58 320.46
0	10	2097	969	1	0	0	0	0	24	0	0	0	Straight	0.0	716.0	740.0	279.58 320.46,267.88 330.78
0	11	969	506	1	0	0	0	0	43	0	0	0	Straight	0.0	740.0	783.0	267.88 330.78,262.85 344.55
0	12	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	783.0	808.0	262.85 344.55,250.63 358.81
0	13	478	477	1	0	0	0	0	61	0	0	0	Straight	0.0	808.0	869.0	250.63 358.81,247.76 376.52
0	14	477	425	0	0	0	0	0	4	0	0	0	Straight	0.0	869.0	873.0	247.76 376.52,252.31 386.31
0	15	425	424	0	0	0	0	0	20	0	0	0	Straight	0.0	873.0	893.0	252.31 386.31,257.75 396.33
0	16	424	408	0	0	0	0	0	2	0	0	0	Straight	0.0	893.0	895.0	257.75 396.33,259.57 409.9
0	17	408	1526	0	0	0	0	0	71	0	0	0	Straight	0.0	895.0	966.0	259.57 409.9,253.73 426.6
0	18	1526	312	0	0	0	0	0	67	0	0	0	Straight	0.0	966.0	1033.0	253.73 426.6,254.45 442.65
0	19	312	310	0	0	0	0	0	4	0	0	0	Straight	0.0	1033.0	1037.0	254.45 442.65,257.18 455.6
0	20	310	335	0	0	0	0	0	1	0	0	0	Left	11.389	1048.39	1049.39	257.18 455.6,245.13 456.3
0	21	335	336	0	0	0	0	0	32	0	0	0	Straight	0.0	1049.39	1081.39	245.13 456.3,230.73 455.65
0	22	336	850	0	1	542	542	0	97	637	1	0	Straight	0.0	1081.39	1718.39	230.73 455.65,218.42 459.36
0	23	850	1616	0	1	17	17	0	3	13	1	0	Straight	0.0	1718.39	1731.39	218.42 459.36,211.3 460.45
0	24	1616	854	0	0	0	0	0	3	0	0	0	Left	11.389	1742.78	1745.78	211.3 460.45,201.99 446.05
0	25	854	855	0	1	16	16	0	3	13	1	0	Left	11.389	1757.17	1770.17	201.99 446.05,212.61 444.8
0	26	855	850	0	0	0	0	0	4	0	0	0	Left	11.389	1781.56	1785.56	212.61 444.8,218.42 459.36
0	27	850	851	0	0	0	0	0	24	0	0	0	Straight	0.0	1785.56	1809.56	218.42 459.36,218.65 475.14
0	28	851	774	1	0	0	0	0	75	0	0	0	Straight	0.0	1809.56	1884.56	218.65 475.14,224.57 496.73
0	29	774	795	1	1	150	150	0	27	177	1	0	Straight	0.0	1884.56	2061.56	224.57 496.73,217.86 509.72
0	30	795	796	1	1	19	19	0	3	13	1	0	Left	11.389	2072.94	2085.94	217.86 509.72,212.62 509.84
0	31	796	795	1	1	19	19	0	3	13	0	0	U	45.557	2131.5	2134.5	212.62 509.84,217.86 509.72
0	32	795	774	1	1	150	150	0	27	177	0	0	Right	5.695	2140.2	2167.2	217.86 509.72,224.57 496.73
0	33	774	775	1	0	0	0	0	22	0	0	0	Left	11.389	2178.59	2200.59	224.57 496.73,236.87 501.04
0	34	775	279	1	0	0	0	0	70	0	0	0	Straight	0.0	2200.59	2270.59	236.87 501.04,249.07 496.59
0	35	279	280	1	0	0	0	0	30	0	0	0	Left	11.389	2281.97	2311.97	249.07 496.59,252.67 502.19
0	36	280	255	0	0	0	0	0	4	0	0	0	Right	5.695	2317.67	2321.67	252.67 502.19,257.79 502.99
0	37	255	682	0	0	0	0	0	14	0	0	0	Straight	0.0	2321.67	2335.67	257.79 502.99,265.04 499.51
