Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	30457.4	28413	7203.23	0	0.21807	970.953	1	15793	0.186077	0.100116	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	LINESTRING(379.090000 271.730000,393.810000 293.840000)
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	LINESTRING(393.810000 293.840000,413.370000 313.350000)
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	LINESTRING(413.370000 313.350000,435.110000 331.040000)
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	LINESTRING(435.110000 331.040000,459.710000 345.200000)
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	LINESTRING(459.710000 345.200000,472.620000 354.790000)
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	LINESTRING(472.620000 354.790000,485.130000 364.600000)
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	LINESTRING(485.130000 364.600000,504.740000 377.850000)
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	LINESTRING(504.740000 377.850000,513.150000 392.610000)
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	LINESTRING(513.150000 392.610000,521.020000 407.560000)
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	LINESTRING(521.020000 407.560000,530.550000 425.070000)
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	LINESTRING(530.550000 425.070000,540.530000 441.930000)
0	14	641	627	1	0	0	0	0	29	0	0	0	Straight	0.0	891.695	920.695	LINESTRING(540.530000 441.930000,541.640000 454.290000)
0	15	627	628	1	0	0	0	0	6	0	0	0	Straight	0.0	920.695	926.695	LINESTRING(541.640000 454.290000,539.320000 463.330000)
0	16	628	2024	1	0	0	0	0	30	0	0	0	Straight	0.0	926.695	956.695	LINESTRING(539.320000 463.330000,540.110000 472.160000)
0	17	2024	626	1	0	0	0	0	36	0	0	0	Straight	0.0	956.695	992.695	LINESTRING(540.110000 472.160000,535.130000 480.110000)
0	18	626	190	1	0	0	0	0	29	0	0	0	Straight	0.0	992.695	1021.69	LINESTRING(535.130000 480.110000,526.260000 488.210000)
0	19	190	612	1	1	127	127	0	23	143	1	0	Straight	0.0	1021.69	1164.69	LINESTRING(526.260000 488.210000,525.920000 494.640000)
0	20	612	191	1	1	28	28	0	5	25	1	0	Left	11.389	1176.08	1201.08	LINESTRING(525.920000 494.640000,517.170000 494.040000)
0	21	191	1352	1	1	243	243	0	44	284	1	0	Right	5.695	1206.78	1490.78	LINESTRING(517.170000 494.040000,513.690000 505.610000)
0	22	1352	1324	1	0	0	0	0	52	0	0	0	Straight	0.0	1490.78	1542.78	LINESTRING(513.690000 505.610000,511.560000 524.030000)
0	23	1324	1325	1	0	0	0	0	121	0	0	0	Straight	0.0	1542.78	1663.78	LINESTRING(511.560000 524.030000,512.600000 545.320000)
0	24	1325	1762	1	1	114	114	0	21	131	0	0	Left	11.389	1675.17	1696.17	LINESTRING(512.600000 545.320000,509.550000 547.310000)
0	25	1762	1325	1	1	114	114	0	21	131	1	0	U	45.557	1741.72	1872.72	LINESTRING(509.550000 547.310000,512.600000 545.320000)
0	26	1325	1341	1	0	0	0	0	37	0	0	0	Left	11.389	1884.11	1921.11	LINESTRING(512.600000 545.320000,513.870000 566.310000)
0	27	1341	113	1	0	0	0	0	13	0	0	0	Right	5.695	1926.81	1939.81	LINESTRING(513.870000 566.310000,535.160000 574.310000)
0	28	113	109	1	1	113	113	0	20	130	1	0	Straight	0.0	1939.81	2069.81	LINESTRING(535.160000 574.310000,541.240000 586.320000)
0	29	109	110	1	1	76	76	0	14	84	1	0	Straight	0.0	2069.81	2153.81	LINESTRING(541.240000 586.320000,548.180000 598.560000)
0	30	110	85	1	1	227	227	0	41	261	1	0	Straight	0.0	2153.81	2414.81	LINESTRING(548.180000 598.560000,554.700000 610.190000)
0	31	85	71	1	1	213	213	0	38	248	1	0	Straight	0.0	2414.81	2662.81	LINESTRING(554.700000 610.190000,560.070000 621.260000)
0	32	71	73	1	1	75	75	0	14	84	1	0	Left	11.389	2674.2	2758.2	LINESTRING(560.070000 621.260000,549.050000 623.330000)
0	33	73	1700	1	1	403	403	0	72	472	1	0	Right	5.695	2763.89	3235.89	LINESTRING(549.050000 623.330000,554.070000 632.440000)
0	34	1700	1774	1	1	78	78	0	14	84	1	0	Straight	0.0	3235.89	3319.89	LINESTRING(554.070000 632.440000,559.260000 641.000000)
0	35	1774	2129	1	1	126	126	0	23	143	0	0	Straight	0.0	3319.89	3342.89	LINESTRING(559.260000 641.000000,562.050000 644.640000)
0	36	2129	1774	1	1	126	126	0	23	143	1	0	U	45.557	3388.45	3531.45	LINESTRING(562.050000 644.640000,559.260000 641.000000)
0	37	1774	66	1	1	72	72	0	13	83	0	0	U	45.557	3577.01	3590.01	LINESTRING(559.260000 641.000000,563.940000 648.530000)
0	38	66	2128	1	1	749	749	0	135	875	1	0	Straight	0.0	3590.01	4465.01	LINESTRING(563.940000 648.530000,566.210000 654.360000)
0	39	2128	66	1	1	749	749	0	135	875	0	0	U	45.557	4510.56	4645.56	LINESTRING(566.210000 654.360000,563.940000 648.530000)
0	40	66	65	1	1	119	119	0	21	131	1	0	U	45.557	4691.12	4822.12	LINESTRING(563.940000 648.530000,567.850000 651.080000)
0	41	65	66	1	1	119	119	0	21	131	0	0	U	45.557	4867.68	4888.68	LINESTRING(567.850000 651.080000,563.940000 648.530000)
0	42	66	1774	1	1	72	72	0	13	83	1	0	Straight	0.0	4888.68	4971.68	LINESTRING(563.940000 648.530000,559.260000 641.000000)
0	43	1774	1700	1	1	78	78	0	14	84	0	0	Straight	0.0	4971.68	4985.68	LINESTRING(559.260000 641.000000,554.070000 632.440000)
0	44	1700	2040	1	1	122	122	0	22	142	0	0	U	45.557	5031.23	5053.23	LINESTRING(554.070000 632.440000,555.140000 636.190000)
0	45	2040	1700	1	1	122	122	0	22	142	1	0	U	45.557	5098.79	5240.79	LINESTRING(555.140000 636.190000,554.070000 632.440000)
0	46	1700	73	1	1	403	403	0	72	472	0	0	Straight	0.0	5240.79	5312.79	LINESTRING(554.070000 632.440000,549.050000 623.330000)
0	47	73	56	1	1	165	165	0	30	190	1	0	Straight	0.0	5312.79	5502.79	LINESTRING(549.050000 623.330000,536.360000 618.440000)
0	48	56	49	0	1	46	46	0	8	48	1	0	Straight	0.0	5502.79	5550.79	LINESTRING(536.360000 618.440000,529.230000 614.680000)
0	49	49	55	1	1	15	15	0	3	13	0	0	Straight	0.0	5550.79	5553.79	LINESTRING(529.230000 614.680000,525.190000 614.810000)
0	50	55	49	1	1	15	15	0	3	13	1	0	U	45.557	5599.35	5612.35	LINESTRING(525.190000 614.810000,529.230000 614.680000)
0	51	49	2119	1	1	106	106	0	19	119	0	0	Straight	0.0	5612.35	5631.35	LINESTRING(529.230000 614.680000,532.770000 616.620000)
0	52	2119	49	1	1	106	106	0	19	119	1	0	U	45.557	5676.91	5795.91	LINESTRING(532.770000 616.620000,529.230000 614.680000)
0	53	49	44	0	1	116	116	0	21	131	1	0	Straight	0.0	5795.91	5926.91	LINESTRING(529.230000 614.680000,521.640000 611.560000)
0	54	44	42	0	1	21	21	0	4	24	1	0	Right	5.695	5932.6	5956.6	LINESTRING(521.640000 611.560000,518.390000 615.580000)
0	55	42	373	0	1	17	17	0	3	13	1	0	Straight	0.0	5956.6	5969.6	LINESTRING(518.390000 615.580000,514.380000 625.110000)
0	56	373	321	1	1	134	134	0	24	154	1	0	Straight	0.0	5969.6	6123.6	LINESTRING(514.380000 625.110000,513.690000 637.420000)
0	57	321	25	1	1	371	371	0	67	437	1	0	Straight	0.0	6123.6	6560.6	LINESTRING(513.690000 637.420000,516.190000 648.840000)
0	58	25	19	1	1	96	96	0	17	107	1	0	Straight	0.0	6560.6	6667.6	LINESTRING(516.190000 648.840000,521.950000 652.740000)
0	59	19	20	1	1	55	55	0	10	60	1	0	Left	11.389	6678.99	6738.99	LINESTRING(521.950000 652.740000,522.380000 656.730000)
0	60	20	19	1	1	55	55	0	10	60	0	0	U	45.557	6784.55	6794.55	LINESTRING(522.380000 656.730000,521.950000 652.740000)
0	61	19	256	1	1	182	182	0	33	213	1	0	Left	11.389	6805.94	7018.94	LINESTRING(521.950000 652.740000,528.060000 655.970000)
0	62	256	2108	1	1	54	54	0	10	60	0	0	Straight	0.0	7018.94	7028.94	LINESTRING(528.060000 655.970000,532.820000 657.910000)
0	63	2108	256	1	1	54	54	0	10	60	1	0	U	45.557	7074.49	7134.49	LINESTRING(532.820000 657.910000,528.060000 655.970000)
