Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	33221.8	30346	98.8663	0	0.00780416	922.374	1	16088	0.558097	0.123673	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	LINESTRING(379.090000 271.730000,363.030000 281.580000)
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	LINESTRING(363.030000 281.580000,341.470000 281.280000)
0	5	607	593	1	0	0	0	0	30	0	0	0	Straight	0.0	444.0	474.0	LINESTRING(341.470000 281.280000,320.190000 279.470000)
0	6	593	594	1	0	0	0	0	34	0	0	0	Straight	0.0	474.0	508.0	LINESTRING(320.190000 279.470000,307.380000 288.170000)
0	7	594	564	1	0	0	0	0	26	0	0	0	Straight	0.0	508.0	534.0	LINESTRING(307.380000 288.170000,297.850000 297.270000)
0	8	564	556	1	0	0	0	0	27	0	0	0	Straight	0.0	534.0	561.0	LINESTRING(297.850000 297.270000,289.600000 308.420000)
0	9	556	2097	1	0	0	0	0	25	0	0	0	Straight	0.0	561.0	586.0	LINESTRING(289.600000 308.420000,279.580000 320.460000)
0	10	2097	969	1	0	0	0	0	24	0	0	0	Straight	0.0	586.0	610.0	LINESTRING(279.580000 320.460000,267.880000 330.780000)
0	11	969	506	1	0	0	0	0	43	0	0	0	Straight	0.0	610.0	653.0	LINESTRING(267.880000 330.780000,262.850000 344.550000)
0	12	506	478	1	0	0	0	0	25	0	0	0	Straight	0.0	653.0	678.0	LINESTRING(262.850000 344.550000,250.630000 358.810000)
0	13	478	477	1	0	0	0	0	61	0	0	0	Straight	0.0	678.0	739.0	LINESTRING(250.630000 358.810000,247.760000 376.520000)
0	14	477	425	0	0	0	0	0	4	0	0	0	Straight	0.0	739.0	743.0	LINESTRING(247.760000 376.520000,252.310000 386.310000)
0	15	425	424	0	0	0	0	0	20	0	0	0	Straight	0.0	743.0	763.0	LINESTRING(252.310000 386.310000,257.750000 396.330000)
0	16	424	408	0	0	0	0	0	2	0	0	0	Straight	0.0	763.0	765.0	LINESTRING(257.750000 396.330000,259.570000 409.900000)
0	17	408	1526	0	0	0	0	0	71	0	0	0	Straight	0.0	765.0	836.0	LINESTRING(259.570000 409.900000,253.730000 426.600000)
0	18	1526	312	0	0	0	0	0	67	0	0	0	Straight	0.0	836.0	903.0	LINESTRING(253.730000 426.600000,254.450000 442.650000)
0	19	312	310	0	0	0	0	0	4	0	0	0	Straight	0.0	903.0	907.0	LINESTRING(254.450000 442.650000,257.180000 455.600000)
0	20	310	311	0	0	0	0	0	51	0	0	0	Straight	0.0	907.0	958.0	LINESTRING(257.180000 455.600000,261.600000 470.860000)
0	21	311	1984	0	0	0	0	0	28	0	0	0	Straight	0.0	958.0	986.0	LINESTRING(261.600000 470.860000,269.750000 485.780000)
0	22	1984	666	0	0	0	0	0	33	0	0	0	Straight	0.0	986.0	1019.0	LINESTRING(269.750000 485.780000,283.580000 497.100000)
0	23	666	204	0	0	0	0	0	34	0	0	0	Straight	0.0	1019.0	1053.0	LINESTRING(283.580000 497.100000,288.670000 506.890000)
0	24	204	192	0	0	0	0	0	27	0	0	0	Straight	0.0	1053.0	1080.0	LINESTRING(288.670000 506.890000,295.280000 514.410000)
0	25	192	193	0	0	0	0	0	6	0	0	0	Straight	0.0	1080.0	1086.0	LINESTRING(295.280000 514.410000,302.120000 520.810000)
0	26	193	1569	0	0	0	0	0	11	0	0	0	Left	11.389	1097.39	1108.39	LINESTRING(302.120000 520.810000,296.250000 528.010000)
0	27	1569	177	0	0	0	0	0	5	0	0	0	Straight	0.0	1108.39	1113.39	LINESTRING(296.250000 528.010000,296.330000 538.890000)
0	28	177	1896	0	0	0	0	0	7	0	0	0	Straight	0.0	1113.39	1120.39	LINESTRING(296.330000 538.890000,299.970000 546.160000)
0	29	1896	1897	0	0	0	0	0	23	0	0	0	Left	11.389	1131.78	1154.78	LINESTRING(299.970000 546.160000,291.640000 557.620000)
0	30	1897	171	0	0	0	0	0	63	0	0	0	Straight	0.0	1154.78	1217.78	LINESTRING(291.640000 557.620000,286.190000 568.770000)
0	31	171	572	1	0	0	0	0	9	0	0	0	Straight	0.0	1217.78	1226.78	LINESTRING(286.190000 568.770000,283.050000 583.100000)
0	32	572	581	1	0	0	0	0	13	0	0	0	Straight	0.0	1226.78	1239.78	LINESTRING(283.050000 583.100000,273.850000 590.140000)
0	33	581	582	1	0	0	0	0	9	0	0	0	Straight	0.0	1239.78	1248.78	LINESTRING(273.850000 590.140000,269.310000 596.170000)
0	34	582	1864	1	1	189	189	0	34	214	1	0	Straight	0.0	1248.78	1462.78	LINESTRING(269.310000 596.170000,267.320000 600.460000)
0	35	1864	132	1	0	0	0	0	30	0	0	0	Right	5.695	1468.47	1498.47	LINESTRING(267.320000 600.460000,268.970000 603.040000)
0	36	132	133	1	0	0	0	0	19	0	0	0	Right	5.695	1504.17	1523.17	LINESTRING(268.970000 603.040000,280.830000 596.150000)
0	37	133	1490	1	0	0	0	0	66	0	0	0	Straight	0.0	1523.17	1589.17	LINESTRING(280.830000 596.150000,295.200000 590.930000)
0	38	1490	1489	1	1	323	323	0	58	378	1	0	Left	11.389	1600.56	1978.56	LINESTRING(295.200000 590.930000,292.190000 610.390000)
0	39	1489	1630	1	1	102	102	0	18	118	1	0	Straight	0.0	1978.56	2096.56	LINESTRING(292.190000 610.390000,286.860000 625.770000)
0	40	1630	120	1	1	191	191	0	34	224	1	0	Straight	0.0	2096.56	2320.56	LINESTRING(286.860000 625.770000,284.050000 637.540000)
0	41	120	121	1	1	238	238	0	43	273	1	0	Straight	0.0	2320.56	2593.56	LINESTRING(284.050000 637.540000,281.600000 646.570000)
0	42	121	124	1	1	25	25	0	4	24	1	0	Straight	0.0	2593.56	2617.56	LINESTRING(281.600000 646.570000,280.480000 653.130000)
0	43	124	121	1	1	25	25	0	4	24	0	0	U	45.557	2663.11	2667.11	LINESTRING(280.480000 653.130000,281.600000 646.570000)
0	44	121	126	1	1	74	74	0	13	83	1	0	Right	5.695	2672.81	2755.81	LINESTRING(281.600000 646.570000,279.590000 643.830000)
0	45	126	574	1	1	113	113	0	20	130	1	0	Right	5.695	2761.5	2891.5	LINESTRING(279.590000 643.830000,273.880000 644.790000)
0	46	574	1732	1	1	114	114	0	21	131	1	0	U	45.557	2937.06	3068.06	LINESTRING(273.880000 644.790000,277.100000 640.530000)
0	47	1732	1413	1	1	127	127	0	23	143	1	0	Right	5.695	3073.76	3216.76	LINESTRING(277.100000 640.530000,275.800000 637.510000)
0	48	1413	107	1	1	254	254	0	46	296	1	0	U	45.557	3262.31	3558.31	LINESTRING(275.800000 637.510000,281.060000 640.220000)
0	49	107	108	1	1	33	33	0	6	36	1	0	Straight	0.0	3558.31	3594.31	LINESTRING(281.060000 640.220000,284.310000 645.340000)
0	50	108	107	1	1	33	33	0	6	36	0	0	U	45.557	3639.87	3645.87	LINESTRING(284.310000 645.340000,281.060000 640.220000)
0	51	107	1776	1	1	108	108	0	20	120	1	0	Straight	0.0	3645.87	3765.87	LINESTRING(281.060000 640.220000,282.150000 634.480000)
0	52	1776	1732	1	1	62	62	0	11	71	1	0	U	45.557	3811.43	3882.43	LINESTRING(282.150000 634.480000,277.100000 640.530000)
0	53	1732	1776	1	1	62	62	0	11	71	0	0	U	45.557	3927.98	3938.98	LINESTRING(277.100000 640.530000,282.150000 634.480000)
0	54	1776	1630	1	1	136	136	0	25	155	1	0	Straight	0.0	3938.98	4093.98	LINESTRING(282.150000 634.480000,286.860000 625.770000)
0	55	1630	1489	1	1	102	102	0	18	118	0	0	Straight	0.0	4093.98	4111.98	LINESTRING(286.860000 625.770000,292.190000 610.390000)
0	56	1489	450	1	1	83	83	0	15	95	1	0	U	45.557	4157.54	4252.54	LINESTRING(292.190000 610.390000,294.890000 620.360000)
0	57	450	451	1	1	281	281	0	51	331	1	0	Straight	0.0	4252.54	4583.54	LINESTRING(294.890000 620.360000,298.090000 626.400000)
0	58	451	97	1	1	575	575	0	103	673	1	0	Straight	0.0	4583.54	5256.54	LINESTRING(298.090000 626.400000,298.360000 631.790000)
0	59	97	1838	1	1	48	48	0	9	49	1	0	Straight	0.0	5256.54	5305.54	LINESTRING(298.360000 631.790000,298.980000 637.560000)
0	60	1838	97	1	1	48	48	0	9	49	0	0	U	45.557	5351.1	5360.1	LINESTRING(298.980000 637.560000,298.360000 631.790000)
0	61	97	98	1	1	95	95	0	17	107	1	0	Straight	0.0	5360.1	5467.1	LINESTRING(298.360000 631.790000,295.480000 627.290000)
0	62	98	450	1	1	185	185	0	33	213	1	0	Straight	0.0	5467.1	5680.1	LINESTRING(295.480000 627.290000,294.890000 620.360000)
0	63	450	1489	1	1	83	83	0	15	95	0	0	Straight	0.0	5680.1	5695.1	LINESTRING(294.890000 620.360000,292.190000 610.390000)
