Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	31760.8	28959	723.906	2.593	1.07692	0.00578939	800.514	17905.5	0.200232	0.18122	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	616	1	0	0	0	0	3	0	0	0	Straight	0.0	419.0	422.0	379.09 271.73,363.03 281.58
0	4	616	607	1	0	0	0	0	22	0	0	0	Straight	0.0	422.0	444.0	363.03 281.58,341.47 281.28
0	5	607	606	1	0	0	0	0	27	0	0	0	Right	5.695	449.695	476.695	341.47 281.28,340.37 289.02
0	6	606	563	1	0	0	0	0	19	0	0	0	Right	5.695	482.39	501.39	340.37 289.02,351.45 293.73
0	7	563	558	0	1	78	78	0	14	84	1	0	Straight	0.0	501.39	585.39	351.45 293.73,362.77 297.07
0	8	558	554	1	1	56	56	0	10	60	1	0	U	45.557	630.947	690.947	362.77 297.07,347.04 297.52
0	9	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	690.947	726.947	347.04 297.52,331.4 298.1
0	10	1553	957	1	0	0	0	0	51	0	0	0	Straight	0.0	726.947	777.947	331.4 298.1,316.93 302.6
0	11	957	557	1	0	0	0	0	28	0	0	0	Straight	0.0	777.947	805.947	316.93 302.6,303.93 309.49
0	12	557	1971	1	0	0	0	0	16	0	0	0	Right	5.695	811.642	827.642	303.93 309.49,305.81 320.42
0	13	1971	458	1	0	0	0	0	15	0	0	0	Left	11.389	839.031	854.031	305.81 320.42,292.81 327.99
0	14	458	459	1	0	0	0	0	34	0	0	0	Right	5.695	859.726	893.726	292.81 327.99,290.76 342.77
0	15	459	1678	1	0	0	0	0	11	0	0	0	Right	5.695	899.421	910.421	290.76 342.77,302.47 357.35
0	16	1678	413	1	0	0	0	0	18	0	0	0	Left	11.389	921.81	939.81	302.47 357.35,289.67 363.76
0	17	413	396	1	0	0	0	0	28	0	0	0	Straight	0.0	939.81	967.81	289.67 363.76,284.82 374.87
0	18	396	395	1	0	0	0	0	28	0	0	0	Straight	0.0	967.81	995.81	284.82 374.87,280.37 386.23
0	19	395	352	1	0	0	0	0	33	0	0	0	Straight	0.0	995.81	1028.81	280.37 386.23,275.86 397.77
0	20	352	348	1	0	0	0	0	2	0	0	0	Straight	0.0	1028.81	1030.81	275.86 397.77,278.31 408.08
0	21	348	347	1	1	375	375	0	67	437	1	0	Straight	0.0	1030.81	1467.81	278.31 408.08,290.11 418.85
0	22	347	249	1	0	0	0	0	73	0	0	0	Straight	0.0	1467.81	1540.81	290.11 418.85,295.02 431.03
0	23	249	248	1	0	0	0	0	6	0	0	0	Straight	0.0	1540.81	1546.81	295.02 431.03,302.75 437.83
0	24	248	235	0	0	0	0	0	8	0	0	0	Straight	0.0	1546.81	1554.81	302.75 437.83,310.88 442.53
0	25	235	236	0	0	0	0	0	24	0	0	0	Straight	0.0	1554.81	1578.81	310.88 442.53,323.05 445.11
0	26	236	1675	0	0	0	0	0	32	0	0	0	Straight	0.0	1578.81	1610.81	323.05 445.11,334.85 453.49
0	27	1675	180	0	0	0	0	0	32	0	0	0	Straight	0.0	1610.81	1642.81	334.85 453.49,348.05 459.75
0	28	180	178	0	0	0	0	0	31	0	0	0	Straight	0.0	1642.81	1673.81	348.05 459.75,360.88 464.36
0	29	178	1647	1	0	0	0	0	12	0	0	0	Straight	0.0	1673.81	1685.81	360.88 464.36,378.35 466.91
0	30	1647	158	1	0	0	0	0	5	0	0	0	Straight	0.0	1685.81	1690.81	378.35 466.91,395.61 469.28
0	31	158	157	1	0	0	0	0	2	0	0	0	Straight	0.0	1690.81	1692.81	395.61 469.28,412.48 468.73
0	32	157	583	1	0	0	0	0	5	0	0	0	Straight	0.0	1692.81	1697.81	412.48 468.73,434.1 466.02
0	33	583	584	0	0	0	0	0	55	0	0	0	Left	11.389	1709.2	1764.2	434.1 466.02,423.02 484.94
0	34	584	1967	0	0	0	0	0	5	0	0	0	Straight	0.0	1764.2	1769.2	423.02 484.94,412.26 497.2
0	35	1967	542	0	0	0	0	0	1	0	0	0	Straight	0.0	1769.2	1770.2	412.26 497.2,401.67 509.5
0	36	542	147	0	0	0	0	0	3	0	0	0	Straight	0.0	1770.2	1773.2	401.67 509.5,394.26 523.73
0	37	147	1519	0	0	0	0	0	1	0	0	0	Straight	0.0	1773.2	1774.2	394.26 523.73,392.15 541.14
