Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	2	31729.5	28717	7201.49	0	0	1303.65	1	19257.5	0.0947711	0.2179	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	LINESTRING(379.090000 271.730000,393.810000 293.840000)
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	494.084	497.084	LINESTRING(393.810000 293.840000,381.850000 299.240000)
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	497.084	504.084	LINESTRING(381.850000 299.240000,362.770000 297.070000)
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	504.084	514.084	LINESTRING(362.770000 297.070000,347.040000 297.520000)
0	7	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	514.084	550.084	LINESTRING(347.040000 297.520000,331.400000 298.100000)
0	8	1553	957	1	0	0	0	0	51	0	0	0	Straight	0.0	550.084	601.084	LINESTRING(331.400000 298.100000,316.930000 302.600000)
0	9	957	557	1	0	0	0	0	28	0	0	0	Straight	0.0	601.084	629.084	LINESTRING(316.930000 302.600000,303.930000 309.490000)
0	10	557	1971	1	0	0	0	0	16	0	0	0	Right	5.695	634.779	650.779	LINESTRING(303.930000 309.490000,305.810000 320.420000)
0	11	1971	458	1	0	0	0	0	15	0	0	0	Left	11.389	662.168	677.168	LINESTRING(305.810000 320.420000,292.810000 327.990000)
0	12	458	459	1	0	0	0	0	34	0	0	0	Right	5.695	682.863	716.863	LINESTRING(292.810000 327.990000,290.760000 342.770000)
0	13	459	1678	1	0	0	0	0	11	0	0	0	Right	5.695	722.558	733.558	LINESTRING(290.760000 342.770000,302.470000 357.350000)
0	14	1678	388	1	0	0	0	0	35	0	0	0	Straight	0.0	733.558	768.558	LINESTRING(302.470000 357.350000,321.760000 366.070000)
0	15	388	389	1	0	0	0	0	17	0	0	0	Straight	0.0	768.558	785.558	LINESTRING(321.760000 366.070000,336.770000 371.160000)
0	16	389	1486	1	1	100	100	0	18	118	1	0	Straight	0.0	785.558	903.558	LINESTRING(336.770000 371.160000,340.940000 378.750000)
0	17	1486	349	1	0	0	0	0	28	0	0	0	Left	11.389	914.947	942.947	LINESTRING(340.940000 378.750000,338.680000 384.290000)
0	18	349	1949	1	1	136	136	0	24	154	1	0	Right	5.695	948.642	1102.64	LINESTRING(338.680000 384.290000,343.510000 386.480000)
0	19	1949	797	1	0	0	0	0	23	0	0	0	Right	5.695	1108.34	1131.34	LINESTRING(343.510000 386.480000,347.620000 383.370000)
0	20	797	798	1	1	133	133	0	24	154	1	0	Left	11.389	1142.73	1296.73	LINESTRING(347.620000 383.370000,356.000000 386.130000)
0	21	798	327	1	0	0	0	0	18	0	0	0	Right	5.695	1302.42	1320.42	LINESTRING(356.000000 386.130000,363.410000 378.720000)
0	22	327	328	1	0	0	0	0	18	0	0	0	Left	11.389	1331.81	1349.81	LINESTRING(363.410000 378.720000,373.700000 385.660000)
0	23	328	308	1	1	100	100	0	18	118	1	0	Left	11.389	1361.2	1479.2	LINESTRING(373.700000 385.660000,374.300000 393.810000)
0	24	308	309	1	0	0	0	0	18	0	0	0	Straight	0.0	1479.2	1497.2	LINESTRING(374.300000 393.810000,378.840000 399.410000)
0	25	309	1843	1	1	170	170	0	31	201	1	0	Right	5.695	1502.89	1703.89	LINESTRING(378.840000 399.410000,384.020000 399.450000)
0	26	1843	270	1	0	0	0	0	17	0	0	0	Right	5.695	1709.59	1726.59	LINESTRING(384.020000 399.450000,384.400000 394.110000)
0	27	270	271	1	0	0	0	0	17	0	0	0	U	45.557	1772.15	1789.15	LINESTRING(384.400000 394.110000,381.170000 398.410000)
0	28	271	250	1	1	42	42	0	8	48	1	0	Right	5.695	1794.84	1842.84	LINESTRING(381.170000 398.410000,392.000000 402.100000)
0	29	250	246	1	0	0	0	0	11	0	0	0	Left	11.389	1854.23	1865.23	LINESTRING(392.000000 402.100000,391.810000 413.350000)
0	30	246	247	1	0	0	0	0	46	0	0	0	Right	5.695	1870.92	1916.92	LINESTRING(391.810000 413.350000,413.220000 419.390000)
0	31	247	639	1	0	0	0	0	7	0	0	0	Straight	0.0	1916.92	1923.92	LINESTRING(413.220000 419.390000,434.470000 425.140000)
0	32	639	1936	1	0	0	0	0	6	0	0	0	Straight	0.0	1923.92	1929.92	LINESTRING(434.470000 425.140000,455.410000 442.150000)
0	33	1936	2025	1	0	0	0	0	6	0	0	0	Straight	0.0	1929.92	1935.92	LINESTRING(455.410000 442.150000,471.460000 459.180000)
0	34	2025	1635	1	0	0	0	0	20	0	0	0	Straight	0.0	1935.92	1955.92	LINESTRING(471.460000 459.180000,487.420000 476.420000)
0	35	1635	1320	1	0	0	0	0	4	0	0	0	Straight	0.0	1955.92	1959.92	LINESTRING(487.420000 476.420000,500.310000 492.950000)
0	36	1320	1352	1	0	0	0	0	23	0	0	0	Straight	0.0	1959.92	1982.92	LINESTRING(500.310000 492.950000,513.690000 505.610000)
0	37	1352	1353	1	0	0	0	0	21	0	0	0	Straight	0.0	1982.92	2003.92	LINESTRING(513.690000 505.610000,529.470000 507.540000)
0	38	1353	166	1	1	64	64	0	11	71	1	0	Right	5.695	2009.62	2080.62	LINESTRING(529.470000 507.540000,534.450000 499.430000)
0	39	166	165	1	0	0	0	0	22	0	0	0	Left	11.389	2092.01	2114.01	LINESTRING(534.450000 499.430000,541.450000 505.270000)
0	40	165	1348	1	1	49	49	0	9	49	1	0	Straight	0.0	2114.01	2163.01	LINESTRING(541.450000 505.270000,543.190000 514.310000)
0	41	1348	152	1	0	0	0	0	11	0	0	0	Straight	0.0	2163.01	2174.01	LINESTRING(543.190000 514.310000,557.030000 525.390000)
0	42	152	1764	1	0	0	0	0	18	0	0	0	Straight	0.0	2174.01	2192.01	LINESTRING(557.030000 525.390000,568.580000 542.320000)
0	43	1764	150	1	1	166	166	0	30	190	1	0	Straight	0.0	2192.01	2382.01	LINESTRING(568.580000 542.320000,577.770000 555.730000)
0	44	150	552	1	0	0	0	0	33	0	0	0	Straight	0.0	2382.01	2415.01	LINESTRING(577.770000 555.730000,586.600000 569.530000)
0	45	552	553	1	1	143	143	0	26	166	1	0	Straight	0.0	2415.01	2581.01	LINESTRING(586.600000 569.530000,595.150000 573.810000)
0	46	553	1412	1	1	301	301	0	54	354	1	0	Straight	0.0	2581.01	2935.01	LINESTRING(595.150000 573.810000,599.510000 575.360000)
0	47	1412	1380	1	0	0	0	0	13	0	0	0	Right	5.695	2940.7	2953.7	LINESTRING(599.510000 575.360000,601.920000 573.930000)
0	48	1380	552	1	0	0	0	0	63	0	0	0	Right	5.695	2959.4	3022.4	LINESTRING(601.920000 573.930000,586.600000 569.530000)
0	49	552	1914	1	0	0	0	0	13	0	0	0	Straight	0.0	3022.4	3035.4	LINESTRING(586.600000 569.530000,573.370000 576.210000)
0	50	1914	527	1	0	0	0	0	89	0	0	0	Straight	0.0	3035.4	3124.4	LINESTRING(573.370000 576.210000,554.860000 576.260000)
0	51	527	113	1	0	0	0	0	69	0	0	0	Straight	0.0	3124.4	3193.4	LINESTRING(554.860000 576.260000,535.160000 574.310000)
0	52	113	109	1	0	0	0	0	20	0	0	0	Right	5.695	3199.09	3219.09	LINESTRING(535.160000 574.310000,541.240000 586.320000)
0	53	109	110	1	0	0	0	0	14	0	0	0	Straight	0.0	3219.09	3233.09	LINESTRING(541.240000 586.320000,548.180000 598.560000)
0	54	110	85	1	0	0	0	0	41	0	0	0	Straight	0.0	3233.09	3274.09	LINESTRING(548.180000 598.560000,554.700000 610.190000)
0	55	85	2130	1	1	19	19	0	3	13	1	0	Straight	0.0	3274.09	3287.09	LINESTRING(554.700000 610.190000,558.100000 613.250000)
0	56	2130	85	1	1	19	19	0	3	13	0	0	U	45.557	3332.65	3335.65	LINESTRING(558.100000 613.250000,554.700000 610.190000)
0	57	85	71	1	0	0	0	0	38	0	0	0	U	45.557	3381.21	3419.21	LINESTRING(554.700000 610.190000,560.070000 621.260000)
0	58	71	72	1	1	46	46	0	8	48	1	0	Straight	0.0	3419.21	3467.21	LINESTRING(560.070000 621.260000,572.640000 628.800000)
0	59	72	2192	1	1	165	165	0	30	190	0	0	Straight	0.0	3467.21	3497.21	LINESTRING(572.640000 628.800000,575.410000 633.290000)
0	60	2192	72	1	1	165	165	0	30	190	1	0	U	45.557	3542.76	3732.76	LINESTRING(575.410000 633.290000,572.640000 628.800000)
0	61	72	71	1	1	46	46	0	8	48	0	0	Straight	0.0	3732.76	3740.76	LINESTRING(572.640000 628.800000,560.070000 621.260000)
0	62	71	73	1	0	0	0	0	14	0	0	0	Straight	0.0	3740.76	3754.76	LINESTRING(560.070000 621.260000,549.050000 623.330000)
0	63	73	56	1	0	0	0	0	30	0	0	0	Straight	0.0	3754.76	3784.76	LINESTRING(549.050000 623.330000,536.360000 618.440000)
