Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	2	32442.2	29424	447.37	1.924	1	0	1460.79	20628.5	0.170786	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	1327	1	0	0	0	0	47	0	0	0	Straight	0.0	870.695	917.695	530.55 425.07,550.44 438.36
0	14	1327	1304	1	0	0	0	0	303	0	0	0	Straight	0.0	917.695	1220.69	550.44 438.36,575.38 435.59
0	15	1304	125	1	0	0	0	0	159	0	0	0	Straight	0.0	1220.69	1379.69	575.38 435.59,602.54 424.21
0	16	125	127	1	0	0	0	0	4	0	0	0	Straight	0.0	1379.69	1383.69	602.54 424.21,621.17 409.05
0	17	127	122	0	0	0	0	0	9	0	0	0	Left	11.389	1395.08	1404.08	621.17 409.05,627.73 421.26
0	18	122	521	0	0	0	0	0	16	0	0	0	Straight	0.0	1404.08	1420.08	627.73 421.26,638.17 430.92
0	19	521	523	1	0	0	0	0	31	0	0	0	Straight	0.0	1420.08	1451.08	638.17 430.92,657.35 441.04
0	20	523	2007	1	1	202	202	0	36	236	0	0	Straight	0.0	1451.08	1487.08	657.35 441.04,661.55 440.85
0	21	2007	523	1	1	202	202	0	36	236	1	0	U	45.557	1532.64	1768.64	661.55 440.85,657.35 441.04
0	22	523	1733	1	0	0	0	0	139	0	0	0	U	45.557	1814.2	1953.2	657.35 441.04,668.6 444.77
0	23	1733	1839	1	1	624	624	0	112	732	1	0	Straight	0.0	1953.2	2685.2	668.6 444.77,674.04 448.33
0	24	1839	1912	1	1	351	351	0	63	413	1	0	Left	11.389	2696.59	3109.59	674.04 448.33,672.0 450.93
0	25	1912	1712	1	1	228	228	0	41	261	1	0	Right	5.695	3115.28	3376.28	672.0 450.93,686.46 460.32
0	26	1712	1772	1	1	379	379	0	68	438	1	0	Straight	0.0	3376.28	3814.28	686.46 460.32,700.66 470.28
0	27	1772	369	1	1	217	217	0	39	249	1	0	Straight	0.0	3814.28	4063.28	700.66 470.28,712.16 476.46
0	28	369	36	1	1	122	122	0	22	142	1	0	Straight	0.0	4063.28	4205.28	712.16 476.46,720.92 482.28
0	29	36	302	1	1	115	115	0	21	131	1	0	Straight	0.0	4205.28	4336.28	720.92 482.28,725.6 487.82
0	30	302	297	1	1	90	90	0	16	106	0	0	Straight	0.0	4336.28	4352.28	725.6 487.82,728.01 488.74
0	31	297	1894	1	1	141	141	0	25	165	0	0	Straight	0.0	4352.28	4377.28	728.01 488.74,734.0 487.22
0	32	1894	297	1	1	141	141	0	25	165	1	0	U	45.557	4422.84	4587.84	734.0 487.22,728.01 488.74
0	33	297	302	1	1	90	90	0	16	106	1	0	Straight	0.0	4587.84	4693.84	728.01 488.74,725.6 487.82
0	34	302	27	1	1	216	216	0	39	249	1	0	U	45.557	4739.4	4988.4	725.6 487.82,731.03 492.76
0	35	27	26	1	1	166	166	0	30	190	1	0	Right	5.695	4994.09	5184.09	731.03 492.76,735.14 490.32
0	36	26	292	1	1	73	73	0	13	83	1	0	Left	11.389	5195.48	5278.48	735.14 490.32,742.11 494.14
