Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	2	32473.3	28806	102.955	0	1	0	1276.94	19365	0.21201	0.0930386	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	983	1	0	0	0	0	4	0	0	0	Left	11.389	646.084	650.084	413.37 313.35,404.91 318.79
0	6	983	1998	1	0	0	0	0	14	0	0	0	Straight	0.0	650.084	664.084	404.91 318.79,397.59 322.51
0	7	1998	833	1	0	0	0	0	26	0	0	0	Right	5.695	669.779	695.779	397.59 322.51,398.59 331.53
0	8	833	824	1	0	0	0	0	36	0	0	0	Left	11.389	707.168	743.168	398.59 331.53,393.53 335.8
0	9	824	351	1	0	0	0	0	17	0	0	0	Straight	0.0	743.168	760.168	393.53 335.8,386.07 342.09
0	10	351	1425	1	1	96	96	0	17	107	1	0	Straight	0.0	760.168	867.168	386.07 342.09,373.46 345.37
0	11	1425	1423	1	0	0	0	0	26	0	0	0	Right	5.695	872.863	898.863	373.46 345.37,373.38 355.71
0	12	1423	1462	1	0	0	0	0	18	0	0	0	Straight	0.0	898.863	916.863	373.38 355.71,379.75 363.08
0	13	1462	776	1	0	0	0	0	35	0	0	0	Left	11.389	928.252	963.252	379.75 363.08,373.26 372.41
0	14	776	327	1	0	0	0	0	17	0	0	0	Straight	0.0	963.252	980.252	373.26 372.41,363.41 378.72
0	15	327	328	1	0	0	0	0	18	0	0	0	Right	5.695	985.947	1003.95	363.41 378.72,373.7 385.66
0	16	328	308	1	1	100	100	0	18	118	1	0	Left	11.389	1015.34	1133.34	373.7 385.66,374.3 393.81
0	17	308	309	1	0	0	0	0	18	0	0	0	Straight	0.0	1133.34	1151.34	374.3 393.81,378.84 399.41
0	18	309	1843	1	1	170	170	0	31	201	1	0	Right	5.695	1157.03	1358.03	378.84 399.41,384.02 399.45
0	19	1843	270	1	0	0	0	0	17	0	0	0	Right	5.695	1363.73	1380.73	384.02 399.45,384.4 394.11
0	20	270	271	1	0	0	0	0	17	0	0	0	U	45.557	1426.28	1443.28	384.4 394.11,381.17 398.41
0	21	271	250	1	1	42	42	0	8	48	1	0	Right	5.695	1448.98	1496.98	381.17 398.41,392.0 402.1
0	22	250	246	1	0	0	0	0	11	0	0	0	Left	11.389	1508.37	1519.37	392.0 402.1,391.81 413.35
0	23	246	247	1	0	0	0	0	46	0	0	0	Right	5.695	1525.06	1571.06	391.81 413.35,413.22 419.39
0	24	247	639	1	0	0	0	0	7	0	0	0	Straight	0.0	1571.06	1578.06	413.22 419.39,434.47 425.14
0	25	639	1936	1	0	0	0	0	6	0	0	0	Straight	0.0	1578.06	1584.06	434.47 425.14,455.41 442.15
0	26	1936	2025	1	0	0	0	0	6	0	0	0	Straight	0.0	1584.06	1590.06	455.41 442.15,471.46 459.18
0	27	2025	1635	1	0	0	0	0	20	0	0	0	Straight	0.0	1590.06	1610.06	471.46 459.18,487.42 476.42
0	28	1635	1320	1	0	0	0	0	4	0	0	0	Straight	0.0	1610.06	1614.06	487.42 476.42,500.31 492.95
0	29	1320	1352	1	0	0	0	0	23	0	0	0	Straight	0.0	1614.06	1637.06	500.31 492.95,513.69 505.61
0	30	1352	1353	1	0	0	0	0	21	0	0	0	Straight	0.0	1637.06	1658.06	513.69 505.61,529.47 507.54
0	31	1353	166	1	1	64	64	0	11	71	1	0	Right	5.695	1663.76	1734.76	529.47 507.54,534.45 499.43
0	32	166	165	1	0	0	0	0	22	0	0	0	Left	11.389	1746.15	1768.15	534.45 499.43,541.45 505.27
0	33	165	1348	1	1	49	49	0	9	49	1	0	Straight	0.0	1768.15	1817.15	541.45 505.27,543.19 514.31
0	34	1348	152	1	0	0	0	0	11	0	0	0	Straight	0.0	1817.15	1828.15	543.19 514.31,557.03 525.39
0	35	152	1764	1	0	0	0	0	18	0	0	0	Straight	0.0	1828.15	1846.15	557.03 525.39,568.58 542.32
0	36	1764	150	1	1	166	166	0	30	190	1	0	Straight	0.0	1846.15	2036.15	568.58 542.32,577.77 555.73
