Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	1	10654.5	10273	7200.63	0	0	1509.33	1	3275	0	0.0107679	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	LINESTRING(446.000000 251.770000,421.880000 250.660000)
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	LINESTRING(421.880000 250.660000,401.590000 256.480000)
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	LINESTRING(401.590000 256.480000,379.090000 271.730000)
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	LINESTRING(379.090000 271.730000,393.810000 293.840000)
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	LINESTRING(393.810000 293.840000,413.370000 313.350000)
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	LINESTRING(413.370000 313.350000,435.110000 331.040000)
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	LINESTRING(435.110000 331.040000,459.710000 345.200000)
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	LINESTRING(459.710000 345.200000,472.620000 354.790000)
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	LINESTRING(472.620000 354.790000,485.130000 364.600000)
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	LINESTRING(485.130000 364.600000,504.740000 377.850000)
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	LINESTRING(504.740000 377.850000,513.150000 392.610000)
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	LINESTRING(513.150000 392.610000,521.020000 407.560000)
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	LINESTRING(521.020000 407.560000,530.550000 425.070000)
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	LINESTRING(530.550000 425.070000,540.530000 441.930000)
0	14	641	173	1	0	0	0	0	40	0	0	0	Straight	0.0	891.695	931.695	LINESTRING(540.530000 441.930000,551.700000 453.380000)
0	15	173	163	1	0	0	0	0	19	0	0	0	Straight	0.0	931.695	950.695	LINESTRING(551.700000 453.380000,563.980000 460.370000)
0	16	163	1885	1	0	0	0	0	19	0	0	0	Straight	0.0	950.695	969.695	LINESTRING(563.980000 460.370000,576.620000 462.440000)
0	17	1885	149	1	0	0	0	0	47	0	0	0	Straight	0.0	969.695	1016.69	LINESTRING(576.620000 462.440000,587.420000 464.580000)
0	18	149	148	1	0	0	0	0	48	0	0	0	Straight	0.0	1016.69	1064.69	LINESTRING(587.420000 464.580000,597.330000 468.450000)
0	19	148	1697	1	0	0	0	0	36	0	0	0	Straight	0.0	1064.69	1100.69	LINESTRING(597.330000 468.450000,603.560000 475.060000)
0	20	1697	93	1	0	0	0	0	17	0	0	0	Straight	0.0	1100.69	1117.69	LINESTRING(603.560000 475.060000,604.820000 484.700000)
0	21	93	92	1	0	0	0	0	36	0	0	0	Straight	0.0	1117.69	1153.69	LINESTRING(604.820000 484.700000,606.480000 491.810000)
0	22	92	87	1	1	204	204	0	37	237	1	0	Straight	0.0	1153.69	1390.69	LINESTRING(606.480000 491.810000,604.160000 496.930000)
0	23	87	86	1	0	0	0	0	18	0	0	0	Straight	0.0	1390.69	1408.69	LINESTRING(604.160000 496.930000,600.720000 500.910000)
0	24	86	438	1	1	201	201	0	36	236	1	0	U	45.557	1454.25	1690.25	LINESTRING(600.720000 500.910000,600.740000 495.560000)
0	25	438	77	1	0	0	0	0	17	0	0	0	Right	5.695	1695.95	1712.95	LINESTRING(600.740000 495.560000,593.140000 499.460000)
0	26	77	62	1	0	0	0	0	17	0	0	0	Straight	0.0	1712.95	1729.95	LINESTRING(593.140000 499.460000,584.290000 502.660000)
0	27	62	63	1	1	204	204	0	37	237	1	0	Left	11.389	1741.34	1978.34	LINESTRING(584.290000 502.660000,585.450000 496.820000)
0	28	63	64	1	0	0	0	0	13	0	0	0	Right	5.695	1984.03	1997.03	LINESTRING(585.450000 496.820000,577.480000 495.860000)
0	29	64	59	1	0	0	0	0	4	0	0	0	Straight	0.0	1997.03	2001.03	LINESTRING(577.480000 495.860000,568.440000 496.920000)
0	30	59	58	1	0	0	0	0	17	0	0	0	Straight	0.0	2001.03	2018.03	LINESTRING(568.440000 496.920000,557.210000 492.350000)
0	31	58	1342	1	0	0	0	0	17	0	0	0	Left	11.389	2029.42	2046.42	LINESTRING(557.210000 492.350000,554.690000 468.380000)
0	32	1342	1351	1	1	1853	1853	0	334	2184	1	0	U	45.557	2091.98	4275.98	LINESTRING(554.690000 468.380000,548.860000 494.300000)
0	33	1351	1294	1	0	0	0	0	4	0	0	0	Straight	0.0	4275.98	4279.98	LINESTRING(548.860000 494.300000,543.240000 520.060000)
0	34	1294	1727	1	0	0	0	0	60	0	0	0	Straight	0.0	4279.98	4339.98	LINESTRING(543.240000 520.060000,538.110000 531.570000)
0	35	1727	1726	1	1	501	501	0	90	590	1	0	Straight	0.0	4339.98	4929.98	LINESTRING(538.110000 531.570000,533.440000 542.280000)
0	36	1726	2054	1	0	0	0	0	93	0	0	0	Straight	0.0	4929.98	5022.98	LINESTRING(533.440000 542.280000,527.190000 551.750000)
0	37	2054	1909	1	0	0	0	0	62	0	0	0	Straight	0.0	5022.98	5084.98	LINESTRING(527.190000 551.750000,521.350000 561.450000)
0	38	1909	1908	1	0	0	0	0	140	0	0	0	Straight	0.0	5084.98	5224.98	LINESTRING(521.350000 561.450000,515.200000 570.740000)
0	39	1908	1420	1	0	0	0	0	35	0	0	0	Straight	0.0	5224.98	5259.98	LINESTRING(515.200000 570.740000,508.220000 579.020000)
0	40	1420	1349	1	0	0	0	0	45	0	0	0	Straight	0.0	5259.98	5304.98	LINESTRING(508.220000 579.020000,501.310000 587.090000)
0	41	1349	1350	1	1	1091	1091	0	196	1286	1	0	Straight	0.0	5304.98	6590.98	LINESTRING(501.310000 587.090000,498.470000 588.900000)
0	42	1350	1349	1	1	1091	1091	0	196	1286	0	0	U	45.557	6636.53	6832.53	LINESTRING(498.470000 588.900000,501.310000 587.090000)
0	43	1349	1365	1	0	0	0	0	246	0	0	0	U	45.557	6878.09	7124.09	LINESTRING(501.310000 587.090000,495.440000 596.200000)
0	44	1365	1366	1	1	247	247	0	44	284	1	0	Straight	0.0	7124.09	7408.09	LINESTRING(495.440000 596.200000,489.620000 605.100000)
0	45	1366	1331	1	0	0	0	0	10	0	0	0	U	45.557	7453.65	7463.65	LINESTRING(489.620000 605.100000,515.690000 598.290000)
0	46	1331	215	1	0	0	0	0	166	0	0	0	Left	11.389	7475.04	7641.04	LINESTRING(515.690000 598.290000,525.000000 618.680000)
0	47	215	1404	1	0	0	0	0	138	0	0	0	Right	5.695	7646.73	7784.73	LINESTRING(525.000000 618.680000,534.420000 601.460000)
0	48	1404	24	0	1	32	32	0	11	71	1	0	Straight	0.0	7784.73	7855.73	LINESTRING(534.420000 601.460000,535.450000 596.490000)
0	49	24	23	1	0	0	0	0	6	0	0	0	Straight	0.0	7855.73	7861.73	LINESTRING(535.450000 596.490000,544.610000 585.630000)
0	50	23	1821	1	0	0	0	0	205	0	0	0	Straight	0.0	7861.73	8066.73	LINESTRING(544.610000 585.630000,556.490000 565.170000)
0	51	1821	1629	1	0	0	0	0	36	0	0	0	Straight	0.0	8066.73	8102.73	LINESTRING(556.490000 565.170000,566.820000 548.860000)
0	52	1629	435	1	1	94	94	0	17	107	1	0	Straight	0.0	8102.73	8209.73	LINESTRING(566.820000 548.860000,576.460000 538.740000)
0	53	435	1582	1	0	0	0	0	17	0	0	0	Straight	0.0	8209.73	8226.73	LINESTRING(576.460000 538.740000,586.670000 534.500000)
0	54	1582	67	1	1	305	305	0	55	355	1	0	Right	5.695	8232.43	8587.43	LINESTRING(586.670000 534.500000,586.630000 526.240000)
0	55	67	465	1	0	0	0	0	18	0	0	0	Straight	0.0	8587.43	8605.43	LINESTRING(586.630000 526.240000,588.310000 515.080000)
0	56	465	466	1	0	0	0	0	69	0	0	0	Straight	0.0	8605.43	8674.43	LINESTRING(588.310000 515.080000,589.490000 505.290000)
0	57	466	1484	1	0	0	0	0	18	0	0	0	Straight	0.0	8674.43	8692.43	LINESTRING(589.490000 505.290000,598.790000 497.120000)
0	58	1484	112	1	0	0	0	0	36	0	0	0	Right	5.695	8698.12	8734.12	LINESTRING(598.790000 497.120000,597.550000 487.020000)
0	59	112	525	1	1	108	108	0	19	119	1	0	Right	5.695	8739.82	8858.82	LINESTRING(597.550000 487.020000,590.080000 482.590000)
0	60	525	524	1	0	0	0	0	28	0	0	0	Left	11.389	8870.21	8898.21	LINESTRING(590.080000 482.590000,592.480000 474.810000)
0	61	524	1567	1	1	300	300	0	54	354	1	0	Right	5.695	8903.9	9257.9	LINESTRING(592.480000 474.810000,588.490000 468.300000)
0	62	1567	149	1	1	109	109	0	20	120	1	0	Straight	0.0	9257.9	9377.9	LINESTRING(588.490000 468.300000,587.420000 464.580000)
