Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	1	10674.7	10333	360.566	0	1	0	1509.33	3275	0.0107679	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	1327	1	0	0	0	0	47	0	0	0	Straight	0.0	870.695	917.695	530.55 425.07,550.44 438.36
0	14	1327	1342	1	0	0	0	0	294	0	0	0	Left	11.389	929.084	1223.08	550.44 438.36,554.69 468.38
0	15	1342	1351	1	1	1853	1853	0	334	2184	1	0	Straight	0.0	1223.08	3407.08	554.69 468.38,548.86 494.3
0	16	1351	1294	1	0	0	0	0	4	0	0	0	Straight	0.0	3407.08	3411.08	548.86 494.3,543.24 520.06
0	17	1294	1727	1	0	0	0	0	60	0	0	0	Straight	0.0	3411.08	3471.08	543.24 520.06,538.11 531.57
0	18	1727	1726	1	1	501	501	0	90	590	1	0	Straight	0.0	3471.08	4061.08	538.11 531.57,533.44 542.28
0	19	1726	2054	1	0	0	0	0	93	0	0	0	Straight	0.0	4061.08	4154.08	533.44 542.28,527.19 551.75
0	20	2054	1909	1	0	0	0	0	62	0	0	0	Straight	0.0	4154.08	4216.08	527.19 551.75,521.35 561.45
0	21	1909	1908	1	0	0	0	0	140	0	0	0	Straight	0.0	4216.08	4356.08	521.35 561.45,515.2 570.74
0	22	1908	1420	1	0	0	0	0	35	0	0	0	Straight	0.0	4356.08	4391.08	515.2 570.74,508.22 579.02
0	23	1420	1349	1	0	0	0	0	45	0	0	0	Straight	0.0	4391.08	4436.08	508.22 579.02,501.31 587.09
0	24	1349	1350	1	1	1091	1091	0	196	1286	1	0	Straight	0.0	4436.08	5722.08	501.31 587.09,498.47 588.9
0	25	1350	1349	1	1	1091	1091	0	196	1286	0	0	U	45.557	5767.64	5963.64	498.47 588.9,501.31 587.09
0	26	1349	1365	1	0	0	0	0	246	0	0	0	U	45.557	6009.2	6255.2	501.31 587.09,495.44 596.2
0	27	1365	1366	1	1	247	247	0	44	284	1	0	Straight	0.0	6255.2	6539.2	495.44 596.2,489.62 605.1
0	28	1366	1331	1	0	0	0	0	10	0	0	0	U	45.557	6584.75	6594.75	489.62 605.1,515.69 598.29
0	29	1331	215	1	0	0	0	0	166	0	0	0	Left	11.389	6606.14	6772.14	515.69 598.29,525.0 618.68
0	30	215	1404	1	0	0	0	0	138	0	0	0	Right	5.695	6777.84	6915.84	525.0 618.68,534.42 601.46
0	31	1404	24	0	1	32	32	0	11	71	1	0	Straight	0.0	6915.84	6986.84	534.42 601.46,535.45 596.49
0	32	24	23	1	0	0	0	0	6	0	0	0	Straight	0.0	6986.84	6992.84	535.45 596.49,544.61 585.63
0	33	23	1821	1	0	0	0	0	205	0	0	0	Straight	0.0	6992.84	7197.84	544.61 585.63,556.49 565.17
0	34	1821	1629	1	0	0	0	0	36	0	0	0	Straight	0.0	7197.84	7233.84	556.49 565.17,566.82 548.86
0	35	1629	435	1	1	94	94	0	17	107	1	0	Straight	0.0	7233.84	7340.84	566.82 548.86,576.46 538.74
0	36	435	1582	1	0	0	0	0	17	0	0	0	Straight	0.0	7340.84	7357.84	576.46 538.74,586.67 534.5
