Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	WJ19	10000	10000	1	10698.1	10271	102.161	0	1	0	1509.33	3275	0.0107679	0	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	0	0	0	0	21	0	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	0	0	0	0	27	0	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	1721	0	0	0	0	0	152	0	0	0	Straight	0.0	482.695	634.695	393.81 293.84,413.37 313.35
0	5	1721	1587	0	0	0	0	0	121	0	0	0	Straight	0.0	634.695	755.695	413.37 313.35,435.11 331.04
0	6	1587	281	0	0	0	0	0	54	0	0	0	Straight	0.0	755.695	809.695	435.11 331.04,459.71 345.2
0	7	281	707	0	0	0	0	0	8	0	0	0	Straight	0.0	809.695	817.695	459.71 345.2,472.62 354.79
0	8	707	703	0	0	0	0	0	5	0	0	0	Straight	0.0	817.695	822.695	472.62 354.79,485.13 364.6
0	9	703	698	0	0	0	0	0	5	0	0	0	Straight	0.0	822.695	827.695	485.13 364.6,504.74 377.85
0	10	698	1946	0	0	0	0	0	6	0	0	0	Straight	0.0	827.695	833.695	504.74 377.85,513.15 392.61
0	11	1946	1607	0	0	0	0	0	13	0	0	0	Straight	0.0	833.695	846.695	513.15 392.61,521.02 407.56
0	12	1607	1326	0	0	0	0	0	24	0	0	0	Straight	0.0	846.695	870.695	521.02 407.56,530.55 425.07
0	13	1326	641	1	0	0	0	0	21	0	0	0	Straight	0.0	870.695	891.695	530.55 425.07,540.53 441.93
0	14	641	173	1	0	0	0	0	40	0	0	0	Straight	0.0	891.695	931.695	540.53 441.93,551.7 453.38
0	15	173	163	1	0	0	0	0	19	0	0	0	Straight	0.0	931.695	950.695	551.7 453.38,563.98 460.37
0	16	163	1885	1	0	0	0	0	19	0	0	0	Straight	0.0	950.695	969.695	563.98 460.37,576.62 462.44
0	17	1885	149	1	0	0	0	0	47	0	0	0	Straight	0.0	969.695	1016.69	576.62 462.44,587.42 464.58
0	18	149	1567	1	1	109	109	0	20	120	1	0	Left	11.389	1028.08	1148.08	587.42 464.58,588.49 468.3
0	19	1567	524	1	1	300	300	0	54	354	1	0	Straight	0.0	1148.08	1502.08	588.49 468.3,592.48 474.81
0	20	524	525	1	0	0	0	0	28	0	0	0	Left	11.389	1513.47	1541.47	592.48 474.81,590.08 482.59
0	21	525	112	1	1	108	108	0	19	119	1	0	Right	5.695	1547.17	1666.17	590.08 482.59,597.55 487.02
0	22	112	1484	1	0	0	0	0	36	0	0	0	Left	11.389	1677.56	1713.56	597.55 487.02,598.79 497.12
0	23	1484	87	1	0	0	0	0	17	0	0	0	Right	5.695	1719.25	1736.25	598.79 497.12,604.16 496.93
0	24	87	92	1	1	204	204	0	37	237	1	0	Right	5.695	1741.95	1978.95	604.16 496.93,606.48 491.81
0	25	92	438	1	0	0	0	0	17	0	0	0	U	45.557	2024.5	2041.5	606.48 491.81,600.74 495.56
0	26	438	77	1	0	0	0	0	17	0	0	0	Straight	0.0	2041.5	2058.5	600.74 495.56,593.14 499.46
0	27	77	62	1	0	0	0	0	17	0	0	0	Straight	0.0	2058.5	2075.5	593.14 499.46,584.29 502.66
0	28	62	63	1	1	204	204	0	37	237	1	0	Left	11.389	2086.89	2323.89	584.29 502.66,585.45 496.82
0	29	63	64	1	0	0	0	0	13	0	0	0	Right	5.695	2329.59	2342.59	585.45 496.82,577.48 495.86
0	30	64	59	1	0	0	0	0	4	0	0	0	Straight	0.0	2342.59	2346.59	577.48 495.86,568.44 496.92
0	31	59	58	1	0	0	0	0	17	0	0	0	Straight	0.0	2346.59	2363.59	568.44 496.92,557.21 492.35
0	32	58	1342	1	0	0	0	0	17	0	0	0	Left	11.389	2374.98	2391.98	557.21 492.35,554.69 468.38
0	33	1342	1351	1	1	1853	1853	0	334	2184	1	0	U	45.557	2437.53	4621.53	554.69 468.38,548.86 494.3
0	34	1351	1294	1	0	0	0	0	4	0	0	0	Straight	0.0	4621.53	4625.53	548.86 494.3,543.24 520.06
0	35	1294	1727	1	0	0	0	0	60	0	0	0	Straight	0.0	4625.53	4685.53	543.24 520.06,538.11 531.57
0	36	1727	1726	1	1	501	501	0	90	590	1	0	Straight	0.0	4685.53	5275.53	538.11 531.57,533.44 542.28
