Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	GPM	10000	10000	3	33127.3	31305	383.818	2.009	1.33333	0	669.083	15105.5	0.056809	0.164594	0
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	1	396	396	0	71	461	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	1825	0	1	118	118	0	21	131	0	0	Straight	0.0	371.0	392.0	421.88 250.66,401.59 256.48
0	2	1825	615	1	1	151	151	0	27	177	0	0	Straight	0.0	392.0	419.0	401.59 256.48,379.09 271.73
0	3	615	1684	0	0	0	0	0	58	0	0	0	Right	5.695	424.695	482.695	379.09 271.73,393.81 293.84
0	4	1684	984	1	0	0	0	0	3	0	0	0	Left	11.389	494.084	497.084	393.81 293.84,381.85 299.24
0	5	984	558	1	0	0	0	0	7	0	0	0	Straight	0.0	497.084	504.084	381.85 299.24,362.77 297.07
0	6	558	554	1	0	0	0	0	10	0	0	0	Straight	0.0	504.084	514.084	362.77 297.07,347.04 297.52
0	7	554	1553	1	0	0	0	0	36	0	0	0	Straight	0.0	514.084	550.084	347.04 297.52,331.4 298.1
0	8	1553	981	1	0	0	0	0	24	0	0	0	Left	11.389	561.473	585.473	331.4 298.1,328.53 291.57
0	9	981	982	1	0	0	0	0	26	0	0	0	Right	5.695	591.168	617.168	328.53 291.57,316.17 291.65
0	10	982	565	1	0	0	0	0	27	0	0	0	Straight	0.0	617.168	644.168	316.17 291.65,309.13 297.04
0	11	565	564	1	0	0	0	0	27	0	0	0	Straight	0.0	644.168	671.168	309.13 297.04,297.85 297.27
0	12	564	621	1	0	0	0	0	53	0	0	0	Straight	0.0	671.168	724.168	297.85 297.27,286.13 294.79
0	13	621	687	1	0	0	0	0	49	0	0	0	Straight	0.0	724.168	773.168	286.13 294.79,276.65 288.35
0	14	687	653	1	0	0	0	0	26	0	0	0	Right	5.695	778.863	804.863	276.65 288.35,264.35 300.32
0	15	653	1501	1	0	0	0	0	25	0	0	0	Straight	0.0	804.863	829.863	264.35 300.32,254.22 311.8
0	16	1501	647	1	0	0	0	0	26	0	0	0	Straight	0.0	829.863	855.863	254.22 311.8,237.65 320.09
0	17	647	750	1	0	0	0	0	36	0	0	0	Straight	0.0	855.863	891.863	237.65 320.09,212.3 331.82
0	18	750	749	1	0	0	0	0	121	0	0	0	Left	11.389	903.252	1024.25	212.3 331.82,193.39 321.33
0	19	749	659	0	1	467	467	0	84	544	0	0	Right	5.695	1029.95	1113.95	193.39 321.33,176.13 344.04
0	20	659	1002	0	1	471	471	0	85	555	0	0	Straight	0.0	1113.95	1198.95	176.13 344.04,172.85 370.63
0	21	1002	1001	0	1	12	12	0	2	12	0	0	Straight	0.0	1198.95	1200.95	172.85 370.63,167.84 394.3
0	22	1001	998	0	1	137	137	0	25	155	0	0	Straight	0.0	1200.95	1225.95	167.84 394.3,167.11 412.04
0	23	998	989	1	1	91	91	0	16	106	0	0	Straight	0.0	1225.95	1241.95	167.11 412.04,165.96 433.65
0	24	989	539	1	1	273	273	0	49	319	1	0	Straight	0.0	1241.95	1560.95	165.96 433.65,169.3 456.4
0	25	539	538	1	1	515	515	0	93	603	1	0	Straight	0.0	1560.95	2163.95	169.3 456.4,180.09 477.08
0	26	538	1552	1	1	41	41	0	7	47	1	0	Straight	0.0	2163.95	2210.95	180.09 477.08,191.42 497.31
0	27	1552	1575	1	1	156	156	0	28	178	1	0	Straight	0.0	2210.95	2388.95	191.42 497.31,203.96 516.88
0	28	1575	363	1	1	407	407	0	73	473	1	0	Straight	0.0	2388.95	2861.95	203.96 516.88,214.66 533.34
0	29	363	794	1	1	165	165	0	30	190	1	0	Straight	0.0	2861.95	3051.95	214.66 533.34,222.74 548.89
0	30	794	344	1	1	37	37	0	7	37	1	0	Straight	0.0	3051.95	3088.95	222.74 548.89,227.53 560.6
0	31	344	345	1	1	93	93	0	17	107	1	0	Left	11.389	3100.34	3207.34	227.53 560.6,220.22 567.77
0	32	345	2101	1	1	41	41	0	7	47	1	0	Straight	0.0	3207.34	3254.34	220.22 567.77,214.66 570.68
0	33	2101	345	1	1	41	41	0	7	47	0	0	U	45.557	3299.89	3306.89	214.66 570.68,220.22 567.77
0	34	345	2148	1	1	50	50	0	9	59	0	0	U	45.557	3352.45	3361.45	220.22 567.77,217.16 573.21
0	35	2148	345	1	1	50	50	0	9	59	1	0	U	45.557	3407.01	3466.01	217.16 573.21,220.22 567.77
0	36	345	344	1	1	93	93	0	17	107	0	0	Straight	0.0	3466.01	3483.01	220.22 567.77,227.53 560.6
0	37	344	1781	1	1	600	600	0	108	708	1	0	Left	11.389	3494.4	4202.4	227.53 560.6,239.37 565.49
0	38	1781	2031	1	1	202	202	0	36	236	1	0	U	45.557	4247.95	4483.95	239.37 565.49,229.71 558.72
0	39	2031	2032	1	1	54	54	0	10	60	1	0	Right	5.695	4489.65	4549.65	229.71 558.72,225.85 563.55
0	40	2032	2031	1	1	54	54	0	10	60	0	0	U	45.557	4595.2	4605.2	225.85 563.55,229.71 558.72
0	41	2031	794	1	1	387	387	0	70	450	1	0	Right	5.695	4610.9	5060.9	229.71 558.72,222.74 548.89
0	42	794	363	1	1	165	165	0	30	190	0	0	Straight	0.0	5060.9	5090.9	222.74 548.89,214.66 533.34
0	43	363	357	1	1	109	109	0	20	120	1	0	Left	11.389	5102.29	5222.29	214.66 533.34,223.81 534.99
0	44	357	356	1	1	428	428	0	77	497	1	0	Straight	0.0	5222.29	5719.29	223.81 534.99,240.65 544.0
0	45	356	700	0	1	260	260	0	47	307	1	0	Straight	0.0	5719.29	6026.29	240.65 544.0,251.28 542.49
0	46	700	701	1	0	0	0	0	4	0	0	0	Left	11.389	6037.68	6041.68	251.28 542.49,253.87 554.33
0	47	701	356	0	1	264	264	0	48	308	1	0	U	45.557	6087.23	6395.23	253.87 554.33,240.65 544.0
0	48	356	700	0	1	260	260	0	47	307	0	0	Left	11.389	6406.62	6453.62	240.65 544.0,251.28 542.49
0	49	700	702	1	0	0	0	0	9	0	0	0	Right	5.695	6459.32	6468.32	251.28 542.49,248.62 532.84
