Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(CCI)	VA(NHO)	VA(ATD)	VA(DMT)	VA(AOI)	VA(ROI)	Optimal
MCARPTIF-TP	Full MILP	10000	10000	3	35472.1	33291	3519.85	0	7.66667	0.372824	696.582	13034	0.463212	4.81348	1
Load No	Sequence No	Starting Node	Ending Node	Is Edge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	1083	2085	1	0	0	0	0	71	0	0	300		0.0	300.0	371.0	446.0 251.77,421.88 250.66
0	1	2085	690	1	0	0	0	0	15	0	0	0	Straight	0.0	371.0	386.0	421.88 250.66,411.19 240.76
0	2	690	691	1	1	260	260	0	47	307	1	0	Straight	0.0	386.0	693.0	411.19 240.76,407.97 225.86
0	3	691	692	0	0	0	0	0	1	0	0	0	Straight	0.0	693.0	694.0	407.97 225.86,403.97 215.09
0	4	692	1130	1	1	107	107	0	19	119	1	0	Straight	0.0	694.0	813.0	403.97 215.09,399.83 206.92
0	5	1130	1131	1	1	308	308	0	55	355	1	0	Straight	0.0	813.0	1168.0	399.83 206.92,397.24 198.9
0	6	1131	905	1	1	395	395	0	71	461	1	0	Straight	0.0	1168.0	1629.0	397.24 198.9,393.76 191.16
0	7	905	906	1	1	396	396	0	71	461	0	0	Straight	0.0	1629.0	1700.0	393.76 191.16,389.81 184.19
0	8	906	2083	1	1	29	29	0	5	25	0	0	Straight	0.0	1700.0	1705.0	389.81 184.19,386.11 182.53
0	9	2083	906	1	1	29	29	0	5	25	1	0	U	45.557	1750.56	1775.56	386.11 182.53,389.81 184.19
0	10	906	905	1	1	396	396	0	71	461	0	0	Straight	0.0	1775.56	1846.56	389.81 184.19,393.76 191.16
0	11	905	1173	1	0	0	0	0	20	0	0	0	Right	5.695	1852.25	1872.25	393.76 191.16,395.06 186.71
0	12	1173	1181	1	1	164	164	0	30	190	1	0	Straight	0.0	1872.25	2062.25	395.06 186.71,396.41 179.63
0	13	1181	1187	1	1	24	24	0	4	24	1	0	Left	11.389	2073.64	2097.64	396.41 179.63,403.16 186.16
0	14	1187	1539	1	1	182	182	0	33	213	0	0	Right	5.695	2103.34	2136.34	403.16 186.16,403.41 177.35
0	15	1539	943	1	0	0	0	0	17	0	0	0	Straight	0.0	2136.34	2153.34	403.41 177.35,401.79 165.49
0	16	943	1539	1	0	0	0	0	17	0	0	0	U	45.557	2198.89	2215.89	401.79 165.49,403.41 177.35
0	17	1539	1187	1	1	182	182	0	33	213	1	0	Straight	0.0	2215.89	2428.89	403.41 177.35,403.16 186.16
0	18	1187	1181	1	1	24	24	0	4	24	0	0	Left	11.389	2440.28	2444.28	403.16 186.16,396.41 179.63
0	19	1181	1173	1	1	164	164	0	30	190	0	0	Right	5.695	2449.98	2479.98	396.41 179.63,395.06 186.71
0	20	1173	1172	1	1	400	400	0	72	472	1	0	Straight	0.0	2479.98	2951.98	395.06 186.71,400.84 197.07
0	21	1172	1787	1	1	297	297	0	53	343	1	0	Straight	0.0	2951.98	3294.98	400.84 197.07,404.17 207.91
0	22	1787	720	0	0	0	0	0	3	0	0	0	Straight	0.0	3294.98	3297.98	404.17 207.91,407.79 216.0
0	23	720	719	1	1	176	176	0	32	202	1	0	Right	5.695	3303.67	3505.67	407.79 216.0,411.9 211.89
0	24	719	748	1	1	187	187	0	34	214	1	0	Straight	0.0	3505.67	3719.67	411.9 211.89,414.92 205.04
0	25	748	2076	1	0	0	0	0	46	0	0	0	Left	11.389	3731.06	3777.06	414.92 205.04,421.38 216.0
0	26	2076	2165	1	1	48	48	0	9	49	0	0	Right	5.695	3782.76	3791.76	421.38 216.0,425.02 213.09
0	27	2165	2076	1	1	48	48	0	9	49	1	0	U	45.557	3837.31	3886.31	425.02 213.09,421.38 216.0
0	28	2076	748	1	0	0	0	0	46	0	0	0	Left	11.389	3897.7	3943.7	421.38 216.0,414.92 205.04
0	29	748	719	1	1	187	187	0	34	214	0	0	Right	5.695	3949.4	3983.4	414.92 205.04,411.9 211.89
0	30	719	1503	1	1	261	261	0	47	307	0	0	Straight	0.0	3983.4	4030.4	411.9 211.89,415.51 226.67
0	31	1503	1067	1	1	85	85	0	15	95	1	0	Right	5.695	4036.09	4131.09	415.51 226.67,425.98 228.31
0	32	1067	569	1	0	0	0	0	89	0	0	0	Straight	0.0	4131.09	4220.09	425.98 228.31,436.37 239.97
0	33	569	570	1	1	72	72	0	13	83	1	0	Right	5.695	4225.79	4308.79	436.37 239.97,439.26 236.98
